object_key,asteroid_number,asteroid_name,detection_count,night_count,first_mjd,last_mjd,join_method,join_status,catalog_number,catalog_name,catalog_epoch,a_au,ecc,inc_deg,H_mag,mean_anomaly_epoch_deg,arg_peri_deg,node_deg,mean_motion_deg_day,time_baseline_days,orbit_class
N:247515,247515,2002 PL176,1,1,60993.98124273148,60993.98124273148,number,matched,247515,2002 PL176,2026-03-01,2.41958705,0.10213196,3.364334,17.59,61.933227,142.496618,211.630303,0.2618738883025493,0.0,Main belt
N:214955,214955,2007 XK14,1,1,60993.97403199074,60993.97403199074,number,matched,214955,2007 XK14,2026-03-01,2.3923472,0.1564932,5.741251,17.0,116.664013,61.500935,223.407455,0.2663592360439727,0.0,Main belt
S:2017vg8,,2017 VG8,1,1,60994.001890162035,60994.001890162035,normalized_name,matched,,2017 VG8,2026-03-01,2.52906703,0.24645075,3.040721,19.42,31.540791,7.200783,23.501215,0.24505499760277993,0.0,Main belt
N:686956,686956,2011 GX16,1,1,60994.10597631944,60994.10597631944,number,matched,686956,2011 GX16,2026-03-01,2.17679001,0.16267841,2.352448,18.54,162.123819,339.716677,302.711383,0.306887550181251,0.0,Main belt
N:594974,594974,2000 EJ211,1,1,60994.07420332176,60994.07420332176,number,matched,594974,2000 EJ211,2026-03-01,2.44115315,0.18408326,11.638693,17.53,234.803729,329.684607,258.662082,0.25841131974349896,0.0,Main belt
S:2020xx27,,2020 XX27,1,1,60994.07420332176,60994.07420332176,normalized_name,matched,,2020 XX27,2026-03-01,2.89233739,0.07047044,11.137606,17.8,44.150126,144.03724,256.083619,0.2003690532005266,0.0,Main belt
N:93412,93412,2000 ST300,8,3,60993.98906432871,61000.55707510417,number,matched,93412,2000 ST300,2026-03-01,2.5872404,0.18116185,3.236555,16.2,6.118436,115.079945,306.132346,0.23683664351372025,6.5680107754596975,Main belt
N:519691,519691,2013 AG186,1,1,60993.95280517361,60993.95280517361,number,matched,519691,2013 AG186,2026-03-01,2.79002641,0.0195753,5.128886,17.18,349.918792,150.595006,275.737702,0.2114908596108608,0.0,Main belt
S:2010tp126,,2010 TP126,1,1,60993.95280517361,60993.95280517361,normalized_name,matched,854804,2010 TP126,2026-03-01,2.91939878,0.080339,4.949733,17.26,56.103789,100.342201,252.576336,0.19758953560753356,0.0,Main belt
N:683270,683270,2007 RA358,1,1,60993.99423336805,60993.99423336805,number,matched,683270,2007 RA358,2026-03-01,2.72229102,0.099234,6.644473,17.53,26.87693,29.81499,1.480945,0.21943315527685675,0.0,Main belt
N:665775,665775,2009 SB394,1,1,60994.0027156713,60994.0027156713,number,matched,665775,2009 SB394,2026-03-01,3.96486305,0.17337762,5.152595,15.36,278.619209,232.669384,274.394094,0.12484230751841827,0.0,Outer belt / Hilda
S:2015ro47,,2015 RO47,1,1,60994.067673564816,60994.067673564816,normalized_name,matched,866335,2015 RO47,2026-03-01,2.79301213,0.06319583,3.48896,17.67,126.823061,5.483377,309.476847,0.21115182579640807,0.0,Main belt
N:294308,294308,2007 VJ27,1,1,60994.10324332176,60994.10324332176,number,matched,294308,2007 VJ27,2026-03-01,2.70622083,0.16611944,11.836838,16.66,124.72867,256.585427,52.022076,0.22139062434665074,0.0,Main belt
N:59065,59065,1998 UB43,29,14,60994.07246274305,61066.50534798611,number,matched,59065,1998 UB43,2026-03-01,2.44666278,0.1205796,5.357078,15.19,67.305705,357.030129,18.837296,0.25753893822723184,72.43288524305535,Main belt
N:123088,123088,2000 SU327,23,10,60994.18644094907,61048.628184155095,number,matched,123088,2000 SU327,2026-03-01,2.90161045,0.18985409,5.417789,15.69,13.144838,154.305317,285.077545,0.1994093022270185,54.44174320602178,Main belt
N:168093,168093,2006 DT103,1,1,60994.18644094907,60994.18644094907,number,matched,168093,2006 DT103,2026-03-01,2.62598537,0.1756475,3.704116,17.1,149.550952,293.064933,357.454565,0.23161443387986314,0.0,Main belt
N:36004,36004,1999 NB25,5,4,60994.17080017361,61048.543267395835,number,matched,36004,1999 NB25,2026-03-01,2.32004761,0.18268175,3.46285,15.61,239.960732,231.56477,358.095251,0.27890655925498753,54.37246722222335,Main belt
N:779569,779569,2011 UM287,1,1,60994.17080017361,60994.17080017361,number,matched,779569,2011 UM287,2026-03-01,2.74647442,0.04473742,5.288088,17.84,71.150913,75.533427,303.113396,0.21654129820003562,0.0,Main belt
N:48622,48622,1995 OA10,4,2,60993.93194231481,60997.47307454861,number,matched,48622,1995 OA10,2026-03-01,2.2223145,0.20827536,5.543686,15.94,61.436765,79.447686,265.618837,0.29750604456847857,3.541132233796816,Main belt
N:511217,511217,2014 AH48,2,1,60993.967482280095,60993.968089814814,number,matched,511217,2014 AH48,2026-03-01,2.57184459,0.31251528,3.69705,17.89,18.705327,113.194795,296.492512,0.23896648263053696,0.0006075347191654146,Main belt
N:373560,373560,2001 WX27,1,1,60993.98742211806,60993.98742211806,number,matched,373560,2001 WX27,2026-03-01,2.53683363,0.09677531,15.827278,16.97,352.94733,201.294442,231.609896,0.24393049341780138,0.0,Main belt
N:413442,413442,2005 CJ22,1,1,60994.046659085645,60994.046659085645,number,matched,413442,2005 CJ22,2026-03-01,3.1658853,0.23020043,13.277338,15.96,221.108751,319.709406,244.702599,0.17496908042119652,0.0,Main belt
N:421948,421948,2014 QH256,1,1,60994.06572268518,60994.06572268518,number,matched,421948,2014 QH256,2026-03-01,2.31074523,0.19428608,10.328705,17.08,128.253588,265.020846,43.008366,0.2805924466801967,0.0,Main belt
S:2024rh48,,2024 RH48,1,1,60994.06572268518,60994.06572268518,normalized_name,matched,,2024 RH48,2026-03-01,3.18989188,0.06366239,14.69621,16.69,193.713758,339.460313,273.561746,0.17299762031210633,0.0,Main belt
N:199502,199502,2006 DH110,1,1,60994.19954890046,60994.19954890046,number,matched,199502,2006 DH110,2026-03-01,3.06235881,0.13855339,6.602016,15.55,204.541011,236.147268,12.948605,0.18391619010146681,0.0,Main belt
N:110145,110145,2001 SR153,1,1,60994.17166540509,60994.17166540509,number,matched,110145,2001 SR153,2026-03-01,2.47751984,0.10321425,5.817496,15.94,203.936933,253.179203,3.711993,0.25274254964527076,0.0,Main belt
N:289588,289588,2005 FL5,1,1,60994.19190355324,60994.19190355324,number,matched,289588,2005 FL5,2026-03-01,2.35440043,0.0801236,5.727784,17.48,221.113632,235.428816,10.649132,0.27282463395912826,0.0,Main belt
N:682387,682387,2006 QM94,1,1,60994.04225135416,60994.04225135416,number,matched,682387,2006 QM94,2026-03-01,2.39985132,0.19876026,6.444363,18.4,124.597102,319.608513,324.031166,0.26511089099367435,0.0,Main belt
N:704821,704821,2008 TJ155,1,1,60994.009780671295,60994.009780671295,number,matched,704821,2008 TJ155,2026-03-01,3.15596708,0.04854969,10.012492,16.54,16.970789,140.939922,262.632037,0.17579453796705452,0.0,Main belt
S:2015au269,,2015 AU269,2,1,60994.07514756944,60994.07573924769,normalized_name,matched,880887,2015 AU269,2026-03-01,3.22578111,0.04371666,8.902702,17.07,81.500533,51.738274,303.867468,0.17011857345560333,0.0005916782465646975,Main belt
N:60087,60087,1999 TY152,3,3,60994.06217105324,61024.5069024537,number,matched,60087,1999 TY152,2026-03-01,2.97388867,0.09715282,10.015202,15.03,105.83302,316.418109,14.335716,0.19218390532610474,30.444731400457385,Main belt
S:2019ur96,,2019 UR96,1,1,60994.06217105324,60994.06217105324,normalized_name,matched,,2019 UR96,2026-03-01,3.20462245,0.09447931,12.49787,17.49,34.887009,13.764275,33.187449,0.17180617442382895,0.0,Main belt
N:298847,298847,2004 RD197,1,1,60994.18017716435,60994.18017716435,number,matched,298847,2004 RD197,2026-03-01,2.29058326,0.23066913,6.871527,17.34,61.083966,86.779819,291.943849,0.2843052962155115,0.0,Main belt
N:386733,386733,2010 AK44,1,1,60994.18017716435,60994.18017716435,number,matched,386733,2010 AK44,2026-03-01,2.55927302,0.12395389,7.242838,17.44,307.847503,203.262941,319.423507,0.24072940715266988,0.0,Main belt
N:21320,21320,1996 XF31,41,16,60994.19782165509,61093.60973733796,number,matched,21320,1996 XF31,2026-03-01,2.59282713,0.19992289,14.696826,13.94,50.605811,114.908425,275.888723,0.23607159286457646,99.4119156828674,Main belt
N:370286,370286,2002 QG104,1,1,60994.19782165509,60994.19782165509,number,matched,370286,2002 QG104,2026-03-01,3.08626912,0.04921727,9.8095,16.26,174.395713,335.028792,301.331241,0.1817830490544395,0.0,Main belt
N:36282,36282,2000 CT98,11,6,60994.183755405094,61047.51721375,number,matched,36282,2000 CT98,2026-03-01,2.23513582,0.25958287,6.901672,15.42,117.364785,358.40843,317.813011,0.29494986109326005,53.33345834490319,Mars-crosser
N:415485,415485,2014 OC231,1,1,60994.20138978009,60994.20138978009,number,matched,415485,2014 OC231,2026-03-01,2.30705777,0.07382286,6.723076,17.22,14.638243,91.938328,356.570098,0.2812654381196616,0.0,Main belt
S:2012qd63,,2012 QD63,1,1,60994.17249203704,60994.17249203704,normalized_name,matched,798460,2012 QD63,2026-03-01,3.21211695,0.0566215,8.439216,16.96,47.566317,68.617805,334.892993,0.1712052389448994,0.0,Main belt
N:542213,542213,2013 AZ81,1,1,60993.93698666667,60993.93698666667,number,matched,542213,2013 AZ81,2026-03-01,2.2571579,0.05549994,7.932132,18.23,320.627839,165.450498,301.68242,0.29064386612145754,0.0,Main belt
S:2015ab131,,2015 AB131,1,1,60994.005611030094,60994.005611030094,normalized_name,matched,864541,2015 AB131,2026-03-01,3.34868078,0.01249315,8.877928,16.84,108.149898,5.942001,300.327538,0.1608397722934128,0.0,Outer belt / Hilda
N:243629,243629,1999 RX201,1,1,60994.01836702546,60994.01836702546,number,matched,243629,1999 RX201,2026-03-01,2.62929349,0.17324792,11.355714,15.86,103.002178,32.317097,289.588848,0.23117745302168866,0.0,Main belt
