object_key,detection_count,night_count,time_baseline_days
N:247515,1,1,0.0
N:214955,1,1,0.0
S:2017vg8,1,1,0.0
N:686956,1,1,0.0
N:594974,1,1,0.0
S:2020xx27,1,1,0.0
N:93412,8,3,6.5680107754596975
N:519691,1,1,0.0
S:2010tp126,1,1,0.0
N:683270,1,1,0.0
N:665775,1,1,0.0
S:2015ro47,1,1,0.0
N:294308,1,1,0.0
N:59065,29,14,72.43288524305535
N:123088,23,10,54.44174320602178
N:168093,1,1,0.0
N:36004,5,4,54.37246722222335
N:779569,1,1,0.0
N:48622,4,2,3.541132233796816
N:511217,2,1,0.0006075347191654146
N:373560,1,1,0.0
N:413442,1,1,0.0
N:421948,1,1,0.0
S:2024rh48,1,1,0.0
N:199502,1,1,0.0
N:110145,1,1,0.0
N:289588,1,1,0.0
N:682387,1,1,0.0
N:704821,1,1,0.0
S:2015au269,2,1,0.0005916782465646975
N:60087,3,3,30.444731400457385
S:2019ur96,1,1,0.0
N:298847,1,1,0.0
N:386733,1,1,0.0
N:21320,41,16,99.4119156828674
N:370286,1,1,0.0
N:36282,11,6,53.33345834490319
N:415485,1,1,0.0
S:2012qd63,1,1,0.0
N:542213,1,1,0.0
S:2015ab131,1,1,0.0
N:243629,1,1,0.0
S:2010cy120,1,1,0.0
N:383257,1,1,0.0
S:2015oa137,1,1,0.0
N:304156,1,1,0.0
S:2007tj135,2,1,0.0006004398092045449
S:2015dz143,1,1,0.0
N:230989,1,1,0.0
S:2020mv27,1,1,0.0
N:281895,1,1,0.0
S:2012ta408,1,1,0.0
S:2016cl427,1,1,0.0
S:2008qs49,1,1,0.0
N:231743,1,1,0.0
N:1447,29,11,72.02045447916316
N:1462,28,11,70.99798733796342
N:4629,26,10,68.05581847222493
N:6237,22,9,68.00982952546474
N:7309,23,9,68.04635160879843
N:7708,10,5,34.0328099884282
N:8095,18,8,68.04720091434865
N:10536,22,7,20.087680069445923
N:10596,10,5,20.05966049768176
N:11006,31,10,68.07896490740677
N:16552,22,8,68.07292280092952
N:17163,16,7,33.97551862268301
N:17366,13,6,48.9433153587961
N:19200,10,5,34.0328099884282
N:22114,27,9,68.07682826388918
N:25287,8,3,3.090235625000787
N:29329,14,7,68.07682826388918
N:31822,16,7,68.00982952546474
N:36333,12,5,34.03679549768276
N:38581,14,4,34.04132267361274
N:47241,16,5,34.03679549768276
N:52167,10,3,3.090235625000787
N:53275,12,6,48.97154989583214
N:54884,10,5,20.031441041668586
N:68001,7,4,34.00836846065067
N:70288,5,2,3.090235625000787
N:130858,8,4,11.048431585644721
S:2007tf491,1,1,0.0
N:5400,21,8,68.05025103009393
N:44991,9,5,33.954801527776
N:1073,35,12,72.01790348380018
N:3828,31,13,72.01790348380018
N:7323,30,12,76.0290354513927
N:7773,23,10,68.04639768518246
N:8927,16,6,48.976570185186574
N:9596,23,10,68.0483330671268
N:9929,25,10,72.02348545139102
N:10876,28,10,68.07016489583475
N:18779,21,8,68.05501524305873
N:23867,7,4,20.072242546295456
N:34198,11,4,20.08687684027973
N:46307,12,6,48.99703385416797
N:47375,22,9,68.0483330671268
N:87236,6,3,12.938900439818099
N:156164,25,11,68.03878287036787
N:2060,17,10,67.98831721064926
N:14536,1,1,0.0
N:25819,6,3,13.033442696760176
N:101997,3,3,20.023247488425113
N:158081,4,2,2.0110497337955167
N:5666,26,11,70.98195593750279
N:7997,20,9,48.98374287036859
N:12502,11,6,34.04132267361274
N:14115,18,8,68.0388043518542
N:15623,29,12,68.08943221064692
N:45473,14,6,34.0453081828673
N:70191,12,6,18.118312754631916
N:835382,1,1,0.0
N:16343,7,4,12.923237789349514
N:24647,21,5,34.02114983796491
N:62152,11,6,34.02247525462735
N:66864,7,4,12.919010520832671
N:94149,13,6,34.02247525462735
N:132871,7,3,5.057800706017588
N:162734,4,2,5.029167974535085
N:270999,1,1,0.0
N:28113,7,4,11.00747399305692
N:2856,29,10,72.03470846064738
N:4065,31,12,68.08454245370376
N:4552,39,14,68.08863371527696
N:4926,27,9,68.05491510416323
N:9281,28,8,34.04450968749734
N:11522,20,6,34.04450968749734
N:12172,30,11,70.97520564814477
N:17727,34,15,68.07194013888511
N:24846,24,11,68.05685048610758
N:69184,14,5,34.037488935187866
N:85781,24,9,49.01134949074185
N:534129,1,1,0.0
N:20956,6,3,5.066351388893963
N:47901,14,7,34.01467491898802
N:267791,8,4,11.033331759259454
N:61453,9,3,5.004995138893719
N:221950,5,2,5.047802129629417
N:3515,20,7,68.07387056713196
N:3778,35,9,72.0216091550974
N:10352,43,16,72.03205723379506
N:12047,13,5,18.172447962962906
N:12516,16,6,34.03662666666787
N:14403,7,2,2.031758020835696
N:16773,30,11,72.03615651620203
N:17945,9,4,20.056040706018393
N:19221,16,8,48.98940451389353
N:19418,23,10,48.98940451389353
N:20012,10,6,48.96396415509662
N:25741,8,4,20.065870115744474
N:28127,9,4,20.08421145833563
N:31360,11,5,48.96310261574399
N:38755,7,3,11.074028923612786
N:38781,14,6,20.056040706018393
N:48445,10,5,20.093884652778797
N:48525,14,6,48.97813262731506
N:50912,8,5,68.05872091435594
N:131096,1,1,0.0
N:36361,5,2,2.0110555208375445
N:59074,4,2,2.0110555208375445
N:91784,4,2,5.045096793983248
N:73,28,11,76.02694008102117
N:333,32,11,72.02139008101949
N:14718,24,9,68.08480835647788
N:15720,6,3,11.051550196760218
N:17607,1,1,0.0
N:24318,17,7,59.93908561342687
N:30636,1,1,0.0
N:31147,17,6,68.04623769675527
N:39916,10,5,48.95816311342787
N:43728,9,4,20.031678217586887
N:59028,12,5,59.939912407404336
N:62192,6,4,19.991124629632395
N:75393,4,2,2.031772557871591
N:92096,14,6,59.962425636571425
N:93328,5,3,11.051550196760218
N:130540,3,2,2.025956979166949
N:153870,3,3,19.991124629632395
N:229847,6,3,31.061386388886604
N:323634,6,3,11.051550196760218
N:849935,4,2,2.031772557871591
N:16544,4,2,2.0110584722206113
N:47836,7,4,20.029525578698667
N:186575,4,3,11.019696134258993
S:2015rz321,1,1,0.0
N:1753,32,14,71.86538951388502
N:1949,52,18,77.80330917823449
N:5876,34,13,70.79840953703388
N:8611,44,16,76.84317013888358
N:11971,52,18,70.78747471064707
N:14479,43,13,67.92862431712274
N:14679,4,3,33.93386098379415
N:20227,37,13,67.92862431712274
N:24055,30,11,133.8147931712956
N:31549,32,10,67.93043119212962
N:31610,31,11,70.78931591434957
N:45082,18,9,67.93043119212962
N:67943,24,8,67.93232476851699
N:86446,40,10,42.86791652777174
N:130135,40,11,49.981042766201426
N:193925,14,4,33.99285371527367
N:29488,22,10,77.71899437499815
N:33092,12,6,42.7911079398109
N:36418,29,10,49.91830263888551
N:44860,13,7,49.910538680553145
N:46713,12,6,36.94664141203248
