case,night,trk_sub,linkage_id,hypothesis_distance_au,fit_ok,rms_arcsec,median_arcsec,max_arcsec,site_altitude_m,source_code
Ordinary retained linkage,20251121,000004r,598,1.3,True,0.2090263872713053,0.0,0.3620443228764692,868.221,heliolincrr/orbit_confirm_links.py
Ordinary retained linkage,20251121,000004r,598,1.5,True,0.1919617345120706,0.003073585126505738,0.3324732705423372,868.221,heliolincrr/orbit_confirm_links.py
Ordinary retained linkage,20251121,000004r,598,1.7,True,0.18414169734721406,0.0,0.3189427755973459,868.221,heliolincrr/orbit_confirm_links.py
Ordinary retained linkage,20251121,000004r,598,1.9,True,0.17961417172522068,0.003073585126505738,0.31108568775834305,868.221,heliolincrr/orbit_confirm_links.py
Ordinary retained linkage,20251121,000004r,598,2.0999999999999996,True,0.17662643368091072,0.003073585126505738,0.30591051681657105,868.221,heliolincrr/orbit_confirm_links.py
Ordinary retained linkage,20251121,000004r,598,2.3,True,0.17448292755345246,0.003073585126505738,0.3021976656053785,868.221,heliolincrr/orbit_confirm_links.py
Ordinary retained linkage,20251121,000004r,598,2.5,True,0.17287834856152573,0.0,0.2994340832371645,868.221,heliolincrr/orbit_confirm_links.py
Ordinary retained linkage,20251121,000004r,598,2.6999999999999997,True,0.17164443408545396,0.0,0.29729688067241344,868.221,heliolincrr/orbit_confirm_links.py
Ordinary retained linkage,20251121,000004r,598,2.8999999999999995,True,0.17063242506360504,0.0,0.29554402962885307,868.221,heliolincrr/orbit_confirm_links.py
Ordinary retained linkage,20251121,000004r,598,3.0999999999999996,True,0.16982774697534045,0.003073585126505738,0.2941342278665149,868.221,heliolincrr/orbit_confirm_links.py
Ordinary retained linkage,20251121,000004r,598,3.3,True,0.1691496037678673,0.0,0.29297570780609017,868.221,heliolincrr/orbit_confirm_links.py
Ordinary retained linkage,20251121,000004r,598,3.4999999999999996,True,0.16856216366284285,0.003073585126505738,0.2919420526929397,868.221,heliolincrr/orbit_confirm_links.py
Ordinary retained linkage,20251121,000004r,598,3.6999999999999993,True,0.16805700925329228,0.0,0.2910832785947752,868.221,heliolincrr/orbit_confirm_links.py
Ordinary retained linkage,20251121,000004r,598,3.8999999999999995,True,0.16762549179953604,0.003073585126505738,0.2903195990242118,868.221,heliolincrr/orbit_confirm_links.py
Ordinary retained linkage,20251121,000004r,598,4.1,True,0.16724935424081988,0.003073585126505738,0.28966807307051273,868.221,heliolincrr/orbit_confirm_links.py
C/2025 Y1 (ATLAS),20260310,000012H,1026,1.3,True,0.04634221693508844,0.0,0.08026707426695204,868.221,heliolincrr/orbit_confirm_links.py
C/2025 Y1 (ATLAS),20260310,000012H,1026,1.5,True,0.04195565663571267,0.0,0.07266932895796865,868.221,heliolincrr/orbit_confirm_links.py
C/2025 Y1 (ATLAS),20260310,000012H,1026,1.7,True,0.04077571450334647,0.003073585126505738,0.0705586972261066,868.221,heliolincrr/orbit_confirm_links.py
C/2025 Y1 (ATLAS),20260310,000012H,1026,1.9,True,0.04023149563197543,0.0,0.0696829944990668,868.221,heliolincrr/orbit_confirm_links.py
C/2025 Y1 (ATLAS),20260310,000012H,1026,2.0999999999999996,True,0.03995660664457478,0.0,0.06920687280644772,868.221,heliolincrr/orbit_confirm_links.py
C/2025 Y1 (ATLAS),20260310,000012H,1026,2.3,True,0.039877718894089545,0.0,0.06907023521451247,868.221,heliolincrr/orbit_confirm_links.py
C/2025 Y1 (ATLAS),20260310,000012H,1026,2.5,True,0.03979867477495669,0.0,0.06893332678413484,868.221,heliolincrr/orbit_confirm_links.py
C/2025 Y1 (ATLAS),20260310,000012H,1026,2.6999999999999997,True,0.03975909378577621,0.0,0.06886477049986041,868.221,heliolincrr/orbit_confirm_links.py
C/2025 Y1 (ATLAS),20260310,000012H,1026,2.8999999999999995,True,0.039719473353627466,0.0,0.06879614589836096,868.221,heliolincrr/orbit_confirm_links.py
C/2025 Y1 (ATLAS),20260310,000012H,1026,3.0999999999999996,True,0.039719473353627466,0.0,0.06879614589836096,868.221,heliolincrr/orbit_confirm_links.py
C/2025 Y1 (ATLAS),20260310,000012H,1026,3.3,True,0.039719473353627466,0.0,0.06879614589836096,868.221,heliolincrr/orbit_confirm_links.py
C/2025 Y1 (ATLAS),20260310,000012H,1026,3.4999999999999996,True,0.03964011368722687,0.0,0.0686586909240834,868.221,heliolincrr/orbit_confirm_links.py
C/2025 Y1 (ATLAS),20260310,000012H,1026,3.6999999999999993,True,0.03975909378577621,0.003073585126505738,0.06879614589836096,868.221,heliolincrr/orbit_confirm_links.py
C/2025 Y1 (ATLAS),20260310,000012H,1026,3.8999999999999995,True,0.03964011368722687,0.0,0.0686586909240834,868.221,heliolincrr/orbit_confirm_links.py
C/2025 Y1 (ATLAS),20260310,000012H,1026,4.1,True,0.03967981336035865,0.0,0.06872745277499152,868.221,heliolincrr/orbit_confirm_links.py
