panel,order,stage_key,stage_label,unit,scope,count,parent_total,closure_delta,source_column
closure_nights,0,primary_excluded,Primary-science excluded,night,all calendar nights in frozen night_status,1,243,0,night;raw_science_n;l2_mp_n;primary_science_included;unknown_science_included
closure_nights,1,unknown_quarantine,Unknown-branch quarantine,night,all calendar nights in frozen night_status,3,243,0,night;raw_science_n;l2_mp_n;primary_science_included;unknown_science_included
closure_nights,2,no_strict_raw,No strict raw frame,night,all calendar nights in frozen night_status,109,243,0,night;raw_science_n;l2_mp_n;primary_science_included;unknown_science_included
closure_nights,3,raw_without_l2,"Raw present, L2 absent",night,all calendar nights in frozen night_status,3,243,0,night;raw_science_n;l2_mp_n;primary_science_included;unknown_science_included
closure_nights,4,analysis_ready,Unknown scope with raw + L2,night,all calendar nights in frozen night_status,127,243,0,night;raw_science_n;l2_mp_n;primary_science_included;unknown_science_included
closure_raw_science_n,0,raw_science_n_primary_included,Strict raw science frames: Primary-science included,file,all frozen nights,40727,41074,0,raw_science_n
closure_raw_science_n,1,raw_science_n_primary_excluded,Strict raw science frames: Primary-science excluded,file,all frozen nights,347,41074,0,raw_science_n
closure_l2_mp_n,0,l2_mp_n_primary_included,Strict L2 catalogs: Primary-science included,file,all frozen nights,40052,40399,0,l2_mp_n
closure_l2_mp_n,1,l2_mp_n_primary_excluded,Strict L2 catalogs: Primary-science excluded,file,all frozen nights,347,40399,0,l2_mp_n
known_branch,0,raw_science,Strict raw science,file,primary-science-included nights,40727,41074,0,raw_science_n
known_branch_excluded,0,raw_science_excluded,Strict raw science: primary-science excluded,file,primary-science-excluded nights,347,41074,0,raw_science_n
known_branch,1,l2_catalog,Strict L2 catalogs,file,primary-science-included nights,40052,40399,0,l2_mp_n
known_branch_excluded,1,l2_catalog_excluded,Strict L2 catalogs: primary-science excluded,file,primary-science-excluded nights,347,40399,0,l2_mp_n
known_branch,2,known_prediction,Known-object predictions,detection,primary-science-included nights,13205829,13311871,0,known_predicted_n
known_branch_excluded,2,known_prediction_excluded,Known-object predictions: primary-science excluded,detection,primary-science-excluded nights,106042,13311871,0,known_predicted_n
known_branch,3,known_match1,1 arcsec known matches,detection,primary-science-included nights,534600,534780,0,known_match1_n
known_branch_excluded,3,known_match1_excluded,1 arcsec known matches: primary-science excluded,detection,primary-science-excluded nights,180,534780,0,known_match1_n
known_branch,4,known_mask15,1.5 arcsec subtraction mask,detection,primary-science-included nights,563193,563612,0,known_mask15_n
known_branch_excluded,4,known_mask15_excluded,1.5 arcsec subtraction mask: primary-science excluded,detection,primary-science-excluded nights,419,563612,0,known_mask15_n
known_branch,5,known_ades,Known ADES observations,ADES row,primary-science-included nights,350706,350706,0,known_ades_n
