night,plan_archive_available,plan_active_acquired_cohort,plan_exposure_n,acquired_strict_frame_n,plan_active_acquired_frame_denominator_n,plan_active_cohort_matched_frame_n,full_interval_acquired_without_plan_archive_n,multiset_matched_frame_n,acquired_frame_plan_compliance,planned_frame_realization,normal_planned_n,normal_matched_n,near_sun_planned_n,near_sun_matched_n,planned_revisit_interval_median_s,actual_revisit_interval_median_s,actual_gap_proxy_median_s,quality_code,input_manifest_hash
20251115,False,False,0,292,0,0,292,0,,,0,0,0,0,,,46.3045,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251116,False,False,0,291,0,0,291,0,,,0,0,0,0,,,47.022999999999996,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251117,False,False,0,0,0,0,0,0,,,0,0,0,0,,,,no_strict_raw,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251118,False,False,0,294,0,0,294,0,,,0,0,0,0,,,46.385000000000005,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251119,False,False,0,389,0,0,389,0,,,0,0,0,0,,,47.325,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251120,False,False,0,420,0,0,420,0,,,0,0,0,0,,,47.0385,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251121,False,False,0,475,0,0,475,0,,,0,0,0,0,,,48.571,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251122,False,False,0,227,0,0,227,0,,,0,0,0,0,,,49.5905,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251123,False,False,0,170,0,0,170,0,,,0,0,0,0,,,44.538,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251124,False,False,0,138,0,0,138,0,,,0,0,0,0,,,48.437,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251125,False,False,0,164,0,0,164,0,,,0,0,0,0,,,54.09,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251126,False,False,0,0,0,0,0,0,,,0,0,0,0,,,,no_strict_raw,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251127,False,False,0,224,0,0,224,0,,,0,0,0,0,,,51.05800000000001,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251128,False,False,0,111,0,0,111,0,,,0,0,0,0,,,53.543000000000006,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251129,False,False,0,140,0,0,140,0,,,0,0,0,0,,,51.3565,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251130,False,False,0,157,0,0,157,0,,,0,0,0,0,,,55.705,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251201,False,False,0,39,0,0,39,0,,,0,0,0,0,,,55.873000000000005,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251202,False,False,0,156,0,0,156,0,,,0,0,0,0,,,49.857,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251203,False,False,0,424,0,0,424,0,,,0,0,0,0,,,52.179,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251204,False,False,0,448,0,0,448,0,,,0,0,0,0,,,52.578,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
