night,pair_id,field_id,cycle_id,repeat,mode,planned_start_utc,actual_start_utc,time_residual_s,abs_time_residual_s,match_rule,input_manifest_hash
20260420,20260420:0978:0001,0978,1,1,normal,2026-04-20T11:57:35Z,2026-04-20T12:21:45.672000Z,1450.672,1450.672,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0844:0001,0844,1,1,normal,2026-04-20T11:58:55Z,2026-04-20T12:23:01.406000Z,1446.406,1446.406,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0710:0001,0710,1,1,normal,2026-04-20T12:00:15Z,2026-04-20T12:24:16.318000Z,1441.318,1441.318,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:1114:0001,1114,1,1,normal,2026-04-20T12:01:35Z,2026-04-20T12:25:46.444000Z,1451.444,1451.444,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:1248:0001,1248,1,1,normal,2026-04-20T12:02:55Z,2026-04-20T12:27:00.189000Z,1445.189,1445.189,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0979:0001,0979,1,1,normal,2026-04-20T12:04:15Z,2026-04-20T12:28:22.925000Z,1447.925,1447.925,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0845:0001,0845,1,1,normal,2026-04-20T12:05:35Z,2026-04-20T12:29:37.783000Z,1442.783,1442.783,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0711:0001,0711,1,1,normal,2026-04-20T12:06:55Z,2026-04-20T12:30:53.704000Z,1438.704,1438.704,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:1115:0001,1115,1,1,normal,2026-04-20T12:08:15Z,2026-04-20T12:32:22.723000Z,1447.723,1447.723,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:1249:0001,1249,1,1,normal,2026-04-20T12:09:35Z,2026-04-20T12:33:37.863000Z,1442.863,1442.863,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0980:0001,0980,1,1,normal,2026-04-20T12:10:55Z,2026-04-20T12:35:00.945000Z,1445.945,1445.945,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:1383:0001,1383,1,1,normal,2026-04-20T12:12:15Z,2026-04-20T12:36:29.903000Z,1454.903,1454.903,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0846:0001,0846,1,1,normal,2026-04-20T12:13:35Z,2026-04-20T12:38:04.583000Z,1469.583,1469.583,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0712:0001,0712,1,1,normal,2026-04-20T12:14:55Z,2026-04-20T12:39:19.320000Z,1464.32,1464.32,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:1116:0001,1116,1,1,normal,2026-04-20T12:16:15Z,2026-04-20T12:40:47.781000Z,1472.781,1472.781,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:1250:0001,1250,1,1,normal,2026-04-20T12:17:35Z,2026-04-20T12:42:02.802000Z,1467.802,1467.802,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
