night,source_prediction_row_n,predicted_nominal_n,duplicate_prediction_row_n,matched_1arcsec_n,recovery_fraction,predicted_rate_finite_n,known_ades_n,quality_code,primary_science_included
20251115,79486,79486,0,58,0.0007296882469868,79348,0,quality_ok,True
20251116,82312,82312,0,2596,0.0315385363009038,82275,0,quality_ok,True
20251118,82741,82741,0,5297,0.0640190473888398,82713,3884,quality_ok,True
20251119,148809,148710,99,8311,0.0558872974245175,147763,6013,quality_ok,True
20251120,97437,97288,149,6587,0.0677061919250061,96243,4667,quality_ok,True
20251121,157413,157182,231,12749,0.0811097962871066,157102,9129,quality_ok,True
20251122,51778,51778,0,1100,0.0212445440148325,51733,665,quality_ok,True
20251123,40088,39962,126,1825,0.0456683849657174,38259,1346,quality_ok,True
20251124,44622,44594,28,1008,0.022603937749473,38227,382,quality_ok,True
20251125,63197,63197,0,1595,0.0252385398041046,60493,826,quality_ok,True
20251127,80006,79838,168,2849,0.0356847616423257,75310,1652,quality_ok,True
20251128,51802,51802,0,1446,0.0279139801552063,48173,295,quality_ok,True
20251129,51977,51977,0,1643,0.0316101352521307,51773,1057,quality_ok,True
20251130,59293,59293,0,524,0.0088374681665626,55984,335,quality_ok,True
20251201,10843,10843,0,443,0.0408558517015586,2494,0,quality_ok,True
20251202,35984,35918,66,682,0.0189876941923269,35892,523,quality_ok,True
20251203,139830,139668,162,3339,0.0239066930148638,132429,2345,quality_ok,True
20251204,138880,138880,0,2806,0.0202044930875576,138784,1524,quality_ok,True
20251205,110931,110902,29,1077,0.0097112766226037,109572,669,quality_ok,True
20251206,137564,137534,30,4144,0.030130731310076,133809,3281,quality_ok,True
20251207,182408,182408,0,6328,0.0346914609008376,180675,4974,quality_ok,True
20251208,133243,133243,0,6022,0.045195620032572,117213,4301,quality_ok,True
20251209,176099,176099,0,6585,0.0373937387492262,171718,4543,quality_ok,True
20251210,133427,133427,0,7375,0.0552736702466517,130729,5324,quality_ok,True
20251213,157148,157148,0,7344,0.0467330160103851,148896,4706,quality_ok,True
20251214,108319,108319,0,7087,0.065427118049465,105897,5079,quality_ok,True
20251215,165680,165680,0,9771,0.0589751327860936,161545,7290,quality_ok,True
20251216,154876,154876,0,9635,0.0622110591699165,145563,6655,quality_ok,True
20251217,155643,155562,81,7683,0.0493886681837466,150744,5259,quality_ok,True
20251220,198759,198711,48,12405,0.0624273442335854,192791,7810,quality_ok,True
20251221,70546,70546,0,2049,0.0290448785189805,66302,1044,quality_ok,True
20251223,139713,139713,0,10134,0.0725344098258573,136360,6581,quality_ok,True
20251225,81282,81282,0,5444,0.0669766984080116,80884,3656,quality_ok,True
20251226,157974,157974,0,9133,0.0578133110511856,157085,6223,quarantine_unknown,True
20251227,125182,125182,0,6732,0.0537776996692815,122236,4464,quality_ok,True
20251228,182851,182851,0,10122,0.0553565471340052,182796,8066,quality_ok,True
20251229,181142,181142,0,9371,0.0517328946351481,181075,7261,quality_ok,True
20251230,131670,131658,12,3245,0.0246471919670661,125279,2092,quality_ok,True
20251231,113685,113676,9,2777,0.0244290791371969,111564,1763,quality_ok,True
20260101,108836,108836,0,2269,0.0208478812157741,97970,1404,quality_ok,True
20260102,188399,188390,9,2451,0.0130102447051329,179020,1493,quality_ok,True
20260103,40207,40201,6,624,0.0155220019402502,36623,336,quality_ok,True
20260104,131978,131978,0,3863,0.0292700298534604,131903,2852,quality_ok,True
20260105,133598,133595,3,3025,0.0226430629888843,125877,1696,quality_ok,True
20260106,159380,159380,0,2931,0.0183900112937633,150504,1843,quality_ok,True
20260107,147139,147139,0,7352,0.0499663583414322,143906,5105,quality_ok,True
20260108,81573,81573,0,3919,0.0480428573179851,80092,2253,quality_ok,True
20260109,97433,97433,0,2731,0.028029517719869,90418,1474,quality_ok,True
20260110,134043,134043,0,4516,0.0336906813485224,130905,2563,quality_ok,True
20260111,106042,106042,0,180,0.0016974406367288,101025,0,excluded_primary,False
20260112,91060,91060,0,4900,0.053810674280694,89118,2887,quality_ok,True
20260114,158086,158086,0,9501,0.0601001986260642,151589,5678,quality_ok,True
20260115,151260,151260,0,5072,0.0335316673277799,138282,2749,quality_ok,True
20260116,139571,139559,12,5521,0.039560329323082,131027,2780,quality_ok,True
20260117,81235,81217,18,1761,0.0216826526466133,81183,988,quality_ok,True
20260119,128302,128302,0,3819,0.0297657090302567,110236,1271,quality_ok,True
20260120,91904,91898,6,3279,0.0356808635661276,86603,1636,quality_ok,True
20260121,132159,132159,0,7455,0.056409325131092,127548,4906,quality_ok,True
20260122,160040,160040,0,7876,0.0492126968257935,150779,4806,quality_ok,True
20260123,187961,187961,0,9448,0.0502657466176494,179925,4844,quality_ok,True
20260124,175862,175862,0,7692,0.0437388406818983,175534,4622,quality_ok,True
20260126,159664,159664,0,7818,0.0489653271870928,152612,5761,quality_ok,True
20260127,112177,112177,0,2287,0.0203874234468741,100434,998,quality_ok,True
20260128,10597,10597,0,128,0.0120788902519581,4449,6,quality_ok,True
