metric,lower,upper,denominator_prediction_n,matched_1arcsec_n,denominator_definition,recovery_fraction,ci95_low,ci95_high
header_limiting_magnitude,12.0,14.0,0,0,V<22.5 and inside nominal WCS detector rectangle,,,
header_limiting_magnitude,14.0,15.0,1658,0,V<22.5 and inside nominal WCS detector rectangle,0.0,0.0,0.0023115675687981
header_limiting_magnitude,15.0,16.0,19228,9,V<22.5 and inside nominal WCS detector rectangle,0.0004680674017058,0.0002462781518585,0.0008894143853049
header_limiting_magnitude,16.0,17.0,29136,34,V<22.5 and inside nominal WCS detector rectangle,0.0011669412410763,0.00083523348213,0.001630169732991
header_limiting_magnitude,17.0,18.0,81312,210,V<22.5 and inside nominal WCS detector rectangle,0.0025826446280991,0.0022565086421694,0.0029557778104688
header_limiting_magnitude,18.0,19.0,637768,4685,V<22.5 and inside nominal WCS detector rectangle,0.0073459314358826,0.0071393036063817,0.0075584940219664
header_limiting_magnitude,19.0,20.0,3864808,77162,V<22.5 and inside nominal WCS detector rectangle,0.0199652867619814,0.0198263054053352,0.0201052223868606
header_limiting_magnitude,20.0,21.0,8270369,419866,V<22.5 and inside nominal WCS detector rectangle,0.0507675050532811,0.0506181021456026,0.0509173252838938
header_limiting_magnitude,21.0,22.0,405302,32806,V<22.5 and inside nominal WCS detector rectangle,0.0809421123014443,0.080106391709495,0.0817857764927914
header_limiting_magnitude,22.0,23.0,965,8,V<22.5 and inside nominal WCS detector rectangle,0.0082901554404145,0.0042066240330105,0.0162729483883077
header_limiting_magnitude,23.0,25.0,0,0,V<22.5 and inside nominal WCS detector rectangle,,,
l2_catalog_source_count,0.0,5000.0,154793,318,V<22.5 and inside nominal WCS detector rectangle,0.0020543564631475,0.0018408172336249,0.002292609862114
l2_catalog_source_count,5000.0,10000.0,2108705,37424,V<22.5 and inside nominal WCS detector rectangle,0.0177473852435499,0.0175700571441221,0.017926470393097
l2_catalog_source_count,10000.0,20000.0,5921794,259156,V<22.5 and inside nominal WCS detector rectangle,0.0437630893610956,0.043598622681521,0.0439281479606755
l2_catalog_source_count,20000.0,40000.0,2401196,125028,V<22.5 and inside nominal WCS detector rectangle,0.0520690522556259,0.0517887641890064,0.0523507735293118
l2_catalog_source_count,40000.0,80000.0,1566628,69676,V<22.5 and inside nominal WCS detector rectangle,0.0444751402375037,0.0441534472852367,0.0447990671287783
l2_catalog_source_count,80000.0,160000.0,1077906,41394,V<22.5 and inside nominal WCS detector rectangle,0.0384022354453913,0.0380411063558341,0.0387666546223678
l2_catalog_source_count,160000.0,inf,79524,1784,V<22.5 and inside nominal WCS detector rectangle,0.0224334792012474,0.0214270646151394,0.0234860298848563
moon_illumination_fraction,0.0,0.25,4625646,231594,V<22.5 and inside nominal WCS detector rectangle,0.0500673851825236,0.0498690183567023,0.0502664993185267
moon_illumination_fraction,0.25,0.5,1876946,91507,V<22.5 and inside nominal WCS detector rectangle,0.0487531340805755,0.0484459718841771,0.049062143365495
moon_illumination_fraction,0.5,0.75,2355525,99908,V<22.5 and inside nominal WCS detector rectangle,0.0424143237707092,0.0421577042357628,0.0426724357913355
moon_illumination_fraction,0.75,1.001,4452429,111771,V<22.5 and inside nominal WCS detector rectangle,0.0251033761571492,0.024958475560691,0.0252490962138394
moon_separation_deg,0.0,30.0,881650,14681,V<22.5 and inside nominal WCS detector rectangle,0.016651732546929,0.0163867249899948,0.0169209521026731
moon_separation_deg,30.0,60.0,3131842,79220,V<22.5 and inside nominal WCS detector rectangle,0.0252950180756245,0.0251216983991123,0.0254695022792126
moon_separation_deg,60.0,90.0,2466769,91916,V<22.5 and inside nominal WCS detector rectangle,0.0372616973863381,0.0370260596372788,0.0374987763626595
moon_separation_deg,90.0,120.0,2571557,120769,V<22.5 and inside nominal WCS detector rectangle,0.0469633766624655,0.0467054789577373,0.0472226278809857
moon_separation_deg,120.0,150.0,2167617,112006,V<22.5 and inside nominal WCS detector rectangle,0.0516724126079468,0.0513785163379072,0.0519678979307693
moon_separation_deg,150.0,180.001,2091111,116188,V<22.5 and inside nominal WCS detector rectangle,0.0555628084783638,0.0552531408832058,0.0558741089701335
predicted_v_mag,8.0,12.0,796,565,V<22.5 and inside nominal WCS detector rectangle,0.7097989949748744,0.6773221545064463,0.7402606005716137
predicted_v_mag,12.0,14.0,3936,3325,V<22.5 and inside nominal WCS detector rectangle,0.8447662601626016,0.8331175173933918,0.8557426888780497
predicted_v_mag,14.0,15.0,5075,4247,V<22.5 and inside nominal WCS detector rectangle,0.8368472906403941,0.8264271580498841,0.8467578641094591
predicted_v_mag,15.0,16.0,11095,9094,V<22.5 and inside nominal WCS detector rectangle,0.8196484903109509,0.8123840864986537,0.8266916248101973
predicted_v_mag,16.0,17.0,28833,23044,V<22.5 and inside nominal WCS detector rectangle,0.7992231124059238,0.7945596411052399,0.8038068625439311
predicted_v_mag,17.0,18.0,98190,75777,V<22.5 and inside nominal WCS detector rectangle,0.7717384662389245,0.7691026441509682,0.7743530268686764
predicted_v_mag,18.0,19.0,334942,204086,V<22.5 and inside nominal WCS detector rectangle,0.6093174340632109,0.6076638581090983,0.61096850251689
predicted_v_mag,19.0,20.0,966787,192952,V<22.5 and inside nominal WCS detector rectangle,0.1995806728886507,0.1987851564483841,0.2003785767087404
predicted_v_mag,20.0,21.0,2383479,13022,V<22.5 and inside nominal WCS detector rectangle,0.0054634423042955,0.0053706553960797,0.0055578233014543
predicted_v_mag,21.0,22.0,5276267,5166,V<22.5 and inside nominal WCS detector rectangle,0.0009791013229618,0.0009527760350318,0.001006153248432
predicted_v_mag,22.0,22.5,4201142,3502,V<22.5 and inside nominal WCS detector rectangle,0.000833582868658,0.0008064388008553,0.0008616397956228
seeing_arcsec,0.0,1.0,0,0,V<22.5 and inside nominal WCS detector rectangle,,,
seeing_arcsec,1.0,1.5,0,0,V<22.5 and inside nominal WCS detector rectangle,,,
seeing_arcsec,1.5,2.0,0,0,V<22.5 and inside nominal WCS detector rectangle,,,
seeing_arcsec,2.0,2.5,82437,3986,V<22.5 and inside nominal WCS detector rectangle,0.048352074917816,0.0469086941078307,0.0498375461983728
seeing_arcsec,2.5,3.0,2003074,99199,V<22.5 and inside nominal WCS detector rectangle,0.0495233825610037,0.0492237932696924,0.0498246996806997
seeing_arcsec,3.0,4.0,7049630,310740,V<22.5 and inside nominal WCS detector rectangle,0.0440789091058679,0.0439276299129446,0.0442306851762562
seeing_arcsec,4.0,6.0,3729363,113332,V<22.5 and inside nominal WCS detector rectangle,0.0303891039837098,0.0302153709611011,0.030563804457897
seeing_arcsec,6.0,inf,446042,7523,V<22.5 and inside nominal WCS detector rectangle,0.0168661247147129,0.0164923666503932,0.0172482045195996
sky_background_adu,0.0,100.0,273,1,V<22.5 and inside nominal WCS detector rectangle,0.0036630036630036,0.0006469030014178,0.0204534728078194
sky_background_adu,100.0,300.0,0,0,V<22.5 and inside nominal WCS detector rectangle,,,
sky_background_adu,300.0,1000.0,2644874,158962,V<22.5 and inside nominal WCS detector rectangle,0.0601019178985463,0.0598161186303187,0.0603889949954443
sky_background_adu,1000.0,3000.0,6893097,306749,V<22.5 and inside nominal WCS detector rectangle,0.0445008970568671,0.0443472146565484,0.0446550871477266
sky_background_adu,3000.0,10000.0,2974581,61532,V<22.5 and inside nominal WCS detector rectangle,0.0206859386246331,0.0205248104494756,0.0208483047979162
sky_background_adu,10000.0,30000.0,739862,7361,V<22.5 and inside nominal WCS detector rectangle,0.009949152679824,0.0097255344228166,0.0101778597246753
sky_background_adu,30000.0,inf,57859,175,V<22.5 and inside nominal WCS detector rectangle,0.0030245942722826,0.0026089442896073,0.003506231700713
sky_rate_arcsec_per_hour,0.0,3.0,138558,4163,V<22.5 and inside nominal WCS detector rectangle,0.0300451796359647,0.0291592595862781,0.0309571575392566
sky_rate_arcsec_per_hour,3.0,5.0,221793,6987,V<22.5 and inside nominal WCS detector rectangle,0.031502346782811,0.0307834881539826,0.0322374339064239
sky_rate_arcsec_per_hour,5.0,10.0,862490,28188,V<22.5 and inside nominal WCS detector rectangle,0.0326821180535426,0.0323089530899177,0.0330594457886874
sky_rate_arcsec_per_hour,10.0,20.0,2886373,99899,V<22.5 and inside nominal WCS detector rectangle,0.0346105648854115,0.034400307342395,0.034822061195539
sky_rate_arcsec_per_hour,20.0,40.0,7948668,354214,V<22.5 and inside nominal WCS detector rectangle,0.0445626864777847,0.0444194606961067,0.044706352469782
sky_rate_arcsec_per_hour,40.0,80.0,712256,23964,V<22.5 and inside nominal WCS detector rectangle,0.033645206217989,0.033228960073362,0.0340664827816621
sky_rate_arcsec_per_hour,80.0,160.0,17658,756,V<22.5 and inside nominal WCS detector rectangle,0.0428134556574923,0.0399257283849434,0.0459000595067064
sky_rate_arcsec_per_hour,160.0,320.0,3261,126,V<22.5 and inside nominal WCS detector rectangle,0.0386384544618215,0.0325480018220523,0.0458145961930768
sky_rate_arcsec_per_hour,320.0,640.0,1284,48,V<22.5 and inside nominal WCS detector rectangle,0.0373831775700934,0.0283110852327776,0.049215118118465
sky_rate_arcsec_per_hour,640.0,inf,961,24,V<22.5 and inside nominal WCS detector rectangle,0.0249739854318418,0.0168389986763987,0.0368915477742677
