dra_bin_center_arcsec,ddec_bin_center_arcsec,matched_n
-0.9875,-0.9875,0
-0.9875,-0.9624999999999999,0
-0.9875,-0.9375,0
-0.9875,-0.9125000000000001,0
-0.9875,-0.8875,0
-0.9875,-0.8625,0
-0.9875,-0.8374999999999999,0
-0.9875,-0.8125,0
-0.9875,-0.7875000000000001,0
-0.9875,-0.7625,0
-0.9875,-0.7375,0
-0.9875,-0.7124999999999999,0
-0.9875,-0.6875,0
-0.9875,-0.6625,0
-0.9875,-0.6375,0
-0.9875,-0.6125,0
-0.9875,-0.5874999999999999,0
-0.9875,-0.5625,0
-0.9875,-0.5375,0
-0.9875,-0.5125,0
-0.9875,-0.4875,0
-0.9875,-0.46249999999999997,0
-0.9875,-0.43749999999999994,0
-0.9875,-0.4124999999999999,0
-0.9875,-0.38749999999999996,0
-0.9875,-0.3625,0
-0.9875,-0.33749999999999997,0
-0.9875,-0.31249999999999994,0
-0.9875,-0.2874999999999999,0
-0.9875,-0.26249999999999996,0
-0.9875,-0.2375,0
-0.9875,-0.21249999999999997,1
-0.9875,-0.18749999999999994,2
-0.9875,-0.16249999999999992,3
-0.9875,-0.13749999999999996,3
-0.9875,-0.11249999999999999,12
-0.9875,-0.08749999999999997,10
-0.9875,-0.062499999999999944,11
-0.9875,-0.03749999999999992,7
-0.9875,-0.012499999999999956,10
-0.9875,0.012500000000000067,16
-0.9875,0.03750000000000009,4
-0.9875,0.0625,5
-0.9875,0.08750000000000002,11
-0.9875,0.11250000000000004,4
-0.9875,0.13750000000000007,3
-0.9875,0.1625000000000001,3
-0.9875,0.1875000000000001,3
-0.9875,0.21250000000000013,0
-0.9875,0.23750000000000004,0
-0.9875,0.26250000000000007,0
-0.9875,0.2875000000000001,0
-0.9875,0.3125000000000001,0
-0.9875,0.33750000000000013,0
-0.9875,0.36250000000000004,0
-0.9875,0.38750000000000007,0
-0.9875,0.4125000000000001,0
-0.9875,0.4375000000000001,0
-0.9875,0.46250000000000013,0
-0.9875,0.48750000000000004,0
-0.9875,0.5125000000000001,0
-0.9875,0.5375000000000001,0
-0.9875,0.5625000000000001,0
-0.9875,0.5875000000000001,0
-0.9875,0.6125,0
-0.9875,0.6375000000000001,0
-0.9875,0.6625000000000001,0
-0.9875,0.6875000000000001,0
-0.9875,0.7125000000000001,0
-0.9875,0.7375,0
-0.9875,0.7625000000000001,0
-0.9875,0.7875000000000001,0
-0.9875,0.8125000000000001,0
-0.9875,0.8375000000000001,0
-0.9875,0.8625,0
-0.9875,0.8875000000000001,0
-0.9875,0.9125000000000001,0
-0.9875,0.9375000000000001,0
-0.9875,0.9625000000000001,0
-0.9875,0.9875,0
-0.9624999999999999,-0.9875,0
-0.9624999999999999,-0.9624999999999999,0
-0.9624999999999999,-0.9375,0
-0.9624999999999999,-0.9125000000000001,0
-0.9624999999999999,-0.8875,0
-0.9624999999999999,-0.8625,0
-0.9624999999999999,-0.8374999999999999,0
-0.9624999999999999,-0.8125,0
-0.9624999999999999,-0.7875000000000001,0
-0.9624999999999999,-0.7625,0
-0.9624999999999999,-0.7375,0
-0.9624999999999999,-0.7124999999999999,0
-0.9624999999999999,-0.6875,0
-0.9624999999999999,-0.6625,0
-0.9624999999999999,-0.6375,0
-0.9624999999999999,-0.6125,0
-0.9624999999999999,-0.5874999999999999,0
-0.9624999999999999,-0.5625,0
-0.9624999999999999,-0.5375,0
-0.9624999999999999,-0.5125,0
-0.9624999999999999,-0.4875,0
-0.9624999999999999,-0.46249999999999997,0
-0.9624999999999999,-0.43749999999999994,0
-0.9624999999999999,-0.4124999999999999,0
-0.9624999999999999,-0.38749999999999996,0
-0.9624999999999999,-0.3625,0
-0.9624999999999999,-0.33749999999999997,0
-0.9624999999999999,-0.31249999999999994,0
-0.9624999999999999,-0.2874999999999999,2
-0.9624999999999999,-0.26249999999999996,6
-0.9624999999999999,-0.2375,4
-0.9624999999999999,-0.21249999999999997,7
-0.9624999999999999,-0.18749999999999994,10
-0.9624999999999999,-0.16249999999999992,10
-0.9624999999999999,-0.13749999999999996,8
-0.9624999999999999,-0.11249999999999999,7
-0.9624999999999999,-0.08749999999999997,12
-0.9624999999999999,-0.062499999999999944,6
-0.9624999999999999,-0.03749999999999992,5
-0.9624999999999999,-0.012499999999999956,5
-0.9624999999999999,0.012500000000000067,7
-0.9624999999999999,0.03750000000000009,14
-0.9624999999999999,0.0625,10
-0.9624999999999999,0.08750000000000002,9
-0.9624999999999999,0.11250000000000004,13
-0.9624999999999999,0.13750000000000007,11
-0.9624999999999999,0.1625000000000001,7
-0.9624999999999999,0.1875000000000001,3
-0.9624999999999999,0.21250000000000013,6
-0.9624999999999999,0.23750000000000004,3
-0.9624999999999999,0.26250000000000007,3
-0.9624999999999999,0.2875000000000001,5
-0.9624999999999999,0.3125000000000001,1
-0.9624999999999999,0.33750000000000013,0
-0.9624999999999999,0.36250000000000004,0
-0.9624999999999999,0.38750000000000007,0
-0.9624999999999999,0.4125000000000001,0
-0.9624999999999999,0.4375000000000001,0
-0.9624999999999999,0.46250000000000013,0
-0.9624999999999999,0.48750000000000004,0
-0.9624999999999999,0.5125000000000001,0
-0.9624999999999999,0.5375000000000001,0
-0.9624999999999999,0.5625000000000001,0
-0.9624999999999999,0.5875000000000001,0
-0.9624999999999999,0.6125,0
-0.9624999999999999,0.6375000000000001,0
-0.9624999999999999,0.6625000000000001,0
-0.9624999999999999,0.6875000000000001,0
-0.9624999999999999,0.7125000000000001,0
-0.9624999999999999,0.7375,0
-0.9624999999999999,0.7625000000000001,0
-0.9624999999999999,0.7875000000000001,0
-0.9624999999999999,0.8125000000000001,0
-0.9624999999999999,0.8375000000000001,0
-0.9624999999999999,0.8625,0
-0.9624999999999999,0.8875000000000001,0
-0.9624999999999999,0.9125000000000001,0
-0.9624999999999999,0.9375000000000001,0
-0.9624999999999999,0.9625000000000001,0
-0.9624999999999999,0.9875,0
-0.9375,-0.9875,0
-0.9375,-0.9624999999999999,0
-0.9375,-0.9375,0
-0.9375,-0.9125000000000001,0
-0.9375,-0.8875,0
-0.9375,-0.8625,0
-0.9375,-0.8374999999999999,0
-0.9375,-0.8125,0
-0.9375,-0.7875000000000001,0
-0.9375,-0.7625,0
-0.9375,-0.7375,0
-0.9375,-0.7124999999999999,0
-0.9375,-0.6875,0
-0.9375,-0.6625,0
-0.9375,-0.6375,0
-0.9375,-0.6125,0
-0.9375,-0.5874999999999999,0
-0.9375,-0.5625,0
-0.9375,-0.5375,0
-0.9375,-0.5125,0
-0.9375,-0.4875,0
-0.9375,-0.46249999999999997,0
-0.9375,-0.43749999999999994,0
-0.9375,-0.4124999999999999,0
-0.9375,-0.38749999999999996,0
-0.9375,-0.3625,2
-0.9375,-0.33749999999999997,5
-0.9375,-0.31249999999999994,10
-0.9375,-0.2874999999999999,7
-0.9375,-0.26249999999999996,12
-0.9375,-0.2375,9
-0.9375,-0.21249999999999997,9
-0.9375,-0.18749999999999994,12
-0.9375,-0.16249999999999992,8
-0.9375,-0.13749999999999996,14
-0.9375,-0.11249999999999999,10
-0.9375,-0.08749999999999997,11
-0.9375,-0.062499999999999944,9
-0.9375,-0.03749999999999992,7
