panel,grain,order,stage_key,stage_label,unit,stage_semantics,plot_role,source,source_column,note,all_count,included_count,primary_excluded_count,unknown_quarantine_count,closure_delta,source_evidence_nights,source_evidence_zero_nights,all_nonzero_nights,included_nonzero_nights,distribution_nights,night_median,night_p16,night_p84,night_p95
linkage,linkage,0,shared_link,Shared-endpoint links,linkage,production_path,linkage_bar,unknown_stage_counts_by_night.csv,link_n,,87850,83176,378,4296,0,128,5.0,123,119,124.0,463.5,168.68,1337.5599999999997,1743.3999999999996
linkage,linkage,1,fit_ok,Numerical fit_ok,linkage,production_path,linkage_bar,unknown_stage_counts_by_night.csv,orbit_fit_n,,87462,82821,378,4263,0,128,5.0,123,119,124.0,463.5,165.44,1330.7599999999998,1743.3999999999996
linkage,linkage,2,is_good,Thresholded is_good (diagnostic),linkage,diagnostic_parallel,linkage_bar,unknown_stage_counts_by_night.csv,orbit_is_good_n,Diagnostic threshold; not the selector used to define the production fit_ok path.,87351,82821,378,4152,0,128,5.0,123,119,124.0,463.5,165.44,1330.7599999999998,1743.3999999999996
linkage,linkage,3,fit_ok_non_known,fit_ok + all members non-known,linkage,production_path,linkage_bar,unknown_stage_counts_by_night.csv,orbit_fit_non_known_n,,7085,4762,378,1945,0,128,8.0,120,116,124.0,29.0,6.68,69.32,105.69999999999999
linkage,linkage,4,is_good_non_known,is_good + all members non-known (diagnostic),linkage,diagnostic_parallel,linkage_bar,unknown_stage_counts_by_night.csv,orbit_is_good_non_known_n,Diagnostic threshold; not the selector used to define the production fit_ok path.,6995,4762,378,1855,0,128,8.0,120,116,124.0,29.0,6.68,69.32,105.69999999999999
linkage,linkage,5,post_known_unknown,All-non-known / post-known catalog,linkage,production_path,linkage_bar,unknown_stage_counts_by_night.csv,unknown_n,,4762,4762,0,0,0,124,8.0,116,116,124.0,29.0,6.68,69.32,105.69999999999999
night_status,night,0,normal_catalog_nonempty,Catalog non-empty (normal),night,status_category,night_status_bar,unknown_stage_counts_by_night.csv,night_group,Unknown branch executed and final catalog was non-empty.,116,116,0,0,0,243,,116,116,,,,,
night_status,night,1,true_zero_catalog,True zero (executed),night,status_category,night_status_bar,unknown_stage_counts_by_night.csv,night_group,Unknown branch executed; final unknown catalog contained zero rows.,8,8,0,0,0,243,,8,8,,,,,
night_status,night,2,not_run,Not run (quality-included),night,status_category,night_status_bar,unknown_stage_counts_by_night.csv,night_group,Unknown branch was not run; these are not zero-yield executions.,115,115,0,0,0,243,,115,115,,,,,
night_status,night,3,quarantine,Unknown-branch quarantine,night,status_category,night_status_bar,unknown_stage_counts_by_night.csv,night_group,"Processed contributions retained for accounting but excluded from unknown science. Quarantine nights: 20251226, 20260528, 20260611.",3,0,0,3,0,243,,3,0,,,,,
night_status,night,4,primary_excluded,Primary-science excluded,night,status_category,night_status_bar,unknown_stage_counts_by_night.csv,night_group,Night excluded by the primary-science quality mask.,1,0,1,0,0,243,,1,0,,,,,
night_status,night,20,branch_catalog_nonempty,catalog non-empty,night,status_category,context_only,unknown_stage_counts_by_night.csv,night_group,Raw unknown-branch state: catalog non-empty.,116,116,0,0,0,243,,116,116,,,,,
night_status,night,21,branch_true_zero,executed true zero,night,status_category,context_only,unknown_stage_counts_by_night.csv,night_group,Raw unknown-branch state: executed true zero.,8,8,0,0,0,243,,8,8,,,,,
night_status,night,22,branch_not_run,not run; includes quarantined/excluded nights,night,status_category,context_only,unknown_stage_counts_by_night.csv,night_group,Raw unknown-branch state: not run; includes quarantined/excluded nights.,119,115,1,3,0,243,,119,115,,,,,
review_zoom,linkage,0,review_marked_real,Human review marked real,linkage,human_review,review_bar,unknown_stage_counts_by_night.csv,review_real_n,Unknown-review decisions before submission reconciliation.,68,68,0,0,0,124,88.0,36,36,124.0,0.0,0.0,1.0,3.0
review_zoom,linkage,1,submission_selected,Submission / frozen initial set,linkage,submission_selection,review_bar,unknown_stage_counts_by_night.csv,submit_real_n,1 review-real row withdrawn before submission: 20260507 / 00001et.,67,67,0,0,0,124,89.0,35,35,124.0,0.0,0.0,1.0,3.0
review_zoom,linkage,2,posthoc_retained,Post-hoc retained,linkage,posthoc_audit,review_bar,unknown_stage_counts_by_night.csv,audit_real_n,Retained high-confidence linkages; not confirmed independent objects.,58,58,0,0,0,124,90.0,34,34,124.0,0.0,0.0,1.0,2.0
review_zoom,linkage,20,audit_initial_crosscheck,Frozen audit initial set (cross-check),linkage,crosscheck,context_only,unknown_stage_counts_by_night.csv,audit_initial_n,Required to equal submission_real_n per night and in total.,67,67,0,0,0,124,89.0,35,35,124.0,0.0,0.0,1.0,3.0
source_detection,detection,0,l2_detection,L2 source detections,detection,production_path,detection_bar,unknown_stage_counts_by_night.csv,l2_detection_n,,1236013375,1144557890,18373862,73081623,0,131,0.0,131,127,127.0,7226766.0,1651869.6,16839194.639999997,23830235.69999998
source_detection,detection,1,mag_flag_prefilter,Magnitude/flag survivors,detection,production_path,detection_bar,unknown_stage_counts_by_night.csv,mag_flag_prefilter_detection_n,,942127551,883370479,12707278,46049794,0,131,3.0,128,124,127.0,6128690.0,1376670.8,12564491.559999997,16361456.09999998
source_detection,detection,2,gaia_survivor,Gaia-mask survivors,detection,production_path,detection_bar,unknown_stage_counts_by_night.csv,gaia_survivor_n,,29256246,27138619,251018,1866609,0,131,3.0,128,124,127.0,168323.0,60213.4,382373.44,496839.5999999999
source_detection,detection,3,grouped_gaia_input,Grouped Gaia-filtered input,detection,production_path,detection_bar,unknown_stage_counts_by_night.csv,grouped_gaia_input_detection_n,,27720162,25618052,238382,1863728,0,128,1.0,127,123,124.0,165886.0,56624.36,377080.44,483050.5999999999
source_detection,detection,4,common_area_skipped,Common-area survivors (skipped/no-op),detection,no_op_as_executed,detection_bar,unknown_stage_counts_by_night.csv,common_area_survivor_detection_n,Production used --skip-common-area; grouped input and common-area survivor counts are required to be identical.,27720162,25618052,238382,1863728,0,128,1.0,127,123,124.0,165886.0,56624.36,377080.44,483050.5999999999
source_detection,detection,5,edge_shell_survivor,Edge-shell survivors,detection,production_path,detection_bar,unknown_stage_counts_by_night.csv,edge_shell_survivor_detection_n,,23198577,21250751,205126,1742700,0,128,1.0,127,123,124.0,135526.0,34504.8,323087.3599999999,418315.3
source_detection,detection,6,static_survivor,Reference-anchored static survivors,detection,production_path,detection_bar,unknown_stage_counts_by_night.csv,static_survivor_detection_n,,9147171,7933253,105722,1108196,0,128,1.0,127,123,124.0,51116.0,18656.92,101439.87999999999,121493.09999999999
tracklet,tracklet,0,two_point_tracklet,Two-point tracklets,tracklet,production_path,tracklet_bar,unknown_stage_counts_by_night.csv,tracklet_n,Unit changes from source detections to tracklets at two-point pairing.,1177651,697805,7671,472175,0,128,1.0,127,123,124.0,4601.5,1697.1599999999999,9677.52,12133.199999999995
unit_context,link-detection membership,0,postknown_membership,Post-known link-detection memberships,link-detection membership,context,context_only,unknown_all_link_memberships.csv,postknown_membership_n,,14299,14299,0,0,0,243,127.0,116,116,239.0,0.0,0.0,147.0,252.89999999999995
unit_context,detection,1,postknown_unique_detection,Unique detections in post-known links,detection,context,context_only,unknown_unique_detections.csv,postknown_unique_detection_n,,14159,14159,0,0,0,243,127.0,116,116,239.0,0.0,0.0,144.92,248.29999999999998
unit_context,detection,2,retained_unique_detection,Unique detections in retained links,detection,context,context_only,unknown_unique_detections.csv,retained_unique_detection_n,,179,179,0,0,0,243,209.0,34,34,239.0,0.0,0.0,0.0,6.0
unit_context,tracklet,3,postknown_unique_tracklet,Unique tracklet IDs in post-known links,tracklet,context,context_only,unknown_all_links.csv: tracklet_ids,postknown_unique_tracklet_n,,9537,9537,0,0,0,243,127.0,116,116,239.0,0.0,0.0,98.0,168.59999999999997
unit_context,tracklet,4,retained_unique_tracklet,Unique tracklet IDs in retained links,tracklet,context,context_only,unknown_all_links.csv: tracklet_ids,retained_unique_tracklet_n,,121,121,0,0,0,243,209.0,34,34,239.0,0.0,0.0,0.0,4.0
