night,quality_code,unknown_science_included,unknown_mpc_state,tracklet_stage_state,l2_detection_n,mag_flag_prefilter_detection_n,gaia_survivor_n,grouped_gaia_input_detection_n,common_area_survivor_detection_n,edge_shell_survivor_detection_n,static_survivor_detection_n,tracklet_n,link_n,orbit_fit_n,orbit_is_good_n,orbit_fit_non_known_n,orbit_is_good_non_known_n,unknown_n,review_real_n,submit_real_n,audit_initial_n,audit_real_n,night_group,quality_group,postknown_unique_detection_n,retained_unique_detection_n,postknown_membership_n,postknown_unique_tracklet_n,retained_unique_tracklet_n,submission_derived_n,postaudit_derived_n
20251115,quality_ok,True,not_run,missing,10206011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20251116,quality_ok,True,catalog_nonempty,ok,8853251,6340169,241283,241283,241283,205960,101285,4723,383,383,383,11,11,11,0,0,0,0,normal,included,33,0,33,22,0,0,0
20251117,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20251118,quality_ok,True,catalog_nonempty,ok,13012247,9921957,288704,288704,288704,233705,101769,25480,967,967,967,72,72,72,0,0,0,0,normal,included,216,0,216,144,0,0,0
20251119,quality_ok,True,catalog_nonempty,ok,13261806,10465728,362078,360177,360177,298140,105020,9510,1493,1481,1481,64,64,64,0,0,0,0,normal,included,191,0,192,128,0,0,0
20251120,quality_ok,True,catalog_nonempty,ok,18192268,14102400,487839,484649,484649,416787,134159,11198,1120,1098,1098,63,63,63,0,0,0,0,normal,included,186,0,189,126,0,0,0
20251121,quality_ok,True,reply_received,ok,22632479,16924650,544739,544739,544739,458657,157975,15802,2042,2042,2042,104,104,104,1,1,1,1,normal,included,304,3,312,208,2,1,1
20251122,quality_ok,True,catalog_nonempty,ok,7226766,6318637,135418,135418,135418,99803,44333,3259,181,160,160,11,11,11,0,0,0,0,normal,included,33,0,33,22,0,0,0
20251123,quality_ok,True,catalog_nonempty,ok,1726995,1488908,111363,106201,106201,82981,29342,2859,365,365,365,63,63,63,0,0,0,0,normal,included,189,0,189,126,0,0,0
20251124,quality_ok,True,reply_received,ok,2235121,1864824,77978,55709,55709,43408,23119,1996,133,132,132,14,14,14,1,1,1,1,normal,included,42,3,42,28,2,1,1
20251125,quality_ok,True,reply_received,ok,2254570,1987250,107972,95356,95356,74796,35205,3623,241,238,238,20,20,20,2,2,2,2,normal,included,60,6,60,40,4,2,2
20251126,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20251127,quality_ok,True,catalog_nonempty,ok,5605687,4365362,149410,132096,132096,99939,42092,3084,256,256,256,5,5,5,0,0,0,0,normal,included,15,0,15,10,0,0,0
20251128,quality_ok,True,true_zero_catalog,ok,1683756,1461137,56855,47185,47185,34107,22093,1065,33,33,33,0,0,0,0,0,0,0,true_zero_catalog,included,0,0,0,0,0,0,0
20251129,quality_ok,True,catalog_nonempty,ok,1336817,1181926,50226,50023,50023,33657,14979,2262,304,304,304,16,16,16,0,0,0,0,normal,included,47,0,49,33,0,0,0
20251130,quality_ok,True,catalog_nonempty,ok,2043152,1831481,42759,39845,39845,18829,11826,998,56,48,48,1,1,1,0,0,0,0,normal,included,3,0,3,2,0,0,0
20251201,quality_ok,True,true_zero_catalog,zero_groups,1085845,886675,31116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true_zero_catalog,included,0,0,0,0,0,0,0
