elongation_bin_left_deg,elongation_bin_right_deg,exposure_n,retained_linkage_n
20.0,25.0,0,0
25.0,30.0,0,0
30.0,35.0,0,0
35.0,40.0,0,0
40.0,45.0,0,0
45.0,50.0,0,0
50.0,55.0,0,0
55.0,60.0,0,0
60.0,65.0,51,0
65.0,70.0,186,0
70.0,75.0,416,1
75.0,80.0,528,0
80.0,85.0,540,0
85.0,90.0,519,0
90.0,95.0,672,1
95.0,100.0,975,1
100.0,105.0,1059,1
105.0,110.0,1170,1
110.0,115.0,1153,0
115.0,120.0,1367,3
120.0,125.0,1735,0
125.0,130.0,1840,1
130.0,135.0,2062,1
135.0,140.0,2795,5
140.0,145.0,3886,6
145.0,150.0,5341,15
150.0,155.0,5661,14
155.0,160.0,4547,1
160.0,165.0,2964,6
165.0,170.0,714,1
170.0,175.0,212,0
175.0,180.0,6,0
