group,metric,label,display_unit,usable_normal_n,p50_hours,p90_hours,p95_hours,available_value_n,negative_value_n,historical_rerun_value_n,latest_mtime_only_value_n,restart_anomaly_value_n,percentile_filter
automatic,auto_l2_latest_to_known_start_hours,L2 latest → known start,hours,2,9.61191313361111,10.170766356499998,10.240623009361109,2,0,0,0,0,per-metric finite_nonnegative; metric run_class=normal_daily; exclude restart/reboot anomaly or explicit primary-science exclusion; a negative different metric does not exclude this metric
automatic,auto_known_start_to_ades_hours,Known start → ADES file,hours,2,0.01882095222222215,0.03307233888888883,0.03485376222222216,2,0,0,0,0,per-metric finite_nonnegative; metric run_class=normal_daily; exclude restart/reboot anomaly or explicit primary-science exclusion; a negative different metric does not exclude this metric
automatic,auto_l2_latest_to_known_ades_hours,L2 latest → known ADES,hours,2,9.630734085833332,10.203838695388887,10.275476771583332,127,0,0,125,0,per-metric finite_nonnegative; metric run_class=normal_daily; exclude restart/reboot anomaly or explicit primary-science exclusion; a negative different metric does not exclude this metric
automatic,auto_known_reply_to_unknown_start_hours,Known reply → unknown start,hours,2,0.01806379486111105,0.02774062497222213,0.028950228736111014,3,0,1,0,0,per-metric finite_nonnegative; metric run_class=normal_daily; exclude restart/reboot anomaly or explicit primary-science exclusion; a negative different metric does not exclude this metric
automatic,auto_known_mask15_to_unknown_start_hours,Known mask → unknown start,hours,2,1.3427522044444444,2.3915645695555554,2.5226661151944443,3,0,1,0,0,per-metric finite_nonnegative; metric run_class=normal_daily; exclude restart/reboot anomaly or explicit primary-science exclusion; a negative different metric does not exclude this metric
automatic,auto_unknown_start_to_end_minutes,Unknown wrapper runtime,hours,2,0.06777777777777778,0.116,0.12202777777777778,3,0,1,0,0,per-metric finite_nonnegative; metric run_class=normal_daily; exclude restart/reboot anomaly or explicit primary-science exclusion; a negative different metric does not exclude this metric
automatic,auto_unknown_start_to_catalog_hours,Unknown start → catalog,hours,2,0.0340829943055555,0.055605135083333264,0.05829540268055548,3,0,1,0,0,per-metric finite_nonnegative; metric run_class=normal_daily; exclude restart/reboot anomaly or explicit primary-science exclusion; a negative different metric does not exclude this metric
automatic,auto_unknown_start_to_review_package_hours,Unknown start → review package,hours,2,0.06793433388888884,0.11611780877777776,0.12214074313888887,3,0,1,0,0,per-metric finite_nonnegative; metric run_class=normal_daily; exclude restart/reboot anomaly or explicit primary-science exclusion; a negative different metric does not exclude this metric
human,human_review_package_to_review_csv_hours,Review package → review CSV,hours,1,46.458910547777776,46.458910547777776,46.458910547777776,124,8,1,121,0,per-metric finite_nonnegative; metric run_class=normal_daily; exclude restart/reboot anomaly or explicit primary-science exclusion; a negative different metric does not exclude this metric
human,human_review_package_to_submit_csv_hours,Review package → submit CSV,hours,1,0.0700612063888889,0.0700612063888889,0.0700612063888889,117,1,0,116,0,per-metric finite_nonnegative; metric run_class=normal_daily; exclude restart/reboot anomaly or explicit primary-science exclusion; a negative different metric does not exclude this metric
human,human_review_csv_to_submit_csv_hours,Review CSV → submit CSV,hours,0,,,,117,2,0,116,0,per-metric finite_nonnegative; metric run_class=normal_daily; exclude restart/reboot anomaly or explicit primary-science exclusion; a negative different metric does not exclude this metric
mpc,mpc_known_ades_to_reply_hours,Known ADES → MPC reply,hours,2,0.0013096973611111,0.00157124747222222,0.00160394123611111,122,0,0,120,0,per-metric finite_nonnegative; metric run_class=normal_daily; exclude restart/reboot anomaly or explicit primary-science exclusion; a negative different metric does not exclude this metric
mpc,mpc_unknown_ades_to_reply_hours,Unknown ADES → MPC reply,hours,0,,,,35,0,0,35,0,per-metric finite_nonnegative; metric run_class=normal_daily; exclude restart/reboot anomaly or explicit primary-science exclusion; a negative different metric does not exclude this metric
