metric,lower,upper,stage,eligible_object_n,survived_object_n,survival_fraction,ci95_low,ci95_high,denominator_definition
predicted_v_mag,8.0,12.0,strict_linked,128,18,0.140625,0.09083969494262253,0.21135249237896167,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
predicted_v_mag,8.0,12.0,fit_ok_survived,128,18,0.140625,0.09083969494262253,0.21135249237896167,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
predicted_v_mag,8.0,12.0,is_good_survived,128,18,0.140625,0.09083969494262253,0.21135249237896167,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
predicted_v_mag,12.0,14.0,strict_linked,755,369,0.48874172185430464,0.45323287944460044,0.5243645491059964,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
predicted_v_mag,12.0,14.0,fit_ok_survived,755,369,0.48874172185430464,0.45323287944460044,0.5243645491059964,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
predicted_v_mag,12.0,14.0,is_good_survived,755,369,0.48874172185430464,0.45323287944460044,0.5243645491059964,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
predicted_v_mag,14.0,15.0,strict_linked,984,626,0.6361788617886179,0.6056434640873901,0.6656551310535185,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
predicted_v_mag,14.0,15.0,fit_ok_survived,984,626,0.6361788617886179,0.6056434640873901,0.6656551310535185,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
predicted_v_mag,14.0,15.0,is_good_survived,984,626,0.6361788617886179,0.6056434640873901,0.6656551310535185,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
predicted_v_mag,15.0,16.0,strict_linked,2048,1428,0.697265625,0.6770133404582253,0.716779267896809,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
predicted_v_mag,15.0,16.0,fit_ok_survived,2048,1428,0.697265625,0.6770133404582253,0.716779267896809,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
predicted_v_mag,15.0,16.0,is_good_survived,2048,1428,0.697265625,0.6770133404582253,0.716779267896809,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
predicted_v_mag,16.0,17.0,strict_linked,5247,3820,0.7280350676577092,0.7158315251708737,0.7399049541661834,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
predicted_v_mag,16.0,17.0,fit_ok_survived,5247,3820,0.7280350676577092,0.7158315251708737,0.7399049541661834,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
predicted_v_mag,16.0,17.0,is_good_survived,5247,3820,0.7280350676577092,0.7158315251708737,0.7399049541661834,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
predicted_v_mag,17.0,18.0,strict_linked,17049,12889,0.7559974192034723,0.7494932441966474,0.7623862581771265,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
predicted_v_mag,17.0,18.0,fit_ok_survived,17049,12889,0.7559974192034723,0.7494932441966474,0.7623862581771265,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
predicted_v_mag,17.0,18.0,is_good_survived,17049,12889,0.7559974192034723,0.7494932441966474,0.7623862581771265,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
predicted_v_mag,18.0,19.0,strict_linked,43984,33477,0.7611176791560568,0.7571100733800028,0.7650796781108361,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
predicted_v_mag,18.0,19.0,fit_ok_survived,43984,33477,0.7611176791560568,0.7571100733800028,0.7650796781108361,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
predicted_v_mag,18.0,19.0,is_good_survived,43984,33477,0.7611176791560568,0.7571100733800028,0.7650796781108361,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
predicted_v_mag,19.0,20.0,strict_linked,31752,23091,0.7272297808012094,0.7223036317600142,0.7321009545178228,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
predicted_v_mag,19.0,20.0,fit_ok_survived,31752,23091,0.7272297808012094,0.7223036317600142,0.7321009545178228,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
predicted_v_mag,19.0,20.0,is_good_survived,31752,23091,0.7272297808012094,0.7223036317600142,0.7321009545178228,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
predicted_v_mag,20.0,21.0,strict_linked,366,181,0.49453551912568305,0.44363753274428547,0.5455470221383532,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
predicted_v_mag,20.0,21.0,fit_ok_survived,366,181,0.49453551912568305,0.44363753274428547,0.5455470221383532,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
predicted_v_mag,20.0,21.0,is_good_survived,366,181,0.49453551912568305,0.44363753274428547,0.5455470221383532,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
predicted_v_mag,21.0,22.0,strict_linked,23,0,0.0,0.0,0.14311661845042686,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
predicted_v_mag,21.0,22.0,fit_ok_survived,23,0,0.0,0.0,0.14311661845042686,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
predicted_v_mag,21.0,22.0,is_good_survived,23,0,0.0,0.0,0.14311661845042686,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
predicted_v_mag,22.0,22.5,strict_linked,11,0,0.0,0.0,0.2588329669680317,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
predicted_v_mag,22.0,22.5,fit_ok_survived,11,0,0.0,0.0,0.2588329669680317,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
predicted_v_mag,22.0,22.5,is_good_survived,11,0,0.0,0.0,0.2588329669680317,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
measured_aperture_magnitude,10.0,13.0,strict_linked,643,262,0.40746500777604977,0.3701444011841818,0.4458847070659946,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
measured_aperture_magnitude,10.0,13.0,fit_ok_survived,643,262,0.40746500777604977,0.3701444011841818,0.4458847070659946,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
measured_aperture_magnitude,10.0,13.0,is_good_survived,643,262,0.40746500777604977,0.3701444011841818,0.4458847070659946,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
measured_aperture_magnitude,13.0,14.0,strict_linked,802,488,0.6084788029925187,0.574258200185467,0.6416651655031631,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
measured_aperture_magnitude,13.0,14.0,fit_ok_survived,802,488,0.6084788029925187,0.574258200185467,0.6416651655031631,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
measured_aperture_magnitude,13.0,14.0,is_good_survived,802,488,0.6084788029925187,0.574258200185467,0.6416651655031631,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
measured_aperture_magnitude,14.0,15.0,strict_linked,1448,997,0.68853591160221,0.6642110682215494,0.7118630524634368,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
measured_aperture_magnitude,14.0,15.0,fit_ok_survived,1448,997,0.68853591160221,0.6642110682215494,0.7118630524634368,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
