night,raw_exposure_n,unique_field_n,cumulative_exposure_n,cumulative_open_shutter_hours,cumulative_unique_field_n,cumulative_healpix_pixel_n,cumulative_area_deg2
20251115,292,94,292,2.433333333333333,94,55582,728.9003029394855
20251116,291,94,583,4.858333333333333,94,55582,728.9003029394855
20251118,294,94,877,7.308333333333334,94,55582,728.9003029394855
20251119,389,129,1266,10.55,193,114414,1500.4209862998505
20251120,420,140,1686,14.05,265,155450,2038.5655804386856
20251121,475,156,2161,18.008333333333333,334,193602,2538.8895046901926
20251122,227,80,2388,19.9,376,216823,2843.4088443065752
20251123,170,56,2558,21.316666666666666,402,230679,3025.115918494793
20251124,138,63,2696,22.466666666666665,432,247404,3244.446953122242
20251125,164,71,2860,23.833333333333332,462,263233,3452.0278767167356
20251127,224,100,3084,25.7,510,289577,3797.502123426782
20251128,111,57,3195,26.625,539,305626,4007.9681189266885
20251129,140,49,3335,27.791666666666668,562,318898,4182.016638602354
20251130,157,50,3492,29.1,570,322542,4229.803920526565
20251201,39,39,3531,29.425,584,330352,4332.2239731687405
20251202,156,50,3687,30.725,585,330697,4336.748290474957
20251203,424,150,4111,34.25833333333333,625,353275,4632.835351749609
20251204,448,163,4559,37.99166666666667,647,364549,4780.682172938838
20251205,462,156,5021,41.84166666666667,701,395485,5186.3757386927855
20251206,371,138,5392,44.93333333333333,729,410691,5385.786663209677
20251207,493,167,5885,49.041666666666664,753,422711,5543.416500950899
20251208,382,175,6267,52.225,770,432065,5666.084512783794
20251209,484,164,6751,56.25833333333333,781,437915,5742.8011975413765
20251210,418,151,7169,59.74166666666667,793,444565,5830.009052864099
20251213,441,183,7610,63.416666666666664,846,473539,6209.973022807042
20251214,268,94,7878,65.65,856,478793,6278.873785493596
20251215,444,154,8322,69.35,866,483943,6346.410696006683
20251216,431,164,8753,72.94166666666666,874,488406,6404.938313796955
20251217,443,143,9196,76.63333333333334,894,498955,6543.277511661527
20251220,506,175,9702,80.85,896,499810,6554.48995020302
20251221,293,117,9995,83.29166666666667,907,505385,6627.600295078836
20251223,306,102,10301,85.84166666666667,912,507619,6656.896888881988
20251225,328,108,10629,88.575,915,508690,6670.941943476069
20251226,627,183,11256,93.8,915,508690,6670.941943476069
20251227,474,171,11730,97.75,915,508690,6670.941943476069
20251228,498,128,12228,101.9,919,510758,6698.0616193869555
20251229,471,148,12699,105.825,931,517338,6784.351497285228
20251230,436,166,13135,109.45833333333333,943,523908,6870.510235551437
20251231,451,170,13586,113.21666666666667,970,538965,7067.96717955057
20260101,444,182,14030,116.91666666666667,979,543978,7133.707477104376
20260102,518,197,14548,121.23333333333333,1010,561764,7366.952426693842
20260103,118,54,14666,122.21666666666667,1010,561764,7366.952426693842
20260104,497,162,15163,126.35833333333333,1014,563950,7395.619550263086
20260105,508,190,15671,130.59166666666667,1021,567286,7439.367731519718
20260106,435,158,16106,134.21666666666667,1033,573580,7521.907015940954
20260107,464,161,16570,138.08333333333334,1038,576256,7556.9999814813455
20260108,226,73,16796,139.96666666666667,1043,578905,7591.738870015164
20260109,271,99,17067,142.225,1065,590489,7743.651019798385
20260110,392,135,17459,145.49166666666667,1072,593921,7788.658141522834
20260111,347,125,17806,148.38333333333333,1077,596439,7821.679100876611
20260112,271,93,18077,150.64166666666668,1081,598507,7848.7987767874965
20260114,405,155,18482,154.01666666666668,1087,601388,7886.580104785206
20260115,413,169,18895,157.45833333333334,1087,601388,7886.580104785206
20260116,393,159,19288,160.73333333333332,1089,602194,7897.149959129584
20260117,245,78,19533,162.775,1089,602194,7897.149959129584
20260119,456,213,19989,166.575,1089,602194,7897.149959129584
20260120,508,194,20497,170.80833333333334,1089,602194,7897.149959129584
20260121,492,181,20989,174.90833333333333,1089,602194,7897.149959129584
20260122,501,188,21490,179.08333333333334,1092,603571,7915.20788646483
20260123,486,200,21976,183.13333333333333,1092,603571,7915.20788646483
20260124,482,159,22458,187.15,1092,603571,7915.20788646483
20260126,496,171,22954,191.28333333333333,1100,607983,7973.066692131575
20260127,374,162,23328,194.4,1100,607983,7973.066692131575
20260128,34,29,23362,194.68333333333334,1100,607983,7973.066692131575
20260129,319,123,23681,197.34166666666667,1123,620872,8142.09256389918
20260131,317,149,23998,199.98333333333332,1123,620872,8142.09256389918
20260201,292,128,24290,202.41666666666666,1123,620872,8142.09256389918
20260202,493,173,24783,206.525,1141,630985,8274.714073805751
20260205,287,97,25070,208.91666666666666,1141,630985,8274.714073805751
20260206,240,81,25310,210.91666666666666,1141,630985,8274.714073805751
20260207,495,167,25805,215.04166666666666,1142,631406,8280.235052315657
20260208,489,176,26294,219.11666666666667,1147,633957,8313.688772455245
20260209,1,1,26295,219.125,1147,633957,8313.688772455245
20260210,140,55,26435,220.29166666666666,1147,633957,8313.688772455245
20260211,416,153,26851,223.75833333333333,1152,636663,8349.17515689183
20260212,289,113,27140,226.16666666666666,1152,636663,8349.17515689183
20260213,394,142,27534,229.45,1189,657478,8622.142301033555
20260215,461,196,27995,233.29166666666666,1227,678847,8902.37458079164
20260216,482,178,28477,237.30833333333334,1234,682524,8950.594623501662
20260217,486,175,28963,241.35833333333332,1251,692028,9075.22972981552
20260218,497,191,29460,245.5,1256,694648,9109.588313416352
20260219,278,117,29738,247.81666666666666,1256,694648,9109.588313416352
20260220,462,188,30200,251.66666666666666,1256,694648,9109.588313416352
20260222,429,191,30629,255.24166666666667,1263,698244,9156.746125106656
20260223,84,57,30713,255.94166666666666,1263,698244,9156.746125106656
20260224,47,28,30760,256.3333333333333,1263,698244,9156.746125106656
20260303,185,66,30945,257.875,1263,698244,9156.746125106656
20260306,313,138,31258,260.48333333333335,1263,698244,9156.746125106656
20260308,235,94,31493,262.44166666666666,1265,699021,9166.935674518047
20260309,182,49,31675,263.9583333333333,1265,699021,9166.935674518047
20260310,457,153,32132,267.76666666666665,1266,699371,9171.525561640296
20260311,408,135,32540,271.1666666666667,1267,699892,9178.357936470842
20260312,335,115,32875,273.9583333333333,1267,699892,9178.357936470842
20260315,127,53,33002,275.01666666666665,1267,699892,9178.357936470842
20260316,140,65,33142,276.18333333333334,1267,699892,9178.357936470842
20260318,99,44,33241,277.0083333333333,1267,699892,9178.357936470842
20260330,308,105,33549,279.575,1269,700990,9192.757068071496
20260331,342,64,33891,282.425,1275,704318,9236.400337622477
20260401,365,76,34256,285.46666666666664,1299,718528,9422.74975478577
20260403,232,71,34488,287.4,1319,730594,9580.982834834487
