field_id,exposure_n,night_n,first_night,last_night,open_shutter_s,center_ra_deg,center_dec_deg,nominal_pixel_n_nside512
1805,95,23,20260222,20260715,2850.0,221.33175309737288,1.0853050757738696,755
1528,94,27,20260106,20260601,2820.0,180.32612195231403,11.765423611535558,775
1672,94,27,20260215,20260620,2820.0,211.71188764427023,1.618417872987434,755
1790,94,27,20251231,20260601,2820.0,183.70232859881293,16.160490106362452,750
1801,93,26,20260218,20260620,2790.0,211.2398896898021,4.6522860440999665,772
1803,93,24,20260222,20260620,2790.0,216.26930611071086,2.8111307926507645,756
1542,92,24,20260215,20260620,2760.0,215.12060536546414,-2.457204555381106,755
1660,92,27,20251231,20260601,2760.0,181.8223029029429,14.044417861104803,758
1541,90,25,20260215,20260620,2700.0,212.60191056852602,-1.5581127712648366,755
1674,90,25,20260215,20260620,2700.0,216.74300353407423,-0.18988132052024426,755
1396,88,27,20260106,20260601,2640.0,181.6802127964844,8.254101035859271,792
1675,88,22,20260222,20260715,2640.0,219.27328968641064,-1.0516938208366535,756
1408,87,24,20260222,20260620,2610.0,211.40304767922993,-3.9691679898971914,772
1544,87,22,20260215,20260715,2610.0,220.19272713947205,-4.171233588413453,756
1673,87,25,20260215,20260620,2610.0,214.22283979422,0.7007660047076938,755
1278,86,20,20260215,20260715,2580.0,220.84904445471855,-9.999554519524446,775
1802,86,25,20260222,20260620,2580.0,213.75095301775676,3.7182081355361936,775
1412,85,19,20260330,20260715,2550.0,221.5738057129596,-7.420324184039061,792
1661,85,24,20260126,20260601,2550.0,184.33123260614735,12.952268602056067,757
1411,84,21,20260215,20260715,2520.0,219.01043996290468,-6.6009385878311715,772
1529,84,25,20260114,20260601,2520.0,182.8177974888472,10.683133737260667,775
1409,83,23,20260222,20260620,2490.0,213.92583110329812,-4.873509254770945,791
1410,83,22,20260215,20260620,2490.0,216.46135051205002,-5.751386542041468,755
1804,83,23,20260222,20260620,2490.0,218.79594846736506,1.9328928927293747,755
