metric,lower,upper,denominator_prediction_n,matched_1arcsec_n,denominator_definition,recovery_fraction,ci95_low,ci95_high
header_limiting_magnitude,12.0,14.0,0,0,V<22.5 and inside nominal WCS detector rectangle,,,
header_limiting_magnitude,14.0,15.0,1658,0,V<22.5 and inside nominal WCS detector rectangle,0.0,0.0,0.0023115675687981514
header_limiting_magnitude,15.0,16.0,19228,9,V<22.5 and inside nominal WCS detector rectangle,0.00046806740170584563,0.00024627815185857514,0.0008894143853049178
header_limiting_magnitude,16.0,17.0,29136,34,V<22.5 and inside nominal WCS detector rectangle,0.0011669412410763318,0.0008352334821300437,0.0016301697329910033
header_limiting_magnitude,17.0,18.0,81312,210,V<22.5 and inside nominal WCS detector rectangle,0.0025826446280991736,0.0022565086421694634,0.002955777810468827
header_limiting_magnitude,18.0,19.0,637768,4685,V<22.5 and inside nominal WCS detector rectangle,0.007345931435882641,0.007139303606381706,0.007558494021966458
header_limiting_magnitude,19.0,20.0,3864808,77162,V<22.5 and inside nominal WCS detector rectangle,0.01996528676198145,0.019826305405335264,0.02010522238686063
header_limiting_magnitude,20.0,21.0,8270369,419866,V<22.5 and inside nominal WCS detector rectangle,0.050767505053281176,0.05061810214560264,0.05091732528389384
header_limiting_magnitude,21.0,22.0,405302,32806,V<22.5 and inside nominal WCS detector rectangle,0.08094211230144435,0.08010639170949509,0.08178577649279146
header_limiting_magnitude,22.0,23.0,965,8,V<22.5 and inside nominal WCS detector rectangle,0.008290155440414507,0.004206624033010596,0.016272948388307753
header_limiting_magnitude,23.0,25.0,0,0,V<22.5 and inside nominal WCS detector rectangle,,,
l2_catalog_source_count,0.0,5000.0,154793,318,V<22.5 and inside nominal WCS detector rectangle,0.0020543564631475583,0.0018408172336249326,0.0022926098621140053
l2_catalog_source_count,5000.0,10000.0,2108705,37424,V<22.5 and inside nominal WCS detector rectangle,0.017747385243549952,0.017570057144122155,0.017926470393097086
l2_catalog_source_count,10000.0,20000.0,5921794,259156,V<22.5 and inside nominal WCS detector rectangle,0.04376308936109564,0.043598622681521,0.04392814796067552
l2_catalog_source_count,20000.0,40000.0,2401196,125028,V<22.5 and inside nominal WCS detector rectangle,0.05206905225562595,0.051788764189006416,0.05235077352931184
l2_catalog_source_count,40000.0,80000.0,1566628,69676,V<22.5 and inside nominal WCS detector rectangle,0.044475140237503735,0.04415344728523672,0.04479906712877832
l2_catalog_source_count,80000.0,160000.0,1077906,41394,V<22.5 and inside nominal WCS detector rectangle,0.03840223544539134,0.038041106355834145,0.038766654622367835
l2_catalog_source_count,160000.0,inf,79524,1784,V<22.5 and inside nominal WCS detector rectangle,0.02243347920124742,0.02142706461513943,0.023486029884856322
moon_illumination_fraction,0.0,0.25,4625646,231594,V<22.5 and inside nominal WCS detector rectangle,0.050067385182523697,0.04986901835670237,0.05026649931852679
moon_illumination_fraction,0.25,0.5,1876946,91507,V<22.5 and inside nominal WCS detector rectangle,0.04875313408057557,0.048445971884177194,0.04906214336549501
moon_illumination_fraction,0.5,0.75,2355525,99908,V<22.5 and inside nominal WCS detector rectangle,0.04241432377070929,0.04215770423576285,0.04267243579133558
moon_illumination_fraction,0.75,1.001,4452429,111771,V<22.5 and inside nominal WCS detector rectangle,0.025103376157149276,0.024958475560691074,0.025249096213839462
