night,source_prediction_row_n,predicted_nominal_n,duplicate_prediction_row_n,matched_1arcsec_n,recovery_fraction,predicted_rate_finite_n
20251115,79486,79486,0,58,0.0007296882469868907,79348
20251116,82312,82312,0,2596,0.03153853630090388,82275
20251118,82741,82741,0,5297,0.06401904738883987,82713
20251119,148809,148710,99,8311,0.055887297424517514,147763
20251120,97437,97288,149,6587,0.06770619192500617,96243
20251121,157413,157182,231,12749,0.08110979628710667,157102
20251122,51778,51778,0,1100,0.021244544014832556,51733
20251123,40088,39962,126,1825,0.04566838496571743,38259
20251124,44622,44594,28,1008,0.022603937749473023,38227
20251125,63197,63197,0,1595,0.025238539804104624,60493
20251127,80006,79838,168,2849,0.03568476164232571,75310
20251128,51802,51802,0,1446,0.027913980155206363,48173
20251129,51977,51977,0,1643,0.03161013525213075,51773
20251130,59293,59293,0,524,0.008837468166562664,55984
20251201,10843,10843,0,443,0.04085585170155861,2494
20251202,35984,35918,66,682,0.018987694192326966,35892
20251203,139830,139668,162,3339,0.023906693014863818,132429
20251204,138880,138880,0,2806,0.020204493087557604,138784
20251205,110931,110902,29,1077,0.00971127662260374,109572
20251206,137564,137534,30,4144,0.030130731310076053,133809
20251207,182408,182408,0,6328,0.03469146090083768,180675
20251208,133243,133243,0,6022,0.04519562003257207,117213
20251209,176099,176099,0,6585,0.03739373874922629,171718
20251210,133427,133427,0,7375,0.055273670246651724,130729
20251213,157148,157148,0,7344,0.04673301601038511,148896
20251214,108319,108319,0,7087,0.06542711804946501,105897
20251215,165680,165680,0,9771,0.058975132786093676,161545
20251216,154876,154876,0,9635,0.06221105916991658,145563
20251217,155643,155562,81,7683,0.049388668183746674,150744
20251220,198759,198711,48,12405,0.06242734423358546,192791
20251221,70546,70546,0,2049,0.029044878518980525,66302
20251223,139713,139713,0,10134,0.0725344098258573,136360
20251225,81282,81282,0,5444,0.06697669840801161,80884
20251226,157974,157974,0,9133,0.05781331105118564,157085
20251227,125182,125182,0,6732,0.053777699669281524,122236
20251228,182851,182851,0,10122,0.055356547134005285,182796
20251229,181142,181142,0,9371,0.051732894635148116,181075
20251230,131670,131658,12,3245,0.024647191967066186,125279
20251231,113685,113676,9,2777,0.024429079137196944,111564
20260101,108836,108836,0,2269,0.020847881215774192,97970
20260102,188399,188390,9,2451,0.013010244705132968,179020
20260103,40207,40201,6,624,0.015522001940250243,36623
20260104,131978,131978,0,3863,0.029270029853460427,131903
20260105,133598,133595,3,3025,0.022643062988884313,125877
20260106,159380,159380,0,2931,0.018390011293763334,150504
20260107,147139,147139,0,7352,0.04996635834143225,143906
20260108,81573,81573,0,3919,0.04804285731798512,80092
20260109,97433,97433,0,2731,0.02802951771986904,90418
20260110,134043,134043,0,4516,0.03369068134852249,130905
20260111,106042,106042,0,180,0.0016974406367288432,101025
