detection_key,linkage_membership_n,linkage_n,nights,image_name,obj_id
20251116::OBJ_MP_1222_0197.fits.gz::11466,1,1,20251116,OBJ_MP_1222_0197.fits.gz,11466
20251116::OBJ_MP_1222_0217.fits.gz::11965,1,1,20251116,OBJ_MP_1222_0217.fits.gz,11965
20251116::OBJ_MP_1222_0237.fits.gz::9264,1,1,20251116,OBJ_MP_1222_0237.fits.gz,9264
20251116::OBJ_MP_1223_0200.fits.gz::1507,1,1,20251116,OBJ_MP_1223_0200.fits.gz,1507
20251116::OBJ_MP_1223_0220.fits.gz::1601,1,1,20251116,OBJ_MP_1223_0220.fits.gz,1601
20251116::OBJ_MP_1223_0240.fits.gz::1255,1,1,20251116,OBJ_MP_1223_0240.fits.gz,1255
20251116::OBJ_MP_1340_0092.fits.gz::4687,1,1,20251116,OBJ_MP_1340_0092.fits.gz,4687
20251116::OBJ_MP_1340_0113.fits.gz::5019,1,1,20251116,OBJ_MP_1340_0113.fits.gz,5019
20251116::OBJ_MP_1340_0134.fits.gz::4561,1,1,20251116,OBJ_MP_1340_0134.fits.gz,4561
20251116::OBJ_MP_1469_0036.fits.gz::6502,1,1,20251116,OBJ_MP_1469_0036.fits.gz,6502
20251116::OBJ_MP_1469_0052.fits.gz::6929,1,1,20251116,OBJ_MP_1469_0052.fits.gz,6929
20251116::OBJ_MP_1469_0068.fits.gz::6676,1,1,20251116,OBJ_MP_1469_0068.fits.gz,6676
20251116::OBJ_MP_1474_0098.fits.gz::11880,1,1,20251116,OBJ_MP_1474_0098.fits.gz,11880
20251116::OBJ_MP_1474_0119.fits.gz::9477,1,1,20251116,OBJ_MP_1474_0119.fits.gz,9477
20251116::OBJ_MP_1474_0140.fits.gz::11414,1,1,20251116,OBJ_MP_1474_0140.fits.gz,11414
20251116::OBJ_MP_1604_0045.fits.gz::371,1,1,20251116,OBJ_MP_1604_0045.fits.gz,371
20251116::OBJ_MP_1604_0061.fits.gz::430,1,1,20251116,OBJ_MP_1604_0061.fits.gz,430
20251116::OBJ_MP_1604_0077.fits.gz::434,1,1,20251116,OBJ_MP_1604_0077.fits.gz,434
20251116::OBJ_MP_1605_0091.fits.gz::13610,1,1,20251116,OBJ_MP_1605_0091.fits.gz,13610
20251116::OBJ_MP_1605_0112.fits.gz::14069,1,1,20251116,OBJ_MP_1605_0112.fits.gz,14069
20251116::OBJ_MP_1605_0133.fits.gz::14321,1,1,20251116,OBJ_MP_1605_0133.fits.gz,14321
20251116::OBJ_MP_1734_0039.fits.gz::1573,1,1,20251116,OBJ_MP_1734_0039.fits.gz,1573
20251116::OBJ_MP_1734_0055.fits.gz::1636,1,1,20251116,OBJ_MP_1734_0055.fits.gz,1636
20251116::OBJ_MP_1734_0071.fits.gz::1566,1,1,20251116,OBJ_MP_1734_0071.fits.gz,1566
20251116::OBJ_MP_1752_0196.fits.gz::4127,1,1,20251116,OBJ_MP_1752_0196.fits.gz,4127
20251116::OBJ_MP_1752_0216.fits.gz::4263,1,1,20251116,OBJ_MP_1752_0216.fits.gz,4263
20251116::OBJ_MP_1752_0236.fits.gz::4099,1,1,20251116,OBJ_MP_1752_0236.fits.gz,4099
20251116::OBJ_MP_1754_0204.fits.gz::2551,1,1,20251116,OBJ_MP_1754_0204.fits.gz,2551
20251116::OBJ_MP_1754_0224.fits.gz::2593,1,1,20251116,OBJ_MP_1754_0224.fits.gz,2593
20251116::OBJ_MP_1754_0244.fits.gz::2223,1,1,20251116,OBJ_MP_1754_0244.fits.gz,2223
20251116::OBJ_MP_1757_0257.fits.gz::58626,1,1,20251116,OBJ_MP_1757_0257.fits.gz,58626
20251116::OBJ_MP_1757_0277.fits.gz::55426,1,1,20251116,OBJ_MP_1757_0277.fits.gz,55426
20251116::OBJ_MP_1757_0297.fits.gz::74771,1,1,20251116,OBJ_MP_1757_0297.fits.gz,74771
20251118::OBJ_MP_0933_0085.fits.gz::6092,1,1,20251118,OBJ_MP_0933_0085.fits.gz,6092
20251118::OBJ_MP_0933_0106.fits.gz::5706,1,1,20251118,OBJ_MP_0933_0106.fits.gz,5706
20251118::OBJ_MP_0933_0127.fits.gz::6339,1,1,20251118,OBJ_MP_0933_0127.fits.gz,6339
20251118::OBJ_MP_1068_0078.fits.gz::10035,1,1,20251118,OBJ_MP_1068_0078.fits.gz,10035
20251118::OBJ_MP_1068_0078.fits.gz::10053,1,1,20251118,OBJ_MP_1068_0078.fits.gz,10053
20251118::OBJ_MP_1068_0078.fits.gz::1808,1,1,20251118,OBJ_MP_1068_0078.fits.gz,1808
20251118::OBJ_MP_1068_0078.fits.gz::4545,1,1,20251118,OBJ_MP_1068_0078.fits.gz,4545
20251118::OBJ_MP_1068_0078.fits.gz::5458,1,1,20251118,OBJ_MP_1068_0078.fits.gz,5458
20251118::OBJ_MP_1068_0099.fits.gz::10606,1,1,20251118,OBJ_MP_1068_0099.fits.gz,10606
20251118::OBJ_MP_1068_0099.fits.gz::10625,1,1,20251118,OBJ_MP_1068_0099.fits.gz,10625
20251118::OBJ_MP_1068_0099.fits.gz::1900,1,1,20251118,OBJ_MP_1068_0099.fits.gz,1900
20251118::OBJ_MP_1068_0099.fits.gz::4749,1,1,20251118,OBJ_MP_1068_0099.fits.gz,4749
20251118::OBJ_MP_1068_0099.fits.gz::5701,1,1,20251118,OBJ_MP_1068_0099.fits.gz,5701
20251118::OBJ_MP_1068_0120.fits.gz::10653,1,1,20251118,OBJ_MP_1068_0120.fits.gz,10653
20251118::OBJ_MP_1068_0120.fits.gz::10675,1,1,20251118,OBJ_MP_1068_0120.fits.gz,10675
20251118::OBJ_MP_1068_0120.fits.gz::1932,1,1,20251118,OBJ_MP_1068_0120.fits.gz,1932
20251118::OBJ_MP_1068_0120.fits.gz::4788,1,1,20251118,OBJ_MP_1068_0120.fits.gz,4788
20251118::OBJ_MP_1068_0120.fits.gz::5739,1,1,20251118,OBJ_MP_1068_0120.fits.gz,5739
20251118::OBJ_MP_1069_0079.fits.gz::9472,1,1,20251118,OBJ_MP_1069_0079.fits.gz,9472
20251118::OBJ_MP_1069_0100.fits.gz::9379,1,1,20251118,OBJ_MP_1069_0100.fits.gz,9379
20251118::OBJ_MP_1069_0121.fits.gz::9942,1,1,20251118,OBJ_MP_1069_0121.fits.gz,9942
20251118::OBJ_MP_1071_0088.fits.gz::2134,1,1,20251118,OBJ_MP_1071_0088.fits.gz,2134
20251118::OBJ_MP_1071_0109.fits.gz::2025,1,1,20251118,OBJ_MP_1071_0109.fits.gz,2025
20251118::OBJ_MP_1071_0130.fits.gz::2156,1,1,20251118,OBJ_MP_1071_0130.fits.gz,2156
20251118::OBJ_MP_1088_0196.fits.gz::18058,1,1,20251118,OBJ_MP_1088_0196.fits.gz,18058
20251118::OBJ_MP_1088_0216.fits.gz::19706,1,1,20251118,OBJ_MP_1088_0216.fits.gz,19706
20251118::OBJ_MP_1088_0236.fits.gz::19181,1,1,20251118,OBJ_MP_1088_0236.fits.gz,19181
20251118::OBJ_MP_1202_0074.fits.gz::11878,1,1,20251118,OBJ_MP_1202_0074.fits.gz,11878
20251118::OBJ_MP_1202_0095.fits.gz::12890,1,1,20251118,OBJ_MP_1202_0095.fits.gz,12890
20251118::OBJ_MP_1202_0116.fits.gz::12890,1,1,20251118,OBJ_MP_1202_0116.fits.gz,12890
20251118::OBJ_MP_1203_0073.fits.gz::7581,1,1,20251118,OBJ_MP_1203_0073.fits.gz,7581
20251118::OBJ_MP_1203_0094.fits.gz::7404,1,1,20251118,OBJ_MP_1203_0094.fits.gz,7404
20251118::OBJ_MP_1203_0115.fits.gz::7846,1,1,20251118,OBJ_MP_1203_0115.fits.gz,7846
20251118::OBJ_MP_1206_0089.fits.gz::1026,1,1,20251118,OBJ_MP_1206_0089.fits.gz,1026
20251118::OBJ_MP_1206_0110.fits.gz::1003,1,1,20251118,OBJ_MP_1206_0110.fits.gz,1003
20251118::OBJ_MP_1206_0131.fits.gz::1086,1,1,20251118,OBJ_MP_1206_0131.fits.gz,1086
20251118::OBJ_MP_1222_0190.fits.gz::31540,1,1,20251118,OBJ_MP_1222_0190.fits.gz,31540
20251118::OBJ_MP_1222_0210.fits.gz::33701,1,1,20251118,OBJ_MP_1222_0210.fits.gz,33701
20251118::OBJ_MP_1222_0230.fits.gz::31927,1,1,20251118,OBJ_MP_1222_0230.fits.gz,31927
20251118::OBJ_MP_1223_0193.fits.gz::18847,1,1,20251118,OBJ_MP_1223_0193.fits.gz,18847
20251118::OBJ_MP_1223_0193.fits.gz::56149,1,1,20251118,OBJ_MP_1223_0193.fits.gz,56149
20251118::OBJ_MP_1223_0213.fits.gz::18963,1,1,20251118,OBJ_MP_1223_0213.fits.gz,18963
20251118::OBJ_MP_1223_0213.fits.gz::55800,1,1,20251118,OBJ_MP_1223_0213.fits.gz,55800
20251118::OBJ_MP_1223_0233.fits.gz::19417,1,1,20251118,OBJ_MP_1223_0233.fits.gz,19417
20251118::OBJ_MP_1223_0233.fits.gz::56207,1,1,20251118,OBJ_MP_1223_0233.fits.gz,56207
20251118::OBJ_MP_1334_0033.fits.gz::11409,1,1,20251118,OBJ_MP_1334_0033.fits.gz,11409
20251118::OBJ_MP_1334_0033.fits.gz::1221,1,1,20251118,OBJ_MP_1334_0033.fits.gz,1221
20251118::OBJ_MP_1334_0033.fits.gz::1241,1,1,20251118,OBJ_MP_1334_0033.fits.gz,1241
20251118::OBJ_MP_1334_0049.fits.gz::10058,1,1,20251118,OBJ_MP_1334_0049.fits.gz,10058
20251118::OBJ_MP_1334_0049.fits.gz::1065,1,1,20251118,OBJ_MP_1334_0049.fits.gz,1065
20251118::OBJ_MP_1334_0049.fits.gz::1082,1,1,20251118,OBJ_MP_1334_0049.fits.gz,1082
20251118::OBJ_MP_1334_0065.fits.gz::11143,1,1,20251118,OBJ_MP_1334_0065.fits.gz,11143
20251118::OBJ_MP_1334_0065.fits.gz::1184,1,1,20251118,OBJ_MP_1334_0065.fits.gz,1184
20251118::OBJ_MP_1334_0065.fits.gz::1202,1,1,20251118,OBJ_MP_1334_0065.fits.gz,1202
20251118::OBJ_MP_1336_0034.fits.gz::1424,1,1,20251118,OBJ_MP_1336_0034.fits.gz,1424
