night,provenance_path,provenance_row,trk_sub,linkage_id,detection_index,image_name,catalog_name,obj_id,source_tracklet_ids,link_tracklet_ids,groups,exp_pairs,mjd,ra_win_deg,dec_win_deg,ra_psf_deg,dec_psf_deg,ra_err_deg,dec_err_deg,x_win_px,y_win_px,mag_aper4,magerr_aper4,mag_psf,magerr_psf,flag,n_obs,n_tracklets,rms_arcsec,med_arcsec,max_arcsec,a_au,ecc,inc_deg,best_v1_kms,lin_rms_arcsec,lin_speed_arcsec_per_day,lin_dir_deg,detection_key,linkage_detection_key,final_paper_status
20251121,/home/admin/pipeline/xiaoyunao/heliolincrr/review_packages/20251121/20251121_unknown_review_full.fits,117,000004r,598,0,OBJ_MP_1602_0203.fits.gz,OBJ_MP_1602_0203_cat.fits.gz,4748,20251121004300010009,20251121004300010009;20251121004301020035,42,0->1,61000.51447277778,8.998601639285953,20.120306607589796,8.998767378541713,20.120067638309457,2.3800228159842618e-05,3.371918490557846e-05,8300.54162419745,2429.9680842448333,18.895492553710938,0.13861584663391113,17.4155216217041,0.06071370095014572,0,3,2,0.16723052515500275,0.0,0.28965176614488997,-2.3534336924446655,2.7421353305958993,43.958205001674884,28.455153392902016,0.13169416207792686,215.69215493449843,68.17264328163373,20251121::OBJ_MP_1602_0203.fits.gz::4748,20251121::598::20251121::OBJ_MP_1602_0203.fits.gz::4748,retained_after_posthoc_audit
20251121,/home/admin/pipeline/xiaoyunao/heliolincrr/review_packages/20251121/20251121_unknown_review_full.fits,118,000004r,598,1,OBJ_MP_1602_0229.fits.gz,OBJ_MP_1602_0229_cat.fits.gz,4778,20251121004300010009;20251121004301020035,20251121004300010009;20251121004301020035,42,0->1;1->2,61000.54039288194,8.99924117706019,20.121674204238477,8.999483779299245,20.12139373548456,2.2206674033853346e-05,3.330957389025002e-05,8300.522738294247,2430.0008474698234,19.22878074645996,0.18681854009628296,17.145160675048828,0.06746388971805573,0,3,2,0.16723052515500275,0.0,0.28965176614488997,-2.3534336924446655,2.7421353305958993,43.958205001674884,28.455153392902016,0.13169416207792686,215.69215493449843,68.17264328163373,20251121::OBJ_MP_1602_0229.fits.gz::4778,20251121::598::20251121::OBJ_MP_1602_0229.fits.gz::4778,retained_after_posthoc_audit
20251121,/home/admin/pipeline/xiaoyunao/heliolincrr/review_packages/20251121/20251121_unknown_review_full.fits,119,000004r,598,2,OBJ_MP_1602_0255.fits.gz,OBJ_MP_1602_0255_cat.fits.gz,4874,20251121004301020035,20251121004300010009;20251121004301020035,42,1->2,61000.5662521875,8.99983008398585,20.12318659090872,9.000116371694444,20.122940511580556,1.8267297766882962e-05,2.841084786453507e-05,8300.501340406536,2429.9981040604334,18.928586959838867,0.13730260729789734,16.849624633789062,0.05942519009113312,0,3,2,0.16723052515500275,0.0,0.28965176614488997,-2.3534336924446655,2.7421353305958993,43.958205001674884,28.455153392902016,0.13169416207792686,215.69215493449843,68.17264328163373,20251121::OBJ_MP_1602_0255.fits.gz::4874,20251121::598::20251121::OBJ_MP_1602_0255.fits.gz::4874,retained_after_posthoc_audit
20251124,/home/admin/pipeline/xiaoyunao/heliolincrr/review_packages/20251124/20251124_unknown_review_full.fits,0,000006v,0,0,OBJ_MP_0517_0034.fits.gz,OBJ_MP_0517_0034_cat.fits.gz,403,20251124000200010002,20251124000200010002;20251124000201020030,1,0->1,61003.421151793984,347.99402079672535,-17.280960172544074,347.9939921191017,-17.28097684692179,0.00023205427208949914,0.00022246289393734742,882.2235461186392,733.0744257029261,17.6152400970459,0.10155436396598816,17.62955665588379,0.08872023224830627,0,3,2,1.5136650034413317,0.0,2.621744691599306,0.8552354476523216,0.9877568309132454,67.38168569208776,2.5276545288072083,1.163673369159325,621.5416713235846,171.0991429892712,20251124::OBJ_MP_0517_0034.fits.gz::403,20251124::0::20251124::OBJ_MP_0517_0034.fits.gz::403,retained_after_posthoc_audit
20251124,/home/admin/pipeline/xiaoyunao/heliolincrr/review_packages/20251124/20251124_unknown_review_full.fits,1,000006v,0,1,OBJ_MP_0517_0070.fits.gz,OBJ_MP_0517_0070_cat.fits.gz,496,20251124000200010002;20251124000201020030,20251124000200010002;20251124000201020030,1,0->1;1->2,61003.484596828705,347.9831381132704,-17.27888021957058,347.9831696755877,-17.27895949583629,0.00015582644704181803,0.0001492344732767492,882.6426503215763,719.3405183779571,17.478530883789062,0.07211224734783173,17.402278900146484,0.0625581219792366,0,3,2,1.5136650034413317,0.0,2.621744691599306,0.8552354476523216,0.9877568309132454,67.38168569208776,2.5276545288072083,1.163673369159325,621.5416713235846,171.0991429892712,20251124::OBJ_MP_0517_0070.fits.gz::496,20251124::0::20251124::OBJ_MP_0517_0070.fits.gz::496,retained_after_posthoc_audit
20251124,/home/admin/pipeline/xiaoyunao/heliolincrr/review_packages/20251124/20251124_unknown_review_full.fits,2,000006v,0,2,OBJ_MP_0517_0097.fits.gz,OBJ_MP_0517_0097_cat.fits.gz,473,20251124000201020030,20251124000200010002;20251124000201020030,1,1->2,61003.51146223379,347.9777476121381,-17.278667902604752,347.9777828799143,-17.278668759275952,0.00012520148533212705,0.0001201661282941302,881.0278717188154,711.3594555181612,17.16241455078125,0.056451089680194855,17.070560455322266,0.04966377839446068,0,3,2,1.5136650034413317,0.0,2.621744691599306,0.8552354476523216,0.9877568309132454,67.38168569208776,2.5276545288072083,1.163673369159325,621.5416713235846,171.0991429892712,20251124::OBJ_MP_0517_0097.fits.gz::473,20251124::0::20251124::OBJ_MP_0517_0097.fits.gz::473,retained_after_posthoc_audit
20251125,/home/admin/pipeline/xiaoyunao/heliolincrr/review_packages/20251125/20251125_unknown_review_full.fits,3,000006K,21,0,OBJ_MP_0782_0038.fits.gz,OBJ_MP_0782_0038_cat.fits.gz,5146,20251125000900010015,20251125000900010015;20251125000901020033,8,0->1,61004.41511863426,340.5290065728265,-13.263149369351881,340.5288134228042,-13.26320600459739,0.00021041885474915034,0.0002046472558401291,6465.872110988107,4820.083987766712,17.534048080444336,0.09877662360668182,17.430818557739258,0.07863841950893402,0,3,2,0.3115509763174687,0.003073585126505738,0.5396133667799324,0.7962863041148304,0.6325786839385538,26.964063653139913,15.834474206389872,0.2626815124055096,1336.5342631364283,41.8689897028552,20251125::OBJ_MP_0782_0038.fits.gz::5146,20251125::21::20251125::OBJ_MP_0782_0038.fits.gz::5146,retained_after_posthoc_audit
20251125,/home/admin/pipeline/xiaoyunao/heliolincrr/review_packages/20251125/20251125_unknown_review_full.fits,4,000006K,21,1,OBJ_MP_0782_0066.fits.gz,OBJ_MP_0782_0066_cat.fits.gz,5161,20251125000900010015;20251125000901020033,20251125000900010015;20251125000901020033,8,0->1;1->2,61004.44406861111,340.537327962366,-13.256097316853907,340.53723150383956,-13.256167523014676,0.00021208008280382273,0.00020665482450255013,6486.861876710867,4848.416219708953,17.406280517578125,0.08676096796989441,17.358123779296875,0.07422459870576859,0,3,2,0.3115509763174687,0.003073585126505738,0.5396133667799324,0.7962863041148304,0.6325786839385538,26.964063653139913,15.834474206389872,0.2626815124055096,1336.5342631364283,41.8689897028552,20251125::OBJ_MP_0782_0066.fits.gz::5161,20251125::21::20251125::OBJ_MP_0782_0066.fits.gz::5161,retained_after_posthoc_audit
20251125,/home/admin/pipeline/xiaoyunao/heliolincrr/review_packages/20251125/20251125_unknown_review_full.fits,5,000006K,21,2,OBJ_MP_0782_0094.fits.gz,OBJ_MP_0782_0094_cat.fits.gz,7243,20251125000901020033,20251125000900010015;20251125000901020033,8,1->2,61004.47301560185,340.5454513321106,-13.248803098968555,340.54526820006515,-13.248993669074547,0.0001810590808872803,0.00017603592174886273,6506.466844945431,4881.11203697263,17.685562133789062,0.07511479407548904,17.843135833740234,0.07142692804336548,0,3,2,0.3115509763174687,0.003073585126505738,0.5396133667799324,0.7962863041148304,0.6325786839385538,26.964063653139913,15.834474206389872,0.2626815124055096,1336.5342631364283,41.8689897028552,20251125::OBJ_MP_0782_0094.fits.gz::7243,20251125::21::20251125::OBJ_MP_0782_0094.fits.gz::7243,retained_after_posthoc_audit
20251125,/home/admin/pipeline/xiaoyunao/heliolincrr/review_packages/20251125/20251125_unknown_review_full.fits,27,000006S,132,0,OBJ_MP_0786_0052.fits.gz,OBJ_MP_0786_0052_cat.fits.gz,5266,20251125002300010038,20251125002300010038;20251125002301020089,22,0->1,61004.431150833334,350.43123368827025,-8.856049521280324,350.4311830501952,-8.85602634043472,0.00017088505006768173,0.00016890902775301697,7329.817083854778,4259.20783450406,18.372047424316406,0.13924263417720795,18.299394607543945,0.11617374420166016,0,3,2,0.8722503903425757,0.0,1.5107819929951267,1.5646742283662995,0.8534209613117614,85.27892941629035,6.69622536819895,0.7099873402043746,448.39374143331526,142.2006615619101,20251125::OBJ_MP_0786_0052.fits.gz::5266,20251125::132::20251125::OBJ_MP_0786_0052.fits.gz::5266,retained_after_posthoc_audit
