night,product,path,exists,status,error_type,error,size_bytes,mtime_utc,mtime_ns,sha256,fits_checksum,fits_datasum,hdu,input_rows,rows_written,source_column,column_map,missing_required_columns,missing_optional_columns
20251115,known_all,/processed1/20251115/L4/20251115_all_asteroids.fits,True,ok_with_missing_optional,,,15586560,2026-03-29T07:49:55.236175+00:00,1774770595236174940,ea274f8e758c8bb554e4eb1617d9ceee6db7ef8b7dfe8924df4a6b28397e2504,,,1,79486,79486,source_file,"{""asteroid_name"": ""name"", ""asteroid_number"": ""number"", ""epoch_mjd"": ""epoch"", ""pred_dec_deg"": ""dec"", ""pred_geocentric_distance_au"": null, ""pred_heliocentric_distance_au"": null, ""pred_phase_angle_deg"": null, ""pred_ra_deg"": ""ra"", ""pred_solar_elongation_deg"": null, ""pred_v_mag"": ""mag""}",[],"[""pred_heliocentric_distance_au"", ""pred_geocentric_distance_au"", ""pred_solar_elongation_deg"", ""pred_phase_angle_deg""]"
20251115,known_matched,/processed1/20251115/L4/20251115_matched_asteroids.fits,True,ok_with_missing_optional,,,72000,2026-03-29T07:49:55.414171+00:00,1774770595414171064,c48ab8d702518ee4bebd448618daafe0405fbb06a1b59567a42ada43cd41d035,,,1,58,58,source_file,"{""asteroid_name"": ""name"", ""asteroid_number"": ""number"", ""epoch_mjd"": ""epoch"", ""flag"": ""Flag"", ""flag_iso_num"": ""Flag_ISO_Num"", ""flux_aper4"": ""Flux_Aper4"", ""fluxerr_aper4"": ""FluxErr_Aper4"", ""fwhm_px"": ""FWHM"", ""mag_aper4"": ""Mag_Aper4"", ""mag_aper8"": ""Mag_Aper8"", ""mag_kron"": ""Mag_Kron"", ""mag_psf"": ""Mag_PSF"", ""magerr_aper4"": ""MagErr_Aper4"", ""magerr_aper8"": ""MagErr_Aper8"", ""magerr_kron"": ""MagErr_Kron"", ""magerr_psf"": ""MagErr_PSF"", ""obj_id"": ""objID"", ""obs_dec_err_deg"": ""DECErr_Win"", ""obs_dec_psf_deg"": ""DEC_PSF"", ""obs_dec_win_deg"": ""DEC_Win"", ""obs_ra_err_deg"": ""RAErr_Win"", ""obs_ra_psf_deg"": ""RA_PSF"", ""obs_ra_win_deg"": ""RA_Win"", ""pred_dec_deg"": ""dec"", ""pred_geocentric_distance_au"": null, ""pred_heliocentric_distance_au"": null, ""pred_phase_angle_deg"": null, ""pred_ra_deg"": ""ra"", ""pred_solar_elongation_deg"": null, ""pred_v_mag"": ""mag"", ""x_win_px"": ""X_Win"", ""y_win_px"": ""Y_Win""}",[],"[""pred_heliocentric_distance_au"", ""pred_geocentric_distance_au"", ""pred_solar_elongation_deg"", ""pred_phase_angle_deg""]"
20251115,known_mask15,/processed1/20251115/L4/20251115_matched_asteroids_mask15.fits,False,missing,,,0,,0,,,,1,0,0,,{},[],[]
20251115,unknown_catalog,/processed1/20251115/L4/20251115_unknown_links.fits,False,missing,,,0,,0,,,,1,0,0,,{},[],[]
20251115,orbit_links,/home/admin/pipeline/xiaoyunao/data/heliolincrr/20251115/rr_links/orbit_confirm/orbit_links.fits,False,missing,,,0,,0,,,,1,0,0,,{},[],[]
20251115,orbit_obs_residuals,/home/admin/pipeline/xiaoyunao/data/heliolincrr/20251115/rr_links/orbit_confirm/orbit_obs_residuals.fits,False,missing,,,0,,0,,,,1,0,0,,{},[],[]
20251116,known_all,/processed1/20251116/L4/20251116_all_asteroids.fits,True,ok_with_missing_optional,,,16139520,2026-06-19T06:22:04.819276+00:00,1781850124819276413,59b025e7959ab3f2f76597d2161ba8fcfe7da74e63640c7f42b1abcdd27feccf,,,1,82312,82312,source_file,"{""asteroid_name"": ""name"", ""asteroid_number"": ""number"", ""epoch_mjd"": ""epoch"", ""pred_dec_deg"": ""dec"", ""pred_geocentric_distance_au"": null, ""pred_heliocentric_distance_au"": null, ""pred_phase_angle_deg"": null, ""pred_ra_deg"": ""ra"", ""pred_solar_elongation_deg"": null, ""pred_v_mag"": ""mag""}",[],"[""pred_heliocentric_distance_au"", ""pred_geocentric_distance_au"", ""pred_solar_elongation_deg"", ""pred_phase_angle_deg""]"
20251116,known_matched,/processed1/20251116/L4/20251116_matched_asteroids.fits,True,ok_with_missing_optional,,,2036160,2026-06-19T06:22:05.453264+00:00,1781850125453264300,04fcef43c3b93b3206c68ced71f74f7ecd2c3b83b59c4702338f4fc30c357ac1,,,1,2596,2596,source_file,"{""asteroid_name"": ""name"", ""asteroid_number"": ""number"", ""epoch_mjd"": ""epoch"", ""flag"": ""Flag"", ""flag_iso_num"": ""Flag_ISO_Num"", ""flux_aper4"": ""Flux_Aper4"", ""fluxerr_aper4"": ""FluxErr_Aper4"", ""fwhm_px"": ""FWHM"", ""mag_aper4"": ""Mag_Aper4"", ""mag_aper8"": ""Mag_Aper8"", ""mag_kron"": ""Mag_Kron"", ""mag_psf"": ""Mag_PSF"", ""magerr_aper4"": ""MagErr_Aper4"", ""magerr_aper8"": ""MagErr_Aper8"", ""magerr_kron"": ""MagErr_Kron"", ""magerr_psf"": ""MagErr_PSF"", ""obj_id"": ""objID"", ""obs_dec_err_deg"": ""DECErr_Win"", ""obs_dec_psf_deg"": ""DEC_PSF"", ""obs_dec_win_deg"": ""DEC_Win"", ""obs_ra_err_deg"": ""RAErr_Win"", ""obs_ra_psf_deg"": ""RA_PSF"", ""obs_ra_win_deg"": ""RA_Win"", ""pred_dec_deg"": ""dec"", ""pred_geocentric_distance_au"": null, ""pred_heliocentric_distance_au"": null, ""pred_phase_angle_deg"": null, ""pred_ra_deg"": ""ra"", ""pred_solar_elongation_deg"": null, ""pred_v_mag"": ""mag"", ""x_win_px"": ""X_Win"", ""y_win_px"": ""Y_Win""}",[],"[""pred_heliocentric_distance_au"", ""pred_geocentric_distance_au"", ""pred_solar_elongation_deg"", ""pred_phase_angle_deg""]"
20251116,known_mask15,/processed1/20251116/L4/20251116_matched_asteroids_mask15.fits,True,ok_with_missing_optional,,,2260800,2026-06-19T06:22:06.070252+00:00,1781850126070252512,23a71f7805d3f74e8203dd387f43bff813ca7852dbbf8814aca99992a620613f,,,1,2885,2885,source_file,"{""asteroid_name"": ""name"", ""asteroid_number"": ""number"", ""epoch_mjd"": ""epoch"", ""flag"": ""Flag"", ""flag_iso_num"": ""Flag_ISO_Num"", ""flux_aper4"": ""Flux_Aper4"", ""fluxerr_aper4"": ""FluxErr_Aper4"", ""fwhm_px"": ""FWHM"", ""mag_aper4"": ""Mag_Aper4"", ""mag_aper8"": ""Mag_Aper8"", ""mag_kron"": ""Mag_Kron"", ""mag_psf"": ""Mag_PSF"", ""magerr_aper4"": ""MagErr_Aper4"", ""magerr_aper8"": ""MagErr_Aper8"", ""magerr_kron"": ""MagErr_Kron"", ""magerr_psf"": ""MagErr_PSF"", ""obj_id"": ""objID"", ""obs_dec_err_deg"": ""DECErr_Win"", ""obs_dec_psf_deg"": ""DEC_PSF"", ""obs_dec_win_deg"": ""DEC_Win"", ""obs_ra_err_deg"": ""RAErr_Win"", ""obs_ra_psf_deg"": ""RA_PSF"", ""obs_ra_win_deg"": ""RA_Win"", ""pred_dec_deg"": ""dec"", ""pred_geocentric_distance_au"": null, ""pred_heliocentric_distance_au"": null, ""pred_phase_angle_deg"": null, ""pred_ra_deg"": ""ra"", ""pred_solar_elongation_deg"": null, ""pred_v_mag"": ""mag"", ""x_win_px"": ""X_Win"", ""y_win_px"": ""Y_Win""}",[],"[""pred_heliocentric_distance_au"", ""pred_geocentric_distance_au"", ""pred_solar_elongation_deg"", ""pred_phase_angle_deg""]"
20251116,unknown_catalog,/processed1/20251116/L4/20251116_unknown_links.fits,True,ok,,,14400,2026-06-19T19:46:46.688212+00:00,1781898406688212324,dd23a3eeeb34d10b59528b3067dc7b12ab3563271517f488fec1e27d4ec0cf77,,,1,11,11,image_names,"{""a_au"": ""a_au"", ""argp_deg"": ""argp_deg"", ""best_v1_kms"": ""best_v1_kms"", ""decs_deg"": ""decs_deg"", ""ecc"": ""ecc"", ""exp_pairs"": ""exp_pairs"", ""fit_ok"": ""fit_ok"", ""groups"": ""groups"", ""image_names"": ""image_names"", ""inc_deg"": ""inc_deg"", ""is_good"": ""is_good"", ""lin_dir_deg"": ""lin_dir_deg"", ""lin_rms_arcsec"": ""lin_rms_arcsec"", ""lin_speed_arcsec_per_day"": ""lin_speed_arcsec_per_day"", ""linkage_id"": ""linkage_id"", ""max_arcsec"": ""max_arcsec"", ""med_arcsec"": ""med_arcsec"", ""mjds"": ""mjds"", ""n_obs"": ""n_obs"", ""n_tracklets"": ""n_tracklets"", ""nu_deg"": ""nu_deg"", ""objids"": ""objids"", ""raan_deg"": ""raan_deg"", ""ras_deg"": ""ras_deg"", ""rms_arcsec"": ""rms_arcsec"", ""tracklet_ids"": ""tracklet_ids"", ""trk_sub"": ""trk_sub""}",[],[]
