fit_ok_link_class_counts_all_asteroid_mixed_objects,fit_ok_link_class_counts_all_non_asteroid,fit_ok_link_class_counts_all_same_asteroid,fit_ok_link_class_counts_mixed_with_non_asteroid,is_good_link_class_counts_all_asteroid_mixed_objects,is_good_link_class_counts_all_non_asteroid,is_good_link_class_counts_all_same_asteroid,is_good_link_class_counts_mixed_with_non_asteroid,known_ades_exists,known_ades_mtime_utc,known_ades_rows,known_all_exists,known_all_mtime_utc,known_all_rows,known_mask15_exists,known_mask15_mtime_utc,known_mask15_rows,known_match1_exists,known_match1_mtime_utc,known_match1_rows,known_reply_exists,known_reply_mtime_utc,known_reply_text,known_status_complete,known_status_exists,known_submission_id,link_class_counts_all_asteroid_mixed_objects,link_class_counts_all_non_asteroid,link_class_counts_all_same_asteroid,link_class_counts_mixed_with_non_asteroid,night,requested_known_objects_with_ge_3_detections_linked_fraction,requested_known_objects_with_ge_3_detections_linked_objects,requested_known_objects_with_ge_3_detections_total_objects,requested_links_all_different_known,requested_links_all_non_known,requested_links_all_same_known,requested_links_known_plus_non_known,requested_mask_gaia_known_detection_delete_fraction,requested_mask_gaia_known_detection_fraction_in_masked_catalog,requested_mask_gaia_known_detections_after_mask,requested_mask_gaia_known_detections_deleted,requested_mask_gaia_known_detections_total,requested_mask_gaia_masked_catalog_total_detections,requested_orbit_fit_all_same_known_links,requested_orbit_fit_fit_ok_all_non_known_links,requested_orbit_fit_fit_ok_fraction,requested_orbit_fit_fit_ok_links,requested_orbit_fit_is_good_fraction,requested_orbit_fit_is_good_links,requested_tracklets_all_non_asteroid,requested_tracklets_one_endpoint_known,requested_tracklets_two_endpoints_different_known,requested_tracklets_two_endpoints_same_known,review_blank,review_csv_exists,review_false,review_manifest_exists,review_manifest_mtime_utc,review_manifest_n_catalog_rows,review_manifest_n_gifs_copied,review_manifest_n_gifs_missing,review_manifest_review_ades_rows,review_manifest_review_full_rows,review_mtime_utc,review_real,review_rows,submit_blank,submit_csv_exists,submit_false,submit_mtime_utc,submit_real,submit_rows,summary_exists,summary_links_total,summary_mask_gaia_known_detections,summary_mask_gaia_total_detections,summary_matched_detections_total,summary_member_rows_total,summary_mtime_utc,summary_orbit_fit_ok,summary_orbit_is_good,summary_tracklets_total,unknown_ades_exists,unknown_ades_mtime_utc,unknown_ades_rows,unknown_links_exists,unknown_links_mtime_utc,unknown_links_rows,unknown_reply_exists,unknown_reply_mtime_utc,unknown_reply_text,unknown_submission_id,unknown_validate_reply_exists,unknown_validate_reply_mtime_utc,unknown_validate_reply_text,unknown_validate_submission_id
,,,,,,,,True,2026-03-30T11:09:11.845798+00:00,0,True,2026-03-29T07:49:55.236175+00:00,79486,False,,0,True,2026-03-29T07:49:55.414171+00:00,58,False,,,,False,,,,,,20251115,,,,,,,,,,,,,,,,,,,,,,,,0,False,0,False,,,,,,,,0,0,0,False,0,,0,0,False,,,,,,,,,,False,,0,False,,0,False,,,,False,,,
,11,366,6,,11,366,6,False,,0,True,2026-06-19T06:22:04.819276+00:00,82312,True,2026-06-19T06:22:06.070252+00:00,2885,True,2026-06-19T06:22:05.453264+00:00,2596,False,,,,False,,,11,366,6,20251116,0.6371841155234657,353,554,0,11,366,6,0.14696707105719237,0.010199641085364489,2461,424,2885,241283,366,11,1.0,383,1.0,383,3511,59,0,1153,0,True,11,True,2026-06-19T19:49:37.689525+00:00,11,11,0,33,33,2026-06-20T02:43:27.145141+00:00,0,11,0,True,11,2026-06-20T02:43:27.145141+00:00,0,11,True,383,2461,241283,2885,767,2026-06-19T19:46:46.089373+00:00,383,383,4723,True,2026-06-20T05:00:07.256313+00:00,0,True,2026-06-19T19:46:46.688212+00:00,11,False,,,,False,,,
,72,888,7,,72,888,7,True,2026-03-30T11:09:16.445699+00:00,3884,True,2026-06-19T06:22:53.036355+00:00,82741,True,2026-06-19T06:22:54.442328+00:00,5604,True,2026-06-19T06:22:53.737342+00:00,5297,True,2026-03-30T11:09:30.570395+00:00,[Known-object ADES submission].  Submission ID is 2026-03-30T11:09:29.482_0000BrRR,,False,2026-03-30T11:09:29.482_0000BrRR,,72,888,7,20251118,0.7076271186440678,835,1180,0,72,888,7,0.12009279086366881,0.01707977721126136,4931,673,5604,288704,888,72,1.0,967,1.0,967,22955,46,0,2479,0,True,72,True,2026-06-19T20:07:09.962423+00:00,72,72,0,216,216,2026-06-20T02:51:46.312690+00:00,0,72,0,True,72,2026-06-20T02:51:46.312690+00:00,0,72,True,967,4931,288704,5604,1943,2026-06-19T19:49:57.812990+00:00,967,967,25480,True,2026-06-20T05:00:07.736304+00:00,0,True,2026-06-19T19:49:58.342552+00:00,72,False,,,,False,,,
,64,1407,10,,64,1407,10,True,2026-03-30T11:09:31.191381+00:00,6013,True,2026-06-19T06:23:46.712330+00:00,148809,True,2026-06-19T06:23:49.741272+00:00,8783,True,2026-06-19T06:23:48.089303+00:00,8311,True,2026-03-30T11:09:36.268272+00:00,[Known-object ADES submission].  Submission ID is 2026-03-30T11:09:34.394_0000BrRS,,False,2026-03-30T11:09:34.394_0000BrRS,,76,1407,10,20251119,0.7203208556149733,1347,1870,0,76,1407,10,0.1204599795058636,0.021335181922127276,7725,1058,8783,362078,1407,64,0.9919624916275954,1481,0.9919624916275954,1481,5708,95,0,3707,0,True,64,True,2026-06-19T20:21:38.604115+00:00,64,64,0,192,192,2026-06-20T02:57:38.088162+00:00,0,64,0,True,64,2026-06-20T02:57:38.088162+00:00,0,64,True,1493,7725,362078,8783,2999,2026-06-19T20:07:36.889563+00:00,1481,1481,9510,True,2026-06-20T05:00:08.220294+00:00,0,True,2026-06-19T20:07:37.394327+00:00,64,False,,,,False,,,
,63,1025,10,,63,1025,10,True,2026-03-30T11:09:36.852259+00:00,4667,True,2026-06-19T06:24:52.952064+00:00,97437,True,2026-06-19T06:24:55.042024+00:00,6962,True,2026-06-19T06:24:54.128042+00:00,6587,True,2026-03-30T11:09:43.345119+00:00,[Known-object ADES submission].  Submission ID is 2026-03-30T11:09:41.173_0000BrRT,,False,2026-03-30T11:09:41.173_0000BrRT,,85,1025,10,20251120,0.675207756232687,975,1444,0,85,1025,10,0.13027865555874749,0.01241188178886887,6055,907,6962,487839,1025,63,0.9803571428571428,1098,0.9803571428571428,1098,8319,105,1,2773,0,True,63,True,2026-06-19T20:37:15.737482+00:00,63,63,0,189,189,2026-06-20T03:00:37.891663+00:00,0,63,0,True,63,2026-06-20T03:00:37.891663+00:00,0,63,True,1120,6055,487839,6962,2245,2026-06-19T20:22:14.068662+00:00,1098,1098,11198,True,2026-06-20T05:00:08.700285+00:00,0,True,2026-06-19T20:22:14.603580+00:00,63,False,,,,False,,,
,104,1926,12,,104,1926,12,True,2026-03-30T11:09:44.061104+00:00,9129,True,2026-06-19T06:26:01.585753+00:00,157413,True,2026-06-19T06:26:03.842710+00:00,13333,True,2026-06-19T06:26:02.724731+00:00,12749,True,2026-03-30T11:09:50.387968+00:00,[Known-object ADES submission].  Submission ID is 2026-03-30T11:09:47.665_0000BrRU,,False,2026-03-30T11:09:47.665_0000BrRU,,104,1926,12,20251121,0.6544483985765125,1839,2810,0,104,1926,12,0.1614790369759244,0.020523590196405987,11180,2153,13333,544739,1926,104,1.0,2042,1.0,2042,10316,177,2,5307,0,True,103,True,2026-06-19T21:01:55.647887+00:00,104,104,0,312,312,2026-06-20T03:05:15.656240+00:00,1,104,0,True,103,2026-06-20T03:05:15.656240+00:00,1,104,True,2042,11180,544739,13333,4122,2026-06-19T20:37:59.393297+00:00,2042,2042,15802,True,2026-06-20T05:00:09.725265+00:00,3,True,2026-06-19T20:37:59.957527+00:00,104,True,2026-06-20T05:00:15.549153+00:00,[Unknown-object ADES submission].  Submission ID is 2026-06-20T05:00:14.546_0000C0eY,2026-06-20T05:00:14.546_0000C0eY,False,,,
,11,145,4,,11,145,4,True,2026-03-30T11:09:50.871957+00:00,665,True,2026-06-19T06:26:47.804870+00:00,51778,True,2026-06-19T06:26:49.823831+00:00,1195,True,2026-06-19T06:26:48.793851+00:00,1100,True,2026-03-30T11:10:06.585619+00:00,[Known-object ADES submission].  Submission ID is 2026-03-30T11:09:52.156_0000BrRV,,False,2026-03-30T11:09:52.156_0000BrRV,,32,145,4,20251122,0.6715686274509803,137,204,0,32,145,4,0.19748953974895397,0.007081776425585964,959,236,1195,135418,145,11,0.8839779005524862,160,0.8839779005524862,160,2832,13,0,414,0,True,11,True,2026-06-19T21:04:56.256863+00:00,11,11,0,33,33,2026-06-20T03:05:43.653456+00:00,0,11,0,True,11,2026-06-20T03:05:43.653456+00:00,0,11,True,181,959,135418,1195,364,2026-06-19T21:02:12.231780+00:00,160,160,3259,True,2026-06-20T05:00:16.052144+00:00,0,True,2026-06-19T21:02:12.754825+00:00,11,False,,,,False,,,
,63,302,,,63,302,,True,2026-03-30T11:10:07.086608+00:00,1346,True,2026-06-19T06:27:08.463475+00:00,40088,True,2026-06-19T06:27:09.280459+00:00,1879,True,2026-06-19T06:27:08.875467+00:00,1825,True,2026-03-30T11:10:10.500535+00:00,[Known-object ADES submission].  Submission ID is 2026-03-30T11:10:08.667_0000BrRW,,False,2026-03-30T11:10:08.667_0000BrRW,,63,302,,20251123,0.691747572815534,285,412,0,63,302,0,0.1059073975518893,0.015085800490288516,1680,199,1879,111363,302,63,1.0,365,1.0,365,2127,10,0,722,0,True,63,True,2026-06-19T21:19:32.568540+00:00,63,63,0,189,189,2026-06-20T03:49:36.237317+00:00,0,63,0,True,63,2026-06-20T03:49:36.237317+00:00,0,63,True,365,1680,111363,1879,731,2026-06-19T21:05:09.622951+00:00,365,365,2859,True,2026-06-20T05:00:16.535134+00:00,0,True,2026-06-19T21:05:10.132440+00:00,63,False,,,,False,,,
,14,114,4,,14,114,4,True,2026-03-30T11:10:10.977524+00:00,382,True,2026-06-19T06:27:51.343656+00:00,44622,True,2026-06-19T06:27:52.177640+00:00,1128,True,2026-06-19T06:27:51.706649+00:00,1008,True,2026-03-30T11:10:17.693379+00:00,[Known-object ADES submission].  Submission ID is 2026-03-30T11:10:12.331_0000BrRX,,False,2026-03-30T11:10:12.331_0000BrRX,,15,114,4,20251124,0.7925925925925926,107,135,0,15,114,4,0.1125886524822695,0.012836954012670241,1001,127,1128,77978,114,14,0.9924812030075187,132,0.9924812030075187,132,1670,18,1,307,0,True,13,True,2026-06-19T21:23:08.308817+00:00,14,14,0,42,42,2026-06-20T04:07:39.042387+00:00,1,14,0,True,13,2026-06-20T04:07:39.042387+00:00,1,14,True,133,1001,77978,1128,266,2026-06-19T21:19:44.518749+00:00,132,132,1996,True,2026-06-20T05:02:18.682786+00:00,3,True,2026-06-19T21:19:45.007746+00:00,14,True,2026-06-20T05:02:23.247698+00:00,[Unknown-object ADES submission].  Submission ID is 2026-06-20T05:02:22.435_0000C0ea,2026-06-20T05:02:22.435_0000C0ea,False,,,
,20,212,6,,20,212,6,True,2026-03-30T11:10:18.171369+00:00,826,True,2026-06-19T06:28:17.453157+00:00,63197,True,2026-06-19T06:28:18.885130+00:00,1741,True,2026-06-19T06:28:18.168143+00:00,1595,True,2026-03-30T11:10:22.197282+00:00,[Known-object ADES submission].  Submission ID is 2026-03-30T11:10:19.750_0000BrRY,,False,2026-03-30T11:10:19.750_0000BrRY,,23,212,6,20251125,0.7528089887640449,201,267,0,23,212,6,0.06031016657093624,0.015152076464268515,1636,105,1741,107972,212,20,0.9875518672199171,238,0.9875518672199171,238,2885,41,1,696,0,True,18,True,2026-06-19T21:28:18.524065+00:00,20,20,0,60,60,2026-06-20T04:09:27.852104+00:00,2,20,0,True,18,2026-06-20T04:09:27.852104+00:00,2,20,True,241,1636,107972,1741,482,2026-06-19T21:23:21.366261+00:00,238,238,3623,True,2026-06-20T05:00:48.494520+00:00,6,True,2026-06-19T21:23:21.865609+00:00,20,True,2026-06-20T05:00:54.510404+00:00,[Unknown-object ADES submission].  Submission ID is 2026-06-20T05:00:53.443_0000C0eZ,2026-06-20T05:00:53.443_0000C0eZ,False,,,
,5,249,2,,5,249,2,True,2026-03-30T11:10:22.707271+00:00,1652,True,2026-06-19T06:28:57.024401+00:00,80006,True,2026-06-19T06:28:58.057381+00:00,3032,True,2026-06-19T06:28:57.552391+00:00,2849,True,2026-03-30T11:10:29.823118+00:00,[Known-object ADES submission].  Submission ID is 2026-03-30T11:10:28.387_0000BrRZ,,False,2026-03-30T11:10:28.387_0000BrRZ,,5,249,2,20251127,0.4789579158316633,239,499,0,5,249,2,0.08377308707124011,0.01859313298975972,2778,254,3032,149410,249,5,1.0,256,1.0,256,2037,21,1,1025,0,True,5,True,2026-06-19T21:29:58.430801+00:00,5,5,0,15,15,2026-06-20T04:10:59.790921+00:00,0,5,0,True,5,2026-06-20T04:10:59.790921+00:00,0,5,True,256,2778,149410,3032,513,2026-06-19T21:28:36.097739+00:00,256,256,3084,True,2026-06-20T05:00:55.023394+00:00,0,True,2026-06-19T21:28:36.593606+00:00,5,False,,,,False,,,
,,33,,,,33,,True,2026-03-30T11:10:30.303108+00:00,295,True,2026-06-19T06:29:20.924944+00:00,51802,True,2026-06-19T06:29:21.956925+00:00,1527,True,2026-06-19T06:29:21.440934+00:00,1446,True,2026-03-30T11:10:32.291065+00:00,[Known-object ADES submission].  Submission ID is 2026-03-30T11:10:31.424_0000BrRa,,False,2026-03-30T11:10:31.424_0000BrRa,,,33,,20251128,0.367816091954023,32,87,0,0,33,0,0.08906352324819908,0.024465746196464692,1391,136,1527,56855,33,0,1.0,33,1.0,33,676,10,0,379,0,True,0,True,2026-06-19T21:30:08.720904+00:00,0,0,0,0,0,2026-06-19T21:30:08.720822+00:00,0,0,0,False,0,,0,0,True,33,1391,56855,1527,66,2026-06-19T21:30:06.924617+00:00,33,33,1065,False,,0,True,2026-06-19T21:30:07.416874+00:00,0,False,,,,False,,,
,16,288,,,16,288,,True,2026-03-30T11:10:32.780054+00:00,1057,True,2026-06-19T06:29:52.836335+00:00,51977,True,2026-06-19T06:29:53.624320+00:00,1682,True,2026-06-19T06:29:53.194328+00:00,1643,True,2026-03-30T11:10:36.368977+00:00,[Known-object ADES submission].  Submission ID is 2026-03-30T11:10:35.329_0000BrRb,,False,2026-03-30T11:10:35.329_0000BrRb,,16,288,,20251129,0.8683385579937304,277,319,0,16,288,0,0.07015457788347206,0.0311392505873452,1564,118,1682,50226,288,16,1.0,304,1.0,304,1396,38,0,828,0,True,16,True,2026-06-19T21:34:14.581811+00:00,16,16,0,49,49,2026-06-20T05:03:20.953596+00:00,0,16,0,True,16,2026-06-20T05:03:20.953596+00:00,0,16,True,304,1564,50226,1682,651,2026-06-19T21:30:18.461217+00:00,304,304,2262,True,2026-06-20T05:07:23.913918+00:00,0,True,2026-06-19T21:30:18.908655+00:00,16,False,,,,False,,,
,1,47,,,1,47,,True,2026-03-30T11:10:36.835967+00:00,335,True,2026-06-19T06:30:09.806010+00:00,59293,True,2026-06-19T06:30:10.484998+00:00,569,True,2026-06-19T06:30:10.154004+00:00,524,True,2026-03-30T11:10:40.367891+00:00,[Known-object ADES submission].  Submission ID is 2026-03-30T11:10:39.106_0000BrRc,,False,2026-03-30T11:10:39.106_0000BrRc,,9,47,,20251130,0.5465116279069767,47,86,0,9,47,0,0.13181019332161686,0.01155312331906733,494,75,569,42759,47,1,0.8571428571428571,48,0.8571428571428571,48,773,5,0,220,0,True,1,True,2026-06-19T21:34:43.073420+00:00,1,1,0,3,3,2026-06-20T05:04:07.100322+00:00,0,1,0,True,1,2026-06-20T05:04:07.100322+00:00,0,1,True,56,494,42759,569,155,2026-06-19T21:34:25.874564+00:00,48,48,998,True,2026-06-20T05:07:24.392908+00:00,0,True,2026-06-19T21:34:26.363934+00:00,1,False,,,,False,,,
,,,,,,,,True,2026-03-30T11:10:40.837881+00:00,0,True,2026-06-19T06:30:24.528729+00:00,10843,True,2026-06-19T06:30:25.037719+00:00,473,True,2026-06-19T06:30:24.781724+00:00,443,False,,,,False,,,,,,20251201,,0,0,0,0,0,0,0.13953488372093023,0.013080087414834811,407,66,473,31116,0,0,,0,,0,0,0,0,0,0,True,0,True,2026-06-19T21:34:48.590794+00:00,0,0,0,0,0,2026-06-19T21:34:48.590702+00:00,0,0,0,True,0,2026-06-19T21:34:48.590702+00:00,0,0,True,0,407,31116,473,0,2026-06-19T21:34:46.794999+00:00,0,0,0,True,2026-06-20T05:07:24.873899+00:00,0,True,2026-06-19T21:34:47.294535+00:00,0,False,,,,False,,,
