night,trk_sub,linkage_id,jpl_object_name,jpl_ra,jpl_dec,separation_arcsec,jpl_visual_magnitude,jpl_ra_rate_arcsec_per_hour,jpl_dec_rate_arcsec_per_hour,jpl_speed_arcsec_per_hour,jpl_direction_deg,candidate_speed_arcsec_per_hour,candidate_direction_deg,speed_difference_arcsec_per_hour,direction_difference_deg,estimated_error_ra_arcsec,estimated_error_dec_arcsec,joint_score,strict_candidate_association,plausible_candidate_association
20251125,000006K,21,124941 (2001 TR79),22:42:09,"-13 13'12""",129.9,20.2,53.82,25.7,59.64128100569269,25.52529892338911,55.68892763068451,41.8689897028552,3.9523533750081796,16.3436907794661,121.2,121.2,26.106260486388752,False,False
20251204,0000098,274,(2018 UL40),07:39:41,"+21 28'11""",153.9,22.4,-19.74,10.63,22.420180641555945,151.69751340054967,10.518608907549536,161.9380474042935,11.901571734006408,10.240534003743846,113.7,113.7,31.3666851580103,False,False
20251204,000009h,306,74110 (1998 QU37),07:50:15,"+20 56'23""",112.3,19.2,-16.92,1.291,16.969180327876774,175.63677254472054,9.451140363174586,165.5232165683426,7.518039964702188,10.113555976377938,117.0,117.0,22.794838700297664,False,False
20251207,00000aG,298,5599 (1991 SG1),02:19:58,"+19 49'20""",35.23,16.2,-13.79,-16.7,21.657656844635802,230.45186017828104,21.750876216274005,230.4676683684961,0.09321937163820238,0.015808190215068407,92.3,92.3,7.046154338488544,False,False
20251208,00000cs,449,5599 (1991 SG1),02:19:37,"+19 42'30""",34.77,16.3,-12.68,-16.39,20.722318885684587,232.27294180641871,20.737420357794964,232.22603889423468,0.015101472110377046,0.04690291218403786,91.27,91.27,6.954005681076677,False,False
20251216,00000jr,232,570002 (2006 BL119),03:32:38,"+27 11'27""",118.8,20.7,-20.23,-16.34,26.004778407054346,218.92820283178705,28.95554219637295,176.96202806814262,2.9507637893186036,41.96617476364443,86.58,86.58,24.172834959474983,False,False
20251217,00000lG,1187,(2016 CB302),07:41:01,"+21 05'13""",122.5,22.2,-23.09,2.57,23.232584875557865,173.64891448494424,18.965265288683277,170.04837323268444,4.267319586874589,3.600541252259802,73.95,73.95,24.59536832591094,False,False
20260103,00000wD,40,32866 (1993 FW16),23:50:47,"-03 29'35""",176.7,20.3,40.41,20.52,45.321501519698124,26.921237047367768,9.20615915882076,26.845772003274213,36.115342360877364,0.07546504409356203,64.27,64.27,39.68620850384393,False,False
20260206,00000LX,102,478725 (2012 UF59),07:12:41,"+23 06'16""",96.14,22.0,-25.19,0.8476,25.20425610407893,178.07282306322585,12.619112436431044,166.3064920225102,12.585143667647886,11.766331040715642,40.27,40.27,20.265658384208283,False,False
20260207,00000Md,159,191350 (2003 QF48),07:05:55,"+24 00'25""",52.73,20.4,-23.34,-4.412,23.75334384881421,190.70441140784206,13.281043558800684,176.46237653982163,10.472300290013527,14.242034868020426,40.74,40.74,11.860174531299,False,False
20260207,00000Mf,168,187225 (2005 SG141),07:09:31,"+22 32'47""",144.8,20.7,-20.96,4.84,21.511559683109915,166.9973977336386,17.77030768132361,167.92245989572692,3.741252001786304,0.9250621620883237,37.4,37.4,29.020499634486907,False,False
20260207,00000Mg,174,204833 (2007 PY34),07:10:40,"+23 20'07""",158.8,21.5,-26.37,2.682,26.506037500916655,174.19261700337026,11.719629165961535,171.6439795602148,14.78640833495512,2.5486374431554566,50.68,50.68,32.61015215220828,False,False
20260208,00000NM,232,843259 (2016 EL11),07:19:26,"+22 29'43""",83.11,21.5,-21.35,13.65,25.340580103857135,147.40741852740075,14.631448627287904,169.02965138731022,10.709131476569231,21.622232859909474,37.15,37.15,17.596518626821982,False,False
20260208,00000Ot,421,890231 (2013 RR121),07:05:32,"+24 01'46""",88.73,22.5,-20.54,-0.1798,20.540786938187154,180.50153447122864,12.850014943639698,177.3244849872605,7.690771994547456,3.1770494839681476,38.04,38.04,18.160629006239425,False,False
20260210,00000P2,35,(2024 QB43),07:59:02,"+14 16'10""",96.81,22.3,-27.84,10.12,29.622288905484666,160.0235035126246,61.34439777929939,138.70949408606538,31.722108873814726,21.31400942655921,33.13,33.13,25.119772328365027,False,False
20260216,00000UH,90,165705 (2001 PP61),08:19:52,"+21 13'12""",170.8,20.5,-23.97,4.821,24.450009018403243,168.62802481186796,29.62528694534242,154.44598363731478,5.175277926939177,14.182041174553177,43.15,43.15,34.28721012745181,False,False
20260216,00000UI,208,165705 (2001 PP61),08:19:52,"+21 13'12""",169.8,20.5,-23.98,4.814,24.458434046357095,168.64871996868052,29.652460027506297,154.39595290348586,5.194025981149203,14.25276706519466,43.15,43.15,34.088964345714004,False,False
20260309,000011l,35,C/2025 Y1 (ATLAS),13:08:56,"+00 35'06""",0.1757,18.6,-11.69,9.271,14.920038237216419,141.58308591649697,14.799254539492932,141.5235322882326,0.1207836977234873,0.05955362826438204,60.77,60.77,0.0701246130494437,True,True
20260310,000012H,1026,C/2025 Y1 (ATLAS),13:08:37,"+00 39'03""",0.1459,18.5,-12.0,9.361,15.219340360212724,142.04280067464416,15.273554625379814,141.96601867862503,0.05421426516709005,0.07678199601912183,55.57,55.57,0.040561358286288846,True,True
