night,product,provenance_path,provenance_basename,provenance_size_bytes,provenance_mtime_utc,source_row,source_file,trk_sub,linkage_id,n_tracklets,n_obs,fit_ok,is_good,rms_arcsec,med_arcsec,max_arcsec,a_au,ecc,inc_deg,raan_deg,argp_deg,nu_deg,best_v1_kms,lin_rms_arcsec,lin_speed_arcsec_per_day,lin_dir_deg,tracklet_ids,image_names,objids,mjds,ras_deg,decs_deg,groups,exp_pairs,review_member_rows,unique_detection_n,first_mjd,median_mjd,last_mjd,median_ra_deg,median_dec_deg,median_mag_aper4,median_mag_psf,median_x_px,median_y_px,time_span_hours,speed_arcsec_per_hour,final_paper_status,initial_human_selected,posthoc_retained,ecliptic_lon_j2000_deg,ecliptic_lat_j2000_deg,solar_elongation_deg,astronomical_dusk_mjd,astronomical_dawn_mjd,hours_after_astronomical_dusk,hours_before_astronomical_dawn,nearest_astronomical_twilight,nearest_twilight_abs_hours,nearest_twilight_signed_hours,jpl_object_name,jpl_ra,jpl_dec,separation_arcsec,jpl_visual_magnitude,jpl_ra_rate_arcsec_per_hour,jpl_dec_rate_arcsec_per_hour,jpl_speed_arcsec_per_hour,jpl_direction_deg,candidate_speed_arcsec_per_hour,candidate_direction_deg,speed_difference_arcsec_per_hour,direction_difference_deg,estimated_error_ra_arcsec,estimated_error_dec_arcsec,joint_score,strict_candidate_association,plausible_candidate_association,jpl_query_state,identification_authority_state
20251121,unknown_catalog,/processed1/20251121/L4/20251121_unknown_links.fits,20251121_unknown_links.fits,51840,2026-06-19T20:37:59.957527+00:00,39,OBJ_MP_1602_0203.fits.gz;OBJ_MP_1602_0229.fits.gz;OBJ_MP_1602_0255.fits.gz,000004r,598,2,3,True,True,0.1672305251550027,0.0,0.2896517661448899,-2.3534336924446655,2.7421353305958993,43.95820500167488,355.59958768044703,31.47990197867132,0.0059458662426887,28.455153392902016,0.1316941620779268,215.69215493449843,68.17264328163373,20251121004300010009;20251121004301020035,OBJ_MP_1602_0203.fits.gz;OBJ_MP_1602_0229.fits.gz;OBJ_MP_1602_0255.fits.gz,4748;4778;4874,61000.51464639;61000.54056649;61000.56642580,8.99860164;8.99924118;8.99983008,20.12030661;20.12167420;20.12318659,42;42;42,0->1;0->1;1->2,3,3,61000.51447277778,61000.54039288194,61000.5662521875,8.99924117706019,20.121674204238477,18.928586959838867,17.145160675048828,8300.522738294247,2429.9981040604334,1.2427058332250454,8.987173122270768,retained_after_posthoc_audit,True,True,16.323556530356203,14.905721347060746,135.06190282062445,61000.43305746945,61000.894481495925,2.5760498999152333,8.498126735561527,dusk,2.5760498999152333,2.5760498999152333,,,,,,,,,,,,,,,,,,,no_candidate_within_search_radius,unverified_requires_mpc_submission_reconciliation
20251124,unknown_catalog,/processed1/20251124/L4/20251124_unknown_links.fits,20251124_unknown_links.fits,14400,2026-06-19T21:19:45.007746+00:00,0,OBJ_MP_0517_0034.fits.gz;OBJ_MP_0517_0070.fits.gz;OBJ_MP_0517_0097.fits.gz,000006v,0,2,3,True,True,1.5136650034413317,0.0,2.621744691599306,0.8552354476523216,0.9877568309132454,67.38168569208776,198.890882434482,0.6114680570912017,-179.99777829926384,2.5276545288072083,1.163673369159325,621.5416713235846,171.0991429892712,20251124000200010002;20251124000201020030,OBJ_MP_0517_0034.fits.gz;OBJ_MP_0517_0070.fits.gz;OBJ_MP_0517_0097.fits.gz,403;496;473,61003.42132541;61003.48477044;61003.51163584,347.99402080;347.98313811;347.97774761,-17.28096017;-17.27888022;-17.27866790,1;1;1,0->1;0->1;1->2,3,3,61003.421151793984,61003.484596828705,61003.51146223379,347.9831381132704,-17.27888021957058,17.478530883789062,17.402278900146484,882.2235461186392,719.3405183779571,2.167450555425603,25.897569638482693,retained_after_posthoc_audit,True,True,342.15881766186544,-11.154232969993569,103.2445090096124,61003.432219369075,61003.89646435371,1.2570590311079286,9.884820600156672,dusk,1.2570590311079286,1.2570590311079286,,,,,,,,,,,,,,,,,,,no_candidate_within_search_radius,unverified_requires_mpc_submission_reconciliation
20251125,unknown_catalog,/processed1/20251125/L4/20251125_unknown_links.fits,20251125_unknown_links.fits,17280,2026-06-19T21:23:21.865609+00:00,1,OBJ_MP_0782_0038.fits.gz;OBJ_MP_0782_0066.fits.gz;OBJ_MP_0782_0094.fits.gz,000006K,21,2,3,True,True,0.3115509763174687,0.0030735851265057,0.5396133667799324,0.7962863041148304,0.6325786839385538,26.964063653139913,10.348816634579135,196.8741760736114,-179.98833198360066,15.834474206389872,0.2626815124055096,1336.5342631364283,41.8689897028552,20251125000900010015;20251125000901020033,OBJ_MP_0782_0038.fits.gz;OBJ_MP_0782_0066.fits.gz;OBJ_MP_0782_0094.fits.gz,5146;5161;7243,61004.41529225;61004.44424222;61004.47318921,340.52900657;340.53732796;340.54545133,-13.26314937;-13.25609732;-13.24880310,8;8;8,0->1;0->1;1->2,3,3,61004.41511863426,61004.44406861111,61004.47301560185,340.537327962366,-13.256097316853907,17.534048080444336,17.430818557739258,6486.861876710867,4848.416219708953,1.3895272221998312,55.68892763068451,retained_after_posthoc_audit,True,True,337.0386704116901,-4.66814031762105,98.15883242690975,61004.431985840674,61004.89711426733,0.2899864905048162,10.873095749295317,dusk,0.2899864905048162,0.2899864905048162,124941 (2001 TR79),22:42:09,"-13 13'12""",129.9,20.2,53.82,25.7,59.64128100569269,25.52529892338911,55.68892763068451,41.8689897028552,3.9523533750081796,16.3436907794661,121.2,121.2,26.106260486388752,False,False,candidate_rows_within_search_radius,unverified_requires_mpc_submission_reconciliation
20251125,unknown_catalog,/processed1/20251125/L4/20251125_unknown_links.fits,20251125_unknown_links.fits,17280,2026-06-19T21:23:21.865609+00:00,9,OBJ_MP_0786_0052.fits.gz;OBJ_MP_0786_0080.fits.gz;OBJ_MP_0786_0108.fits.gz,000006S,132,2,3,True,True,0.8722503903425757,0.0,1.5107819929951267,1.5646742283662995,0.8534209613117614,85.27892941629035,7.953498346687426,179.34485319802366,-179.99779721309636,6.69622536819895,0.7099873402043746,448.39374143331526,142.2006615619101,20251125002300010038;20251125002301020089,OBJ_MP_0786_0052.fits.gz;OBJ_MP_0786_0080.fits.gz;OBJ_MP_0786_0108.fits.gz,5266;5954;5551,61004.43132444;61004.46017176;61004.48898243,350.43123369;350.42875402;350.42549052,-8.85604952;-8.85400117;-8.85164792,22;22;22,0->1;0->1;1->2,3,3,61004.431150833334,61004.45999814815,61004.48880881944,350.4287540182994,-8.854001174370154,18.173261642456055,18.238977432250977,7332.696173955217,4254.507336151472,1.383791666594334,18.68307255972147,retained_after_posthoc_audit,True,True,347.72459627893227,-4.351304645007743,108.80875787932216,61004.431985840674,61004.89711426733,0.6722953794524074,10.490786860347724,dusk,0.6722953794524074,0.6722953794524074,,,,,,,,,,,,,,,,,,,no_candidate_within_search_radius,unverified_requires_mpc_submission_reconciliation
20251203,unknown_catalog,/processed1/20251203/L4/20251203_unknown_links.fits,20251203_unknown_links.fits,40320,2026-06-19T21:38:43.202032+00:00,48,OBJ_MP_0969_0322.fits.gz;OBJ_MP_0969_0348.fits.gz;OBJ_MP_0969_0374.fits.gz,000008u,343,2,3,True,True,0.2655821812194292,0.0,0.4600018314570163,1.2204301524939027,0.0651982024492051,23.43308466181008,0.7185962712870867,263.1020397181396,-179.98164747709478,25.25696768433281,0.280269562532293,221.49257893614688,163.03814621778065,20251203011800010003;20251203011801020014,OBJ_MP_0969_0322.fits.gz;OBJ_MP_0969_0348.fits.gz;OBJ_MP_0969_0374.fits.gz,6663;7122;7354,61012.72509896;61012.75398719;61012.78219118,117.63044697;117.62875037;117.62684975,20.88945448;20.89009063;20.89047830,117;117;117,0->1;0->1;1->2,3,3,61012.724925347226,61012.75381357639,61012.78201756944,117.62875037003016,20.890090630635573,17.774917602539062,17.79090118408203,4095.366277073692,2603.8837698668644,1.3702133332262747,9.228857455672786,retained_after_posthoc_audit,True,True,115.6800958989056,-0.1203464333520492,123.7398860318261,61012.43094247939,61012.90205399763,7.748906327993609,3.5577701098518446,dawn,3.5577701098518446,-3.5577701098518446,,,,,,,,,,,,,,,,,,,no_candidate_within_search_radius,unverified_requires_mpc_submission_reconciliation
20251204,unknown_catalog,/processed1/20251204/L4/20251204_unknown_links.fits,20251204_unknown_links.fits,23040,2026-06-19T21:57:39.832334+00:00,14,OBJ_MP_0968_0423.fits.gz;OBJ_MP_0968_0449.fits.gz;OBJ_MP_0968_0475.fits.gz,0000098,274,2,3,True,True,0.0331985136989447,0.0,0.0575015124623437,5.831336748206895,0.296902206955448,22.753958328705146,9.878698191228642,95.02493682480882,0.0035838120557554,16.751542389748227,0.025767316068528,252.4466137811889,161.9380474042935,20251204014800010003;20251204014801020147,OBJ_MP_0968_0423.fits.gz;OBJ_MP_0968_0449.fits.gz;OBJ_MP_0968_0475.fits.gz,9934;9026;8460,61013.84446340;61013.87103088;61013.89747774,114.92420686;114.92231621;114.92041003,21.42643001;21.42701782;21.42758261,147;147;147,0->1;0->1;1->2,3,3,61013.84428979167,61013.87085726852,61013.89730413195,114.92231621326911,21.427017819861742,17.224042892456055,17.210651397705078,4247.407591378727,2888.1107994042727,1.272344166703988,10.518608907549536,retained_after_posthoc_audit,True,True,113.10111156617994,-0.0362383055525939,126.37867602476638,61013.43091483088,61013.90263297996,10.558618503331672,0.7626170745352283,dawn,0.7626170745352283,-0.7626170745352283,(2018 UL40),07:39:41,"+21 28'11""",153.9,22.4,-19.74,10.63,22.420180641555945,151.69751340054967,10.518608907549536,161.9380474042935,11.901571734006408,10.240534003743846,113.7,113.7,31.3666851580103,False,False,candidate_rows_within_search_radius,unverified_requires_mpc_submission_reconciliation
20251204,unknown_catalog,/processed1/20251204/L4/20251204_unknown_links.fits,20251204_unknown_links.fits,23040,2026-06-19T21:57:39.832334+00:00,23,OBJ_MP_0969_0427.fits.gz;OBJ_MP_0969_0453.fits.gz;OBJ_MP_0969_0479.fits.gz,000009h,306,2,3,True,True,0.3016814222899489,0.0,0.5225275511058335,5.499622340117905,0.2544942643573347,22.8643491983179,4.918541506973808,101.64735227066848,0.0035243844302251,16.47538325353662,0.2454535329392044,226.82736871619005,165.5232165683426,20251204015200010004;20251204015201020018,OBJ_MP_0969_0427.fits.gz;OBJ_MP_0969_0453.fits.gz;OBJ_MP_0969_0479.fits.gz,6498;6223;5154,61013.84842862;61013.87498003;61013.90143775,117.56009676;117.55827662;117.55663495,20.90866164;20.90895977;20.90949673,151;151;151,0->1;0->1;1->2,3,3,61013.84825501157,61013.87480642361,61013.90126414352,117.55827661534876,20.908959766245587,17.648366928100586,17.666749954223633,4132.425214334464,2365.242403001558,1.2722191666834988,9.451140363174586,retained_after_posthoc_audit,True,True,115.61191099692572,-0.113930954118296,123.87074305165126,61013.43091483088,61013.90263297996,10.653398225549608,0.6678373523172922,dawn,0.6678373523172922,-0.6678373523172922,74110 (1998 QU37),07:50:15,"+20 56'23""",112.3,19.2,-16.92,1.291,16.969180327876774,175.63677254472054,9.451140363174586,165.5232165683426,7.518039964702188,10.113555976377938,117.0,117.0,22.794838700297664,False,False,candidate_rows_within_search_radius,unverified_requires_mpc_submission_reconciliation
20251204,unknown_catalog,/processed1/20251204/L4/20251204_unknown_links.fits,20251204_unknown_links.fits,23040,2026-06-19T21:57:39.832334+00:00,27,OBJ_MP_0965_0429.fits.gz;OBJ_MP_0965_0455.fits.gz;OBJ_MP_0965_0481.fits.gz,000009l,317,2,3,True,True,0.4424147941171867,0.0,0.766284901431092,1.2271145937058452,0.059395764925614,23.669061667767146,357.0397631851546,263.74682069588715,-179.98291318282244,25.335233067425623,0.4387991083233378,936.0764111147316,183.58822137494087,20251204015400010003;20251204015401020014,OBJ_MP_0965_0429.fits.gz;OBJ_MP_0965_0455.fits.gz;OBJ_MP_0965_0481.fits.gz,17033;15697;13376,61013.85057814;61013.87713318;61013.90356872,106.44173328;106.43396364;106.42668059,24.00005397;23.99977698;23.99919140,153;153;153,0->1;0->1;1->2,3,3,61013.85040452546,61013.87695957176,61013.90339510416,106.43396364049946,23.99977697907328,17.83401107788086,17.909395217895508,8658.153188049746,3230.150479726857,1.2717738889041357,39.00318379644715,retained_after_posthoc_audit,True,True,104.98863281837411,1.411215135927353,134.42887544320027,61013.43091483088,61013.90263297996,10.70507378107868,0.6161617967882194,dawn,0.6161617967882194,-0.6161617967882194,,,,,,,,,,,,,,,,,,,no_candidate_within_search_radius,unverified_requires_mpc_submission_reconciliation
20251207,unknown_catalog,/processed1/20251207/L4/20251207_unknown_links.fits,20251207_unknown_links.fits,54720,2026-06-19T22:22:38.942697+00:00,17,OBJ_MP_1210_0048.fits.gz;OBJ_MP_1210_0076.fits.gz;OBJ_MP_1210_0104.fits.gz,00000aG,298,2,3,True,True,0.0285584413220693,0.0,0.0494646713547985,3.665417898460688,0.1185627708545725,23.06083460365217,289.6090856260487,292.27631808924224,-179.99683366396718,13.81010183375071,0.0227143154625013,522.0210291905761,230.4676683684961,20251207001500010019;20251207001501020048,OBJ_MP_1210_0048.fits.gz;OBJ_MP_1210_0076.fits.gz;OBJ_MP_1210_0104.fits.gz,8657;9111;8837,61016.43276698;61016.46243341;61016.48958198,35.00367883;35.00076238;34.99810468,19.82921443;19.82590861;19.82286000,14;14;14,0->1;0->1;1->2,3,3,61016.43259336805,61016.46225980325,61016.489408368056,35.00076238193964,19.825908614221383,16.027873992919922,16.053089141845703,5021.120751667171,5651.504026046064,1.363560000085272,21.750876216274005,retained_after_posthoc_audit,True,True,39.269532054627014,5.540451274713221,158.5759642580363,61016.430967746266,61016.904309212754,0.7510093674645759,10.609185828245243,dusk,0.7510093674645759,0.7510093674645759,5599 (1991 SG1),02:19:58,"+19 49'20""",35.23,16.2,-13.79,-16.7,21.657656844635802,230.45186017828104,21.750876216274005,230.4676683684961,0.09321937163820238,0.015808190215068407,92.3,92.3,7.046154338488544,False,False,candidate_rows_within_search_radius,unverified_requires_mpc_submission_reconciliation
20251207,unknown_catalog,/processed1/20251207/L4/20251207_unknown_links.fits,20251207_unknown_links.fits,54720,2026-06-19T22:22:38.942697+00:00,54,OBJ_MP_0276_0136.fits.gz;OBJ_MP_0276_0165.fits.gz;OBJ_MP_0276_0194.fits.gz,00000bh,896,2,3,True,True,0.675748503023798,0.0030735851265057,1.1704267047069552,1.4157145024535016,0.0817357652645305,19.643606341389265,2.602699885091426,65.80179495863365,0.0196905585339959,27.16952413246923,0.5846614120191747,610.4726702628133,162.797778902172,20251207004600010020;20251207004601020044,OBJ_MP_0276_0136.fits.gz;OBJ_MP_0276_0165.fits.gz;OBJ_MP_0276_0194.fits.gz,9727;9736;9890,61016.52105243;61016.54869428;61016.57799517,48.84832786;48.84417911;48.83909598,3.17453898;3.17601763;3.17739650,45;45;45,0->1;0->1;1->2,3,3,61016.52087881944,61016.5485206713,61016.5778215625,48.84417910724284,3.176017626942899,17.84528350830078,18.14187240600586,1650.339655713444,7427.288097404698,1.3666258334415031,25.43636126095055,retained_after_posthoc_audit,True,True,47.29073944344747,-14.37238199595835,162.04851247300883,61016.430967746266,61016.904309212754,2.8212702007731423,8.538924994936679,dusk,2.8212702007731423,2.8212702007731423,,,,,,,,,,,,,,,,,,,no_candidate_within_search_radius,unverified_requires_mpc_submission_reconciliation
20251208,unknown_catalog,/processed1/20251208/L4/20251208_unknown_links.fits,20251208_unknown_links.fits,28800,2026-06-19T22:49:39.118710+00:00,14,OBJ_MP_1210_0055.fits.gz;OBJ_MP_1210_0083.fits.gz;OBJ_MP_1210_0111.fits.gz,00000cs,449,2,3,True,True,0.0163604061689552,0.0030735851265057,0.0281698729942059,3.3040368381776677,0.0012217897043561,21.55593699135638,318.4510265900238,87.6467469754704,0.0047830333059611,16.405946493323977,0.014996751283622,497.6980885870791,232.22603889423468,20251208002600010026;20251208002601020060,OBJ_MP_1210_0055.fits.gz;OBJ_MP_1210_0083.fits.gz;OBJ_MP_1210_0111.fits.gz,9381;9181;8505,61017.45302856;61017.48204713;61017.51117619,34.91570847;34.91309582;34.91047775,19.71500968;19.71184720;19.70865549,25;25;25,0->1;0->1;1->2,3,3,61017.452854953706,61017.48187351852,61017.51100258102,34.91309581737564,19.71184720022901,16.15353775024414,16.16417121887207,4674.524269274315,5371.393434598873,1.395543055550661,20.737420357794964,retained_after_posthoc_audit,True,True,39.15368130285607,5.459694646528244,158.43638621097224,61017.431030422624,61017.90484633721,1.2202343014650978,10.151347648585215,dusk,1.2202343014650978,1.2202343014650978,5599 (1991 SG1),02:19:37,"+19 42'30""",34.77,16.3,-12.68,-16.39,20.722318885684587,232.27294180641871,20.737420357794964,232.22603889423468,0.015101472110377046,0.04690291218403786,91.27,91.27,6.954005681076677,False,False,candidate_rows_within_search_radius,unverified_requires_mpc_submission_reconciliation
20251208,unknown_catalog,/processed1/20251208/L4/20251208_unknown_links.fits,20251208_unknown_links.fits,28800,2026-06-19T22:49:39.118710+00:00,38,OBJ_MP_1103_0311.fits.gz;OBJ_MP_1103_0338.fits.gz;OBJ_MP_1103_0365.fits.gz,00000cR,1115,2,3,True,True,0.0845654931169765,0.0,0.1464717306457196,1.38605058504359,0.06208329602776,23.840010849782153,359.7314758951508,86.1759719069974,0.0179691041938349,26.921591304900588,0.1109475876084787,301.5272054278414,168.5434341136023,20251208013000010008;20251208013001020046,OBJ_MP_1103_0311.fits.gz;OBJ_MP_1103_0338.fits.gz;OBJ_MP_1103_0365.fits.gz,8268;8094;7603,61017.75977203;61017.78600181;61017.81221509,113.95591743;113.95355964;113.95123752,23.09028625;23.09078606;23.09115869,129;129;129,0->1;0->1;1->2,3,3,61017.759598414355,61017.78582819444,61017.81204148149,113.95355964433988,23.090786064143124,17.121566772460938,17.148868560791016,600.4174276402962,2454.4699969277103,1.2586336110834964,12.563633559493391,retained_after_posthoc_audit,True,True,111.94288881586355,1.4572541295618626,127.70194492420906,61017.431030422624,61017.90484633721,8.515146523655858,2.856435426394455,dawn,2.856435426394455,-2.856435426394455,,,,,,,,,,,,,,,,,,,no_candidate_within_search_radius,unverified_requires_mpc_submission_reconciliation
20251208,unknown_catalog,/processed1/20251208/L4/20251208_unknown_links.fits,20251208_unknown_links.fits,28800,2026-06-19T22:49:39.118710+00:00,40,OBJ_MP_0967_0314.fits.gz;OBJ_MP_0967_0341.fits.gz;OBJ_MP_0967_0368.fits.gz,00000cT,1141,2,3,True,True,0.1094040888009007,0.0,0.1894934403589372,5.884239135801841,0.3032234238716475,24.42393093813755,2.1717557030349375,101.96573037202492,0.0035543094746695,16.792317020496743,0.0874896610587965,311.0701444369908,167.34953358586463,20251208013300010024;20251208013301020098,OBJ_MP_0967_0314.fits.gz;OBJ_MP_0967_0341.fits.gz;OBJ_MP_0967_0368.fits.gz,31906;31969;35026,61017.76277611;61017.78901809;61017.81522635,113.95568799;113.95322766;113.95088076,23.09028017;23.09076767;23.09127273,132;132;132,0->1;0->1;1->2,3,3,61017.7626025,61017.78884447917,61017.815052743055,113.9532276620022,23.090767670420227,17.247882843017578,17.16469383239746,8057.635236777652,8407.80979344421,1.25880583334947,12.96125601820795,retained_after_posthoc_audit,True,True,111.94259032241597,1.457186645394729,127.70241503990924,61017.431030422624,61017.90484633721,8.587537357059773,2.78404459299054,dawn,2.78404459299054,-2.78404459299054,,,,,,,,,,,,,,,,,,,no_candidate_within_search_radius,unverified_requires_mpc_submission_reconciliation
