event_id,night,event_type,timestamp_utc,timestamp_as_logged,timezone_basis,source_kind,source_group,source_path,source_relative_path,source_sha256,line_number,inventory_column,line_text,target_resolution,segment_id,run_date,target_lag_days,run_class,trigger_class,outcome,outcome_tags,selected_for_night,selection_role
evt_bbc25689b05d4116,20251115,l2_latest_mtime,2026-01-26T04:45:14.408648Z,2026-01-26T04:45:14.408648+00:00,inventory_field_explicit_or_assumed_UTC,inventory_mtime,inventory,/Users/yunaoxiao/Desktop/smt_asteroid/paper_analysis_20260803/snapshot/inventory/l2_manifest.csv,l2_manifest.csv,a5a561c212745bee53a1870a27f83779a2558f3973d88378b8ef5d1cdad6b485,292,mtime_utc,mtime_utc=2026-01-26T04:45:14.408648+00:00; path=/processed1/20251115/L2/OBJ_MP_1758_0273_cat.fits.gz,inventory_night_column,,,,latest_mtime_evidence,not_applicable,latest_mtime,,True,l2_latest_mtime
evt_c06eca27a8865c55,20251115,known_all_mtime,2026-03-29T07:49:55.236175Z,2026-03-29T07:49:55.236175+00:00,inventory_field_explicit_or_assumed_UTC,inventory_mtime,inventory,/Users/yunaoxiao/Desktop/smt_asteroid/paper_analysis_20260803/snapshot/inventory/nightly_products.csv,nightly_products.csv,e91dc04839ae047288a68c478a1dda5cdd2fa1bb3b83aa2b109d21ae53d4e5f7,2,known_all_mtime_utc,known_all_mtime_utc=2026-03-29T07:49:55.236175+00:00,inventory_night_column,,,,latest_mtime_evidence,not_applicable,latest_mtime,,True,known_all_mtime
evt_77751d803085a883,20251115,known_match1_mtime,2026-03-29T07:49:55.414171Z,2026-03-29T07:49:55.414171+00:00,inventory_field_explicit_or_assumed_UTC,inventory_mtime,inventory,/Users/yunaoxiao/Desktop/smt_asteroid/paper_analysis_20260803/snapshot/inventory/nightly_products.csv,nightly_products.csv,e91dc04839ae047288a68c478a1dda5cdd2fa1bb3b83aa2b109d21ae53d4e5f7,2,known_match1_mtime_utc,known_match1_mtime_utc=2026-03-29T07:49:55.414171+00:00,inventory_night_column,,,,latest_mtime_evidence,not_applicable,latest_mtime,,True,known_match1_mtime
evt_a74bb63d3733dd70,20251115,known_ades_mtime,2026-03-30T11:09:11.845798Z,2026-03-30T11:09:11.845798+00:00,inventory_field_explicit_or_assumed_UTC,inventory_mtime,inventory,/Users/yunaoxiao/Desktop/smt_asteroid/paper_analysis_20260803/snapshot/inventory/nightly_products.csv,nightly_products.csv,e91dc04839ae047288a68c478a1dda5cdd2fa1bb3b83aa2b109d21ae53d4e5f7,2,known_ades_mtime_utc,known_ades_mtime_utc=2026-03-30T11:09:11.845798+00:00,inventory_night_column,,,,latest_mtime_evidence,not_applicable,latest_mtime,,True,known_ades_mtime
evt_f5f0c1a8fc6051bc,20251116,l2_latest_mtime,2026-01-26T07:38:58.724041Z,2026-01-26T07:38:58.724041+00:00,inventory_field_explicit_or_assumed_UTC,inventory_mtime,inventory,/Users/yunaoxiao/Desktop/smt_asteroid/paper_analysis_20260803/snapshot/inventory/l2_manifest.csv,l2_manifest.csv,a5a561c212745bee53a1870a27f83779a2558f3973d88378b8ef5d1cdad6b485,581,mtime_utc,mtime_utc=2026-01-26T07:38:58.724041+00:00; path=/processed1/20251116/L2/OBJ_MP_1758_0262_cat.fits.gz,inventory_night_column,,,,latest_mtime_evidence,not_applicable,latest_mtime,,True,l2_latest_mtime
evt_b59b75b9c26aaeee,20251116,known_all_mtime,2026-06-19T06:22:04.819276Z,2026-06-19T06:22:04.819276+00:00,inventory_field_explicit_or_assumed_UTC,inventory_mtime,inventory,/Users/yunaoxiao/Desktop/smt_asteroid/paper_analysis_20260803/snapshot/inventory/nightly_products.csv,nightly_products.csv,e91dc04839ae047288a68c478a1dda5cdd2fa1bb3b83aa2b109d21ae53d4e5f7,3,known_all_mtime_utc,known_all_mtime_utc=2026-06-19T06:22:04.819276+00:00,inventory_night_column,,,,latest_mtime_evidence,not_applicable,latest_mtime,,True,known_all_mtime
evt_12a3159e4da73be2,20251116,known_match1_mtime,2026-06-19T06:22:05.453264Z,2026-06-19T06:22:05.453264+00:00,inventory_field_explicit_or_assumed_UTC,inventory_mtime,inventory,/Users/yunaoxiao/Desktop/smt_asteroid/paper_analysis_20260803/snapshot/inventory/nightly_products.csv,nightly_products.csv,e91dc04839ae047288a68c478a1dda5cdd2fa1bb3b83aa2b109d21ae53d4e5f7,3,known_match1_mtime_utc,known_match1_mtime_utc=2026-06-19T06:22:05.453264+00:00,inventory_night_column,,,,latest_mtime_evidence,not_applicable,latest_mtime,,True,known_match1_mtime
evt_121253a8a5815513,20251116,known_mask15_mtime,2026-06-19T06:22:06.070252Z,2026-06-19T06:22:06.070252+00:00,inventory_field_explicit_or_assumed_UTC,inventory_mtime,inventory,/Users/yunaoxiao/Desktop/smt_asteroid/paper_analysis_20260803/snapshot/inventory/nightly_products.csv,nightly_products.csv,e91dc04839ae047288a68c478a1dda5cdd2fa1bb3b83aa2b109d21ae53d4e5f7,3,known_mask15_mtime_utc,known_mask15_mtime_utc=2026-06-19T06:22:06.070252+00:00,inventory_night_column,,,,latest_mtime_evidence,not_applicable,latest_mtime,,True,known_mask15_mtime
evt_fc5e2f26482ee76f,20251116,unknown_summary_mtime,2026-06-19T19:46:46.089373Z,2026-06-19T19:46:46.089373+00:00,inventory_field_explicit_or_assumed_UTC,inventory_mtime,inventory,/Users/yunaoxiao/Desktop/smt_asteroid/paper_analysis_20260803/snapshot/inventory/nightly_products.csv,nightly_products.csv,e91dc04839ae047288a68c478a1dda5cdd2fa1bb3b83aa2b109d21ae53d4e5f7,3,summary_mtime_utc,summary_mtime_utc=2026-06-19T19:46:46.089373+00:00,inventory_night_column,,,,latest_mtime_evidence,not_applicable,latest_mtime,,True,unknown_summary_mtime
evt_09020cef1f6d4af8,20251116,unknown_catalog_mtime,2026-06-19T19:46:46.688212Z,2026-06-19T19:46:46.688212+00:00,inventory_field_explicit_or_assumed_UTC,inventory_mtime,inventory,/Users/yunaoxiao/Desktop/smt_asteroid/paper_analysis_20260803/snapshot/inventory/nightly_products.csv,nightly_products.csv,e91dc04839ae047288a68c478a1dda5cdd2fa1bb3b83aa2b109d21ae53d4e5f7,3,unknown_links_mtime_utc,unknown_links_mtime_utc=2026-06-19T19:46:46.688212+00:00,inventory_night_column,,,,latest_mtime_evidence,not_applicable,latest_mtime,,True,unknown_catalog_mtime
