night,quality_code,quality_reason,primary_science_included,unknown_science_included,known_mpc_state,unknown_mpc_state,operations_run_class,known_run_class,unknown_run_class,known_start_utc,known_start_event_id,known_start_outcome,known_trigger_class,known_start_candidate_n,known_pairing_note,unknown_start_utc,unknown_start_event_id,unknown_start_outcome,unknown_trigger_class,unknown_start_candidate_n,unknown_pairing_note,unknown_end_utc,unknown_end_event_id,l2_latest_mtime_utc,l2_latest_evidence_id,known_all_mtime_utc,known_match1_mtime_utc,known_mask15_mtime_utc,known_ades_mtime_utc,known_reply_mtime_utc,unknown_catalog_mtime_utc,unknown_summary_mtime_utc,review_manifest_mtime_utc,review_csv_mtime_utc,submit_csv_mtime_utc,unknown_ades_mtime_utc,unknown_reply_mtime_utc,auto_l2_latest_to_known_start_hours,auto_known_start_to_ades_hours,auto_l2_latest_to_known_ades_hours,auto_known_reply_to_unknown_start_hours,auto_known_mask15_to_unknown_start_hours,auto_unknown_start_to_end_minutes,auto_unknown_start_to_catalog_hours,auto_unknown_start_to_review_package_hours,human_review_package_to_review_csv_hours,human_review_package_to_submit_csv_hours,human_review_csv_to_submit_csv_hours,mpc_known_ades_to_reply_hours,mpc_unknown_ades_to_reply_hours,end_to_end_l2_latest_to_known_reply_hours,end_to_end_l2_latest_to_unknown_catalog_hours,end_to_end_l2_latest_to_review_package_hours,end_to_end_l2_latest_to_unknown_reply_hours,timing_consistency_flags,latest_mtime_caveat,cpu_accounting_status,ram_accounting_status
20251115,quality_ok,,True,True,matched_without_ades,not_run,latest_mtime_only,latest_mtime_only,no_evidence,,,,,0,no_explicit_processing_segment,,,,,0,no_explicit_processing_segment,,,2026-01-26T04:45:14.408648Z,evt_bbc25689b05d4116,2026-03-29T07:49:55.236175Z,2026-03-29T07:49:55.414171Z,,2026-03-30T11:09:11.845798Z,,,,,,,,,,,1518.399288097222,,,,,,,,,,,,,,,,inventory timestamps are latest mtimes and may reflect reruns or copies,unavailable_slurm_accounting_disabled,unavailable_slurm_accounting_disabled
20251116,quality_ok,,True,True,matched_without_ades,catalog_nonempty,latest_mtime_only,latest_mtime_only,latest_mtime_only,,,,,0,no_explicit_processing_segment,,,,,0,no_explicit_processing_segment,,,2026-01-26T07:38:58.724041Z,evt_f5f0c1a8fc6051bc,2026-06-19T06:22:04.819276Z,2026-06-19T06:22:05.453264Z,2026-06-19T06:22:06.070252Z,,,2026-06-19T19:46:46.688212Z,2026-06-19T19:46:46.089373Z,2026-06-19T19:49:37.689525Z,2026-06-20T02:43:27.145141Z,2026-06-20T02:43:27.145141Z,2026-06-20T05:00:07.256313Z,,,,,,,,,,6.897071004444444,6.897071004444444,0.0,,,,3468.1299900475,3468.1774904122226,,,inventory timestamps are latest mtimes and may reflect reruns or copies,unavailable_slurm_accounting_disabled,unavailable_slurm_accounting_disabled
20251117,no_strict_raw,,True,True,not_run,not_run,no_evidence,no_evidence,no_evidence,,,,,0,no_explicit_processing_segment,,,,,0,no_explicit_processing_segment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unavailable_slurm_accounting_disabled,unavailable_slurm_accounting_disabled
20251118,quality_ok,,True,True,reply_received,catalog_nonempty,latest_mtime_only,latest_mtime_only,latest_mtime_only,,,,,0,no_explicit_processing_segment,,,,,0,no_explicit_processing_segment,,,2026-01-26T16:58:05.068980Z,evt_6ebe0adf2346cabd,2026-06-19T06:22:53.036355Z,2026-06-19T06:22:53.737342Z,2026-06-19T06:22:54.442328Z,2026-03-30T11:09:16.445699Z,2026-03-30T11:09:30.570395Z,2026-06-19T19:49:58.342552Z,2026-06-19T19:49:57.812990Z,2026-06-19T20:07:09.962423Z,2026-06-20T02:51:46.312690Z,2026-06-20T02:51:46.312690Z,2026-06-20T05:00:07.736304Z,,,,1506.1864935330555,,,,,,6.743430629722223,6.743430629722223,0.0,0.003923526666666666,,1506.1904170597222,3458.8647982144444,3459.151359289722,,,inventory timestamps are latest mtimes and may reflect reruns or copies,unavailable_slurm_accounting_disabled,unavailable_slurm_accounting_disabled
20251119,quality_ok,,True,True,reply_received,catalog_nonempty,latest_mtime_only,latest_mtime_only,latest_mtime_only,,,,,0,no_explicit_processing_segment,,,,,0,no_explicit_processing_segment,,,2026-01-27T00:13:01.260814Z,evt_f97b9d4b5f6f2784,2026-06-19T06:23:46.712330Z,2026-06-19T06:23:48.089303Z,2026-06-19T06:23:49.741272Z,2026-03-30T11:09:31.191381Z,2026-03-30T11:09:36.268272Z,2026-06-19T20:07:37.394327Z,2026-06-19T20:07:36.889563Z,2026-06-19T20:21:38.604115Z,2026-06-20T02:57:38.088162Z,2026-06-20T02:57:38.088162Z,2026-06-20T05:00:08.220294Z,,,,1498.9416473797223,,,,,,6.5998566797222225,6.5998566797222225,0.0,0.0014102474999999998,,1498.9430576272223,3451.9100370869446,3452.1437064725,,,inventory timestamps are latest mtimes and may reflect reruns or copies,unavailable_slurm_accounting_disabled,unavailable_slurm_accounting_disabled
20251120,quality_ok,,True,True,reply_received,catalog_nonempty,latest_mtime_only,latest_mtime_only,latest_mtime_only,,,,,0,no_explicit_processing_segment,,,,,0,no_explicit_processing_segment,,,2026-01-27T05:15:41.035470Z,evt_97ae11de92b6340c,2026-06-19T06:24:52.952064Z,2026-06-19T06:24:54.128042Z,2026-06-19T06:24:55.042024Z,2026-03-30T11:09:36.852259Z,2026-03-30T11:09:43.345119Z,2026-06-19T20:22:14.603580Z,2026-06-19T20:22:14.068662Z,2026-06-19T20:37:15.737482Z,2026-06-20T03:00:37.891663Z,2026-06-20T03:00:37.891663Z,2026-06-20T05:00:08.700285Z,,,,1493.8988379969446,,,,,,6.3894872725,6.3894872725,0.0,0.0018035722222222222,,1493.9006415691667,3447.109324475,3447.359639447778,,,inventory timestamps are latest mtimes and may reflect reruns or copies,unavailable_slurm_accounting_disabled,unavailable_slurm_accounting_disabled
20251121,quality_ok,,True,True,reply_received,reply_received,latest_mtime_only,latest_mtime_only,latest_mtime_only,,,,,0,no_explicit_processing_segment,,,,,0,no_explicit_processing_segment,,,2026-01-27T10:21:31.166940Z,evt_bde8f473bed4ea3e,2026-06-19T06:26:01.585753Z,2026-06-19T06:26:02.724731Z,2026-06-19T06:26:03.842710Z,2026-03-30T11:09:44.061104Z,2026-03-30T11:09:50.387968Z,2026-06-19T20:37:59.957527Z,2026-06-19T20:37:59.393297Z,2026-06-19T21:01:55.647887Z,2026-06-20T03:05:15.656240Z,2026-06-20T03:05:15.656240Z,2026-06-20T05:00:09.725265Z,2026-06-20T05:00:15.549153Z,,,1488.8035817122222,,,,,,6.055557875833333,6.055557875833333,0.0,0.0017574622222222222,0.0016177466666666667,1488.8053391744445,3442.2746640519445,3442.6734669297225,3450.645661725833,,inventory timestamps are latest mtimes and may reflect reruns or copies,unavailable_slurm_accounting_disabled,unavailable_slurm_accounting_disabled
20251122,quality_ok,,True,True,reply_received,catalog_nonempty,latest_mtime_only,latest_mtime_only,latest_mtime_only,,,,,0,no_explicit_processing_segment,,,,,0,no_explicit_processing_segment,,,2026-01-27T14:32:08.686604Z,evt_9d5c092040bd76d3,2026-06-19T06:26:47.804870Z,2026-06-19T06:26:48.793851Z,2026-06-19T06:26:49.823831Z,2026-03-30T11:09:50.871957Z,2026-03-30T11:10:06.585619Z,2026-06-19T21:02:12.754825Z,2026-06-19T21:02:12.231780Z,2026-06-19T21:04:56.256863Z,2026-06-20T03:05:43.653456Z,2026-06-20T03:05:43.653456Z,2026-06-20T05:00:16.052144Z,,,,1484.6283848202777,,,,,,6.013165720277778,6.013165720277778,0.0,0.004364906111111111,,1484.632749726389,3438.5011300613887,3438.5465472941664,,,inventory timestamps are latest mtimes and may reflect reruns or copies,unavailable_slurm_accounting_disabled,unavailable_slurm_accounting_disabled
20251123,quality_ok,,True,True,reply_received,catalog_nonempty,latest_mtime_only,latest_mtime_only,latest_mtime_only,,,,,0,no_explicit_processing_segment,,,,,0,no_explicit_processing_segment,,,2026-01-27T18:53:19.873844Z,evt_abb98d07effcab3a,2026-06-19T06:27:08.463475Z,2026-06-19T06:27:08.875467Z,2026-06-19T06:27:09.280459Z,2026-03-30T11:10:07.086608Z,2026-03-30T11:10:10.500535Z,2026-06-19T21:05:10.132440Z,2026-06-19T21:05:09.622951Z,2026-06-19T21:19:32.568540Z,2026-06-20T03:49:36.237317Z,2026-06-20T03:49:36.237317Z,2026-06-20T05:00:16.535134Z,,,,1480.2797813233333,,,,,,6.501019104722222,6.501019104722222,0.0,0.0009483130555555556,,1480.2807296363887,3434.1972940544442,3434.4368596377776,,,inventory timestamps are latest mtimes and may reflect reruns or copies,unavailable_slurm_accounting_disabled,unavailable_slurm_accounting_disabled
20251124,quality_ok,,True,True,reply_received,reply_received,latest_mtime_only,latest_mtime_only,latest_mtime_only,,,,,0,no_explicit_processing_segment,,,,,0,no_explicit_processing_segment,,,2026-01-27T22:50:39.584274Z,evt_b0e2a1b9ace2b166,2026-06-19T06:27:51.343656Z,2026-06-19T06:27:51.706649Z,2026-06-19T06:27:52.177640Z,2026-03-30T11:10:10.977524Z,2026-03-30T11:10:17.693379Z,2026-06-19T21:19:45.007746Z,2026-06-19T21:19:44.518749Z,2026-06-19T21:23:08.308817Z,2026-06-20T04:07:39.042387Z,2026-06-20T04:07:39.042387Z,2026-06-20T05:02:18.682786Z,2026-06-20T05:02:23.247698Z,,,1476.3253870138888,,,,,,6.741870436111111,6.741870436111111,0.0,0.0018655152777777779,0.001268031111111111,1476.3272525291668,3430.4848398533336,3430.5413123730555,3438.1954620622223,,inventory timestamps are latest mtimes and may reflect reruns or copies,unavailable_slurm_accounting_disabled,unavailable_slurm_accounting_disabled
