night,n,matched_both_products_n,fit_ok_baseline_n,fit_ok_alternate_n,fit_ok_flip_n,is_good_baseline_n,is_good_alternate_n,is_good_flip_n,missing_in_alternate_n,new_in_alternate_n,formal_unknown_n,formal_fit_ok_flip_n,formal_is_good_flip_n,high_confidence_n,high_confidence_fit_ok_flip_n,high_confidence_is_good_flip_n
20251116,383,383,383,383,0,383,383,0,0,0,11,0,0,0,0,0
20251118,967,967,967,967,0,967,967,0,0,0,72,0,0,0,0,0
20251119,1493,1493,1481,1481,0,1481,1481,0,0,0,64,0,0,0,0,0
20251120,1120,1120,1098,1098,0,1098,1098,0,0,0,63,0,0,0,0,0
20251121,2042,2042,2042,2042,0,2042,2042,0,0,0,104,0,0,1,0,0
20251122,181,181,160,160,0,160,160,0,0,0,11,0,0,0,0,0
20251123,365,365,365,365,0,365,365,0,0,0,63,0,0,0,0,0
20251124,133,133,132,132,0,132,132,0,0,0,14,0,0,1,0,0
20251125,241,241,238,238,0,238,238,0,0,0,20,0,0,2,0,0
20251127,256,256,256,256,0,256,256,0,0,0,5,0,0,0,0,0
20251128,33,33,33,33,0,33,33,0,0,0,0,0,0,0,0,0
20251129,304,304,304,304,0,304,304,0,0,0,16,0,0,0,0,0
20251130,56,56,48,48,0,48,48,0,0,0,1,0,0,0,0,0
20251202,151,151,151,151,0,151,151,0,0,0,13,0,0,0,0,0
20251203,631,631,631,631,0,631,631,0,0,0,74,0,0,1,0,0
20251204,352,352,350,350,0,350,350,0,0,0,32,0,0,3,0,0
20251205,195,195,190,190,0,190,190,0,0,0,19,0,0,0,0,0
20251206,759,759,759,759,0,759,759,0,0,0,41,0,0,0,0,0
20251207,1367,1367,1367,1367,0,1367,1367,0,0,0,111,0,0,2,0,0
20251208,1185,1185,1185,1185,0,1185,1185,0,0,0,46,0,0,3,0,0
20251209,1257,1257,1257,1257,0,1257,1257,0,0,0,82,0,0,1,0,0
20251210,1426,1426,1426,1426,0,1426,1426,0,0,0,69,0,0,0,0,0
20251213,730,730,730,730,0,730,730,0,0,0,43,0,0,0,0,0
20251214,1317,1317,1317,1317,0,1317,1317,0,0,0,51,0,0,1,0,0
20251215,1893,1893,1893,1893,0,1893,1893,0,0,0,128,0,0,1,0,0
20251216,1706,1706,1706,1706,0,1706,1706,0,0,0,106,0,0,1,0,0
20251217,1193,1193,1193,1193,0,1193,1193,0,0,0,47,0,0,3,0,0
20251220,1252,1252,1252,1252,0,1252,1252,0,0,0,20,0,0,0,0,0
20251221,316,316,316,316,0,316,316,0,0,0,38,0,0,0,0,0
20251223,1470,1470,1470,1470,0,1470,1470,0,0,0,53,0,0,0,0,0
20251225,841,841,841,841,0,841,841,0,0,0,67,0,0,0,0,0
20251226,1807,1807,1774,1774,0,1663,1663,0,0,0,0,0,0,0,0,0
20251227,1184,1184,1183,1183,0,1183,1183,0,0,0,38,0,0,0,0,0
20251228,1977,1977,1977,1977,0,1977,1977,0,0,0,181,0,0,0,0,0
20251229,1929,1929,1905,1905,0,1905,1905,0,0,0,75,0,0,0,0,0
20251230,634,634,634,634,0,634,634,0,0,0,84,0,0,0,0,0
20251231,517,517,516,516,0,516,516,0,0,0,41,0,0,0,0,0
20260101,431,431,429,429,0,429,429,0,0,0,30,0,0,0,0,0
20260102,448,448,441,441,0,441,441,0,0,0,43,0,0,0,0,0
20260103,79,79,74,74,0,74,74,0,0,0,1,0,0,1,0,0
20260104,800,800,800,800,0,800,800,0,0,0,64,0,0,0,0,0
20260105,499,499,480,480,0,480,480,0,0,0,42,0,0,0,0,0
20260106,496,496,496,496,0,496,496,0,0,0,60,0,0,0,0,0
20260107,1287,1287,1287,1287,0,1287,1287,0,0,0,79,0,0,0,0,0
20260108,468,468,468,468,0,468,468,0,0,0,27,0,0,0,0,0
20260109,353,353,353,353,0,353,353,0,0,0,17,0,0,0,0,0
20260110,547,547,547,547,0,547,547,0,0,0,29,0,0,0,0,0
20260111,378,378,378,378,0,378,378,0,0,0,0,0,0,0,0,0
20260112,441,441,440,440,0,440,440,0,0,0,17,0,0,1,0,0
20260114,1160,1160,1160,1160,0,1160,1160,0,0,0,62,0,0,0,0,0
20260115,591,591,591,591,0,591,591,0,0,0,47,0,0,0,0,0
20260116,666,666,645,645,0,645,645,0,0,0,41,0,0,0,0,0
20260117,286,286,278,278,0,278,278,0,0,0,22,0,0,0,0,0
20260119,76,76,75,75,0,75,75,0,0,0,4,0,0,0,0,0
20260120,290,290,280,280,0,280,280,0,0,0,11,0,0,0,0,0
20260121,1327,1327,1289,1289,0,1289,1289,0,0,0,65,0,0,0,0,0
20260122,1234,1234,1199,1199,0,1199,1199,0,0,0,49,0,0,0,0,0
20260123,1200,1200,1163,1163,0,1163,1163,0,0,0,36,0,0,0,0,0
20260124,926,926,926,926,0,926,926,0,0,0,45,0,0,0,0,0
20260126,1279,1279,1279,1279,0,1279,1279,0,0,0,55,0,0,0,0,0
20260127,186,186,185,185,0,185,185,0,0,0,4,0,0,0,0,0
20260129,209,209,209,209,0,209,209,0,0,0,18,0,0,0,0,0
20260131,222,222,213,213,0,213,213,0,0,0,6,0,0,0,0,0
20260201,134,134,134,134,0,134,134,0,0,0,17,0,0,0,0,0
20260202,520,520,517,517,0,517,517,0,0,0,54,0,0,0,0,0
20260205,178,178,178,178,0,178,178,0,0,0,14,0,0,2,0,0
20260206,299,299,299,299,0,299,299,0,0,0,14,0,0,1,0,0
20260207,977,977,977,977,0,977,977,0,0,0,51,0,0,6,0,0
20260208,1504,1504,1504,1504,0,1504,1504,0,0,0,92,0,0,3,0,0
20260210,567,567,567,567,0,567,567,0,0,0,23,0,0,1,0,0
