trk_sub,origin_night,linkage_id,n_obs,submission_id,mpc_ingest_state,mpc_identification,provisional_designation,known_object_id,cross_night_group_id,final_paper_status,notes,source_gif,local_gif_name
000004r,20251121,598,3.0,,unverified,unverified,,,unresolved,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20251121/gifs/000004r_link0598_20251121.gif,20251121_000004r_link0598.gif
000006v,20251124,0,3.0,,unverified,unverified,,,unresolved,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20251124/gifs/000006v_link0000_20251124.gif,20251124_000006v_link0000.gif
000006K,20251125,21,3.0,,unverified,unverified,,,unresolved,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20251125/gifs/000006K_link0021_20251125.gif,20251125_000006K_link0021.gif
000006S,20251125,132,3.0,,unverified,unverified,,,unresolved,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20251125/gifs/000006S_link0132_20251125.gif,20251125_000006S_link0132.gif
000008u,20251203,343,3.0,,unverified,unverified,,,unresolved,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20251203/gifs/000008u_link0343_20251203.gif,20251203_000008u_link0343.gif
0000098,20251204,274,3.0,,unverified,unverified,,,unresolved,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20251204/gifs/0000098_link0274_20251204.gif,20251204_0000098_link0274.gif
000009h,20251204,306,3.0,,unverified,unverified,,,unresolved,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20251204/gifs/000009h_link0306_20251204.gif,20251204_000009h_link0306.gif
000009l,20251204,317,3.0,,unverified,unverified,,,unresolved,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20251204/gifs/000009l_link0317_20251204.gif,20251204_000009l_link0317.gif
00000aG,20251207,298,3.0,,unverified,unverified,,,unresolved,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20251207/gifs/00000aG_link0298_20251207.gif,20251207_00000aG_link0298.gif
00000bh,20251207,896,3.0,,unverified,unverified,,,unresolved,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20251207/gifs/00000bh_link0896_20251207.gif,20251207_00000bh_link0896.gif
00000cs,20251208,449,3.0,,unverified,unverified,,,unresolved,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20251208/gifs/00000cs_link0449_20251208.gif,20251208_00000cs_link0449.gif
00000cR,20251208,1115,3.0,,unverified,unverified,,,unresolved,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20251208/gifs/00000cR_link1115_20251208.gif,20251208_00000cR_link1115.gif
00000cT,20251208,1141,3.0,,unverified,unverified,,,unresolved,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20251208/gifs/00000cT_link1141_20251208.gif,20251208_00000cT_link1141.gif
00000e2,20251209,1083,3.0,,unverified,unverified,,,unresolved,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20251209/gifs/00000e2_link1083_20251209.gif,20251209_00000e2_link1083.gif
00000gA,20251214,260,3.0,,unverified,unverified,,,unresolved,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20251214/gifs/00000gA_link0260_20251214.gif,20251214_00000gA_link0260.gif
00000hz,20251215,246,3.0,,unverified,unverified,,,unresolved,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20251215/gifs/00000hz_link0246_20251215.gif,20251215_00000hz_link0246.gif
00000jr,20251216,232,3.0,,unverified,unverified,,,unresolved,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20251216/gifs/00000jr_link0232_20251216.gif,20251216_00000jr_link0232.gif
00000lw,20251217,1025,3.0,,unverified,unverified,,,unresolved,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20251217/gifs/00000lw_link1025_20251217.gif,20251217_00000lw_link1025.gif
00000lA,20251217,1134,3.0,,unverified,unverified,,,unresolved,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20251217/gifs/00000lA_link1134_20251217.gif,20251217_00000lA_link1134.gif
00000lG,20251217,1187,3.0,,unverified,unverified,,,unresolved,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20251217/gifs/00000lG_link1187_20251217.gif,20251217_00000lG_link1187.gif
00000wD,20260103,40,3.0,,unverified,unverified,,,unresolved,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20260103/gifs/00000wD_link0040_20260103.gif,20260103_00000wD_link0040.gif
00000C3,20260112,119,3.0,,unverified,unverified,,,unresolved,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20260112/gifs/00000C3_link0119_20260112.gif,20260112_00000C3_link0119.gif
00000LG,20260205,51,3.0,,unverified,unverified,,,unresolved,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20260205/gifs/00000LG_link0051_20260205.gif,20260205_00000LG_link0051.gif
00000LJ,20260205,67,3.0,,unverified,unverified,,,unresolved,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20260205/gifs/00000LJ_link0067_20260205.gif,20260205_00000LJ_link0067.gif
00000LX,20260206,102,3.0,,unverified,unverified,,,unresolved,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20260206/gifs/00000LX_link0102_20260206.gif,20260206_00000LX_link0102.gif
00000Ma,20260207,120,3.0,,unverified,unverified,,,unresolved,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20260207/gifs/00000Ma_link0120_20260207.gif,20260207_00000Ma_link0120.gif
00000Md,20260207,159,3.0,,unverified,unverified,,,unresolved,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20260207/gifs/00000Md_link0159_20260207.gif,20260207_00000Md_link0159.gif
00000Mf,20260207,168,3.0,,unverified,unverified,,,unresolved,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20260207/gifs/00000Mf_link0168_20260207.gif,20260207_00000Mf_link0168.gif
00000Mg,20260207,174,3.0,,unverified,unverified,,,unresolved,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20260207/gifs/00000Mg_link0174_20260207.gif,20260207_00000Mg_link0174.gif
00000Mh,20260207,177,3.0,,unverified,unverified,,,unresolved,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20260207/gifs/00000Mh_link0177_20260207.gif,20260207_00000Mh_link0177.gif
00000Mi,20260207,178,3.0,,unverified,unverified,,,unresolved,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20260207/gifs/00000Mi_link0178_20260207.gif,20260207_00000Mi_link0178.gif
00000NM,20260208,232,3.0,,unverified,unverified,,,unresolved,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20260208/gifs/00000NM_link0232_20260208.gif,20260208_00000NM_link0232.gif
00000Ot,20260208,421,3.0,,unverified,unverified,,,unresolved,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20260208/gifs/00000Ot_link0421_20260208.gif,20260208_00000Ot_link0421.gif
00000Ow,20260208,435,3.0,,unverified,unverified,,,unresolved,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20260208/gifs/00000Ow_link0435_20260208.gif,20260208_00000Ow_link0435.gif
00000P2,20260210,35,3.0,,unverified,unverified,,,unresolved,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20260210/gifs/00000P2_link0035_20260210.gif,20260210_00000P2_link0035.gif
00000RM,20260213,350,3.0,,unverified,unverified,,,unresolved,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20260213/gifs/00000RM_link0350_20260213.gif,20260213_00000RM_link0350.gif
00000UH,20260216,90,3.0,,unverified,unverified,,,unresolved,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20260216/gifs/00000UH_link0090_20260216.gif,20260216_00000UH_link0090.gif
00000UI,20260216,208,3.0,,unverified,unverified,,,unresolved,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20260216/gifs/00000UI_link0208_20260216.gif,20260216_00000UI_link0208.gif
000011l,20260309,35,4.0,,unverified,unverified,,,unresolved,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20260309/gifs/000011l_link0035_20260309.gif,20260309_000011l_link0035.gif
000012m,20260310,730,3.0,,unverified,unverified,,,unresolved,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20260310/gifs/000012m_link0730_20260310.gif,20260310_000012m_link0730.gif
000012H,20260310,1026,3.0,,unverified,unverified,,,unresolved,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20260310/gifs/000012H_link1026_20260310.gif,20260310_000012H_link1026.gif
000013V,20260311,1139,3.0,,unverified,unverified,,,unresolved,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20260311/gifs/000013V_link1139_20260311.gif,20260311_000013V_link1139.gif
0000188,20260407,1081,3.0,,unverified,unverified,,,unresolved,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20260407/gifs/0000188_link1081_20260407.gif,20260407_0000188_link1081.gif
000018c,20260407,1098,3.0,,unverified,unverified,,,unresolved,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20260407/gifs/000018c_link1098_20260407.gif,20260407_000018c_link1098.gif
000018w,20260410,159,4.0,,unverified,unverified,,,unresolved,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20260410/gifs/000018w_link0159_20260410.gif,20260410_000018w_link0159.gif
000018E,20260410,394,3.0,,unverified,unverified,,,unresolved,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20260410/gifs/000018E_link0394_20260410.gif,20260410_000018E_link0394.gif
000018H,20260410,420,3.0,,unverified,unverified,,,unresolved,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20260410/gifs/000018H_link0420_20260410.gif,20260410_000018H_link0420.gif
000019o,20260420,807,3.0,,unverified,unverified,,,unresolved,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20260420/gifs/000019o_link0807_20260420.gif,20260420_000019o_link0807.gif
00001aJ,20260422,102,3.0,,unverified,unverified,,,unresolved,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20260422/gifs/00001aJ_link0102_20260422.gif,20260422_00001aJ_link0102.gif
00001d1,20260503,389,3.0,,unverified,unverified,,,unresolved,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20260503/gifs/00001d1_link0389_20260503.gif,20260503_00001d1_link0389.gif
00001eC,20260508,186,6.0,,unverified,unverified,,,unresolved,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20260508/gifs/00001eC_link0186_20260508.gif,20260508_00001eC_link0186.gif
00001fm,20260509,221,3.0,,unverified,unverified,,,unresolved,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20260509/gifs/00001fm_link0221_20260509.gif,20260509_00001fm_link0221.gif
00001fs,20260509,311,3.0,,unverified,unverified,,,unresolved,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20260509/gifs/00001fs_link0311_20260509.gif,20260509_00001fs_link0311.gif
00001fU,20260512,105,3.0,,unverified,unverified,,,unresolved,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20260512/gifs/00001fU_link0105_20260512.gif,20260512_00001fU_link0105.gif
00001gi,20260529,41,,,unverified,unverified,,,unresolved,rejected_posthoc,manual post-audit artifact; subtype absent from source export,/pipeline/xiaoyunao/heliolincrr/review_packages/20260529/gifs/00001gi_link0041_20260529.gif,20260529_00001gi_link0041.gif
00001gq,20260529,79,,,unverified,unverified,,,unresolved,rejected_posthoc,manual post-audit artifact; subtype absent from source export,/pipeline/xiaoyunao/heliolincrr/review_packages/20260529/gifs/00001gq_link0079_20260529.gif,20260529_00001gq_link0079.gif
00001gr,20260529,80,,,unverified,unverified,,,unresolved,rejected_posthoc,manual post-audit artifact; subtype absent from source export,/pipeline/xiaoyunao/heliolincrr/review_packages/20260529/gifs/00001gr_link0080_20260529.gif,20260529_00001gr_link0080.gif
00001gu,20260529,108,,,unverified,unverified,,,unresolved,rejected_posthoc,manual post-audit artifact; subtype absent from source export,/pipeline/xiaoyunao/heliolincrr/review_packages/20260529/gifs/00001gu_link0108_20260529.gif,20260529_00001gu_link0108.gif
00001gv,20260529,115,,,unverified,unverified,,,unresolved,rejected_posthoc,manual post-audit artifact; subtype absent from source export,/pipeline/xiaoyunao/heliolincrr/review_packages/20260529/gifs/00001gv_link0115_20260529.gif,20260529_00001gv_link0115.gif
00001gz,20260529,123,,,unverified,unverified,,,unresolved,rejected_posthoc,manual post-audit artifact; subtype absent from source export,/pipeline/xiaoyunao/heliolincrr/review_packages/20260529/gifs/00001gz_link0123_20260529.gif,20260529_00001gz_link0123.gif
00001gB,20260529,128,,,unverified,unverified,,,unresolved,rejected_posthoc,manual post-audit artifact; subtype absent from source export,/pipeline/xiaoyunao/heliolincrr/review_packages/20260529/gifs/00001gB_link0128_20260529.gif,20260529_00001gB_link0128.gif
00001gJ,20260530,52,,,unverified,unverified,,,unresolved,rejected_posthoc,manual post-audit artifact; subtype absent from source export,/pipeline/xiaoyunao/heliolincrr/review_packages/20260530/gifs/00001gJ_link0052_20260530.gif,20260530_00001gJ_link0052.gif
00001gK,20260530,64,,,unverified,unverified,,,unresolved,rejected_posthoc,manual post-audit artifact; subtype absent from source export,/pipeline/xiaoyunao/heliolincrr/review_packages/20260530/gifs/00001gK_link0064_20260530.gif,20260530_00001gK_link0064.gif
00001gL,20260530,73,3.0,,unverified,unverified,,,unresolved,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20260530/gifs/00001gL_link0073_20260530.gif,20260530_00001gL_link0073.gif
00001gM,20260530,75,3.0,,unverified,unverified,,,unresolved,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20260530/gifs/00001gM_link0075_20260530.gif,20260530_00001gM_link0075.gif
