night,plan_archive_available,plan_active_acquired_cohort,acquired_frame_in_plan_active_denominator,acquired_frame_outside_plan_archive,field_id,pair_id,match_status,match_rule,mode,cycle_id,repeat,plan_row,plan_manifest_line,planned_start_utc,actual_start_utc,actual_time_source,time_residual_s,abs_time_residual_s,planned_exptime_s,actual_exptime_s,planned_interval_prev_same_cycle_field_s,planned_baseline_from_first_same_cycle_field_s,actual_interval_prev_matched_same_cycle_field_s,actual_baseline_from_first_matched_same_cycle_field_s,planned_inter_start_prev_global_s,planned_gap_proxy_prev_global_s,actual_inter_start_prev_global_s,actual_gap_proxy_prev_global_s,raw_file_name,raw_path,raw_sequence_id,raw_manifest_line,l2_join_status,l2_file_name,l2_path,l2_manifest_line,sky_adu,sky_rms_adu,sky_mag,limiting_mag,seeing_arcsec,fwhm_header,ccd_zeropoint,ccd_zeropoint_rms,photometric_rms,n_sources,n_wcs,n_stars,n_match_calibration,n_psf,moon_phase_fraction,moon_sep_deg,planned_ra_deg,planned_dec_deg,known_limitation_codes,input_manifest_hash
20260420,True,True,True,False,0978,20260420:0978:0001,matched,monotonic_minimum_total_absolute_time_residual,normal,1,1,0,8851,2026-04-20T11:57:35Z,2026-04-20T12:21:45.672000Z,l2_obs_time_utc,1450.672,1450.672,30.0,30.0,,0.0,,0.0,,,,,OBJ_MP_0978_0060.fits,/raw1/20260420/OBJ/OBJ_MP_0978_0060.fits,0060,36131,matched,OBJ_MP_0978_0060_cat.fits.gz,/processed1/20260420/L2/OBJ_MP_0978_0060_cat.fits.gz,35461,1076.8984,28.4642,19.6817,20.53,3.0574,2.6473,26.9494,0.0323,0.0,16339.0,3374.0,3336.0,625.0,1859.0,0.12917261093078258,69.35012011166381,142.78592991708962,14.915048494514265,near_sun_solar_separation_sort_overwritten_by_ra_sort;scheduler_history_ingestion_stalled_after_20260330_server_audit,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260420,True,True,True,False,0844,20260420:0844:0001,matched,monotonic_minimum_total_absolute_time_residual,normal,1,1,1,8852,2026-04-20T11:58:55Z,2026-04-20T12:23:01.406000Z,l2_obs_time_utc,1446.406,1446.406,30.0,30.0,,0.0,,0.0,80.0,50.0,75.734,45.733999999999995,OBJ_MP_0844_0061.fits,/raw1/20260420/OBJ/OBJ_MP_0844_0061.fits,0061,36107,matched,OBJ_MP_0844_0061_cat.fits.gz,/processed1/20260420/L2/OBJ_MP_0844_0061_cat.fits.gz,35437,1090.3838,29.0232,19.6601,20.28,3.8058,3.2952,26.9412,0.0289,0.0,17251.0,3440.0,3397.0,609.0,1938.0,0.12924716242259804,71.04862879498117,143.34036158190568,11.912519469221307,near_sun_solar_separation_sort_overwritten_by_ra_sort;scheduler_history_ingestion_stalled_after_20260330_server_audit,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260420,True,True,True,False,0710,20260420:0710:0001,matched,monotonic_minimum_total_absolute_time_residual,normal,1,1,2,8853,2026-04-20T12:00:15Z,2026-04-20T12:24:16.318000Z,l2_obs_time_utc,1441.318,1441.318,30.0,30.0,,0.0,,0.0,80.0,50.0,74.912,44.912000000000006,OBJ_MP_0710_0062.fits,/raw1/20260420/OBJ/OBJ_MP_0710_0062.fits,0062,36083,matched,OBJ_MP_0710_0062_cat.fits.gz,/processed1/20260420/L2/OBJ_MP_0710_0062_cat.fits.gz,35413,1141.8037,29.5126,19.6058,20.23,3.906,3.382,26.937,0.0339,0.0,17447.0,3327.0,3514.0,650.0,1993.0,0.12932173155540727,73.0918038013303,144.17778726496854,8.807602669794868,near_sun_solar_separation_sort_overwritten_by_ra_sort;scheduler_history_ingestion_stalled_after_20260330_server_audit,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260420,True,True,True,False,1114,20260420:1114:0001,matched,monotonic_minimum_total_absolute_time_residual,normal,1,1,3,8854,2026-04-20T12:01:35Z,2026-04-20T12:25:46.444000Z,l2_obs_time_utc,1451.444,1451.444,30.0,30.0,,0.0,,0.0,80.0,50.0,90.126,60.126000000000005,OBJ_MP_1114_0063.fits,/raw1/20260420/OBJ/OBJ_MP_1114_0063.fits,0063,36155,matched,OBJ_MP_1114_0063_cat.fits.gz,/processed1/20260420/L2/OBJ_MP_1114_0063_cat.fits.gz,35485,1102.6749,28.4821,19.6643,20.62,2.8298,2.4502,26.9576,0.0313,0.0,15227.0,3118.0,3065.0,551.0,1431.0,0.12939631832712156,70.61600284670035,145.17285028113082,16.96039013814211,near_sun_solar_separation_sort_overwritten_by_ra_sort;scheduler_history_ingestion_stalled_after_20260330_server_audit,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260420,True,True,True,False,1248,20260420:1248:0001,matched,monotonic_minimum_total_absolute_time_residual,normal,1,1,4,8855,2026-04-20T12:02:55Z,2026-04-20T12:27:00.189000Z,l2_obs_time_utc,1445.189,1445.189,30.0,30.0,,0.0,,0.0,80.0,50.0,73.745,43.745000000000005,OBJ_MP_1248_0064.fits,/raw1/20260420/OBJ/OBJ_MP_1248_0064.fits,0064,36185,matched,OBJ_MP_1248_0064_cat.fits.gz,/processed1/20260420/L2/OBJ_MP_1248_0064_cat.fits.gz,35515,1042.6704,27.951,19.726,20.34,3.7032,3.2064,26.9586,0.0317,0.0,14967.0,2551.0,3077.0,513.0,1560.0,0.12947092272149413,69.59327385091845,145.24964610341365,19.766497290549736,near_sun_solar_separation_sort_overwritten_by_ra_sort;scheduler_history_ingestion_stalled_after_20260330_server_audit,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260420,True,True,True,False,0979,20260420:0979:0001,matched,monotonic_minimum_total_absolute_time_residual,normal,1,1,5,8856,2026-04-20T12:04:15Z,2026-04-20T12:28:22.925000Z,l2_obs_time_utc,1447.925,1447.925,30.0,30.0,,0.0,,0.0,80.0,50.0,82.736,52.736000000000004,OBJ_MP_0979_0065.fits,/raw1/20260420/OBJ/OBJ_MP_0979_0065.fits,0065,36134,matched,OBJ_MP_0979_0065_cat.fits.gz,/processed1/20260420/L2/OBJ_MP_0979_0065_cat.fits.gz,35464,1041.6963,28.3465,19.7179,20.55,3.0333,2.6263,26.9494,0.0325,0.0,15708.0,3039.0,3145.0,571.0,1787.0,0.12954554473747176,71.95059196370295,145.3993499652243,14.053955157257299,near_sun_solar_separation_sort_overwritten_by_ra_sort;scheduler_history_ingestion_stalled_after_20260330_server_audit,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260420,True,True,True,False,0845,20260420:0845:0001,matched,monotonic_minimum_total_absolute_time_residual,normal,1,1,6,8857,2026-04-20T12:05:35Z,2026-04-20T12:29:37.783000Z,l2_obs_time_utc,1442.783,1442.783,30.0,30.0,,0.0,,0.0,80.0,50.0,74.858,44.858000000000004,OBJ_MP_0845_0066.fits,/raw1/20260420/OBJ/OBJ_MP_0845_0066.fits,0066,36110,matched,OBJ_MP_0845_0066_cat.fits.gz,/processed1/20260420/L2/OBJ_MP_0845_0066_cat.fits.gz,35440,1123.8489,29.2043,19.6268,20.33,3.5868,3.1054,26.9406,0.0281,0.0,16340.0,2744.0,3304.0,603.0,1821.0,0.12962018437704204,73.64516172911459,145.92004774619346,11.044807981095557,near_sun_solar_separation_sort_overwritten_by_ra_sort;scheduler_history_ingestion_stalled_after_20260330_server_audit,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260420,True,True,True,False,0711,20260420:0711:0001,matched,monotonic_minimum_total_absolute_time_residual,normal,1,1,7,8858,2026-04-20T12:06:55Z,2026-04-20T12:30:53.704000Z,l2_obs_time_utc,1438.704,1438.704,30.0,30.0,,0.0,,0.0,80.0,50.0,75.921,45.92100000000001,OBJ_MP_0711_0067.fits,/raw1/20260420/OBJ/OBJ_MP_0711_0067.fits,0067,36086,matched,OBJ_MP_0711_0067_cat.fits.gz,/processed1/20260420/L2/OBJ_MP_0711_0067_cat.fits.gz,35416,1196.6145,29.8963,19.5501,20.15,4.1325,3.578,26.9321,0.0311,0.0,15668.0,3210.0,3266.0,625.0,2005.0,0.1296948416277806,75.68501940772953,146.72906354539,7.9283977768766425,near_sun_solar_separation_sort_overwritten_by_ra_sort;scheduler_history_ingestion_stalled_after_20260330_server_audit,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260420,True,True,True,False,1115,20260420:1115:0001,matched,monotonic_minimum_total_absolute_time_residual,normal,1,1,8,8859,2026-04-20T12:08:15Z,2026-04-20T12:32:22.723000Z,l2_obs_time_utc,1447.723,1447.723,30.0,30.0,,0.0,,0.0,80.0,50.0,89.019,59.019000000000005,OBJ_MP_1115_0068.fits,/raw1/20260420/OBJ/OBJ_MP_1115_0068.fits,0068,36158,matched,OBJ_MP_1115_0068_cat.fits.gz,/processed1/20260420/L2/OBJ_MP_1115_0068_cat.fits.gz,35488,1133.2212,28.8121,19.6291,20.26,3.8735,3.3539,26.9521,0.0292,0.0,14432.0,2974.0,2964.0,540.0,1677.0,0.12976951648775237,73.21990493101339,147.802582060112,16.07288165699992,near_sun_solar_separation_sort_overwritten_by_ra_sort;scheduler_history_ingestion_stalled_after_20260330_server_audit,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260420,True,True,True,False,1249,20260420:1249:0001,matched,monotonic_minimum_total_absolute_time_residual,normal,1,1,9,8860,2026-04-20T12:09:35Z,2026-04-20T12:33:37.863000Z,l2_obs_time_utc,1442.863,1442.863,30.0,30.0,,0.0,,0.0,80.0,50.0,75.14,45.14,OBJ_MP_1249_0069.fits,/raw1/20260420/OBJ/OBJ_MP_1249_0069.fits,0069,36188,matched,OBJ_MP_1249_0069_cat.fits.gz,/processed1/20260420/L2/OBJ_MP_1249_0069_cat.fits.gz,35518,1080.1462,28.6101,19.6798,20.51,3.1116,2.6942,26.9507,0.0285,0.0,14367.0,2908.0,2924.0,476.0,1555.0,0.12984420895757093,72.20038027578241,147.91982252214268,18.874935760045688,near_sun_solar_separation_sort_overwritten_by_ra_sort;scheduler_history_ingestion_stalled_after_20260330_server_audit,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
