field_id,exposure_n,night_n,first_night,last_night,open_shutter_s
1805,95,23,20260222,20260715,2850.0
1528,94,27,20260106,20260601,2820.0
1672,94,27,20260215,20260620,2820.0
1790,94,27,20251231,20260601,2820.0
1801,93,26,20260218,20260620,2790.0
1803,93,24,20260222,20260620,2790.0
1542,92,24,20260215,20260620,2760.0
1660,92,27,20251231,20260601,2760.0
1541,90,25,20260215,20260620,2700.0
1674,90,25,20260215,20260620,2700.0
1396,88,27,20260106,20260601,2640.0
1675,88,22,20260222,20260715,2640.0
1408,87,24,20260222,20260620,2610.0
1544,87,22,20260215,20260715,2610.0
1673,87,25,20260215,20260620,2610.0
1278,86,20,20260215,20260715,2580.0
1802,86,25,20260222,20260620,2580.0
1412,85,19,20260330,20260715,2550.0
1661,85,24,20260126,20260601,2550.0
1411,84,21,20260215,20260715,2520.0
1529,84,25,20260114,20260601,2520.0
1409,83,23,20260222,20260620,2490.0
1410,83,22,20260215,20260620,2490.0
1804,83,23,20260222,20260620,2490.0
1543,81,22,20260215,20260620,2430.0
1276,80,20,20260310,20260620,2400.0
1397,80,25,20260114,20260601,2400.0
1530,80,24,20260126,20260601,2400.0
1262,78,22,20260106,20260601,2340.0
1263,76,21,20260129,20260601,2280.0
1791,76,24,20260126,20260601,2280.0
0976,75,26,20251203,20260428,2250.0
0710,74,20,20251220,20260504,2220.0
1245,73,26,20251203,20260428,2190.0
0844,72,22,20251203,20260504,2160.0
0978,72,23,20251203,20260504,2160.0
1248,72,27,20251203,20260504,2160.0
1246,71,25,20251203,20260428,2130.0
1275,71,21,20260217,20260620,2130.0
1277,71,18,20260215,20260620,2130.0
1380,71,25,20251203,20260428,2130.0
1774,70,24,20251206,20260428,2100.0
1789,70,26,20251231,20260529,2100.0
0307,68,23,20251205,20260311,2040.0
0706,68,21,20251213,20260428,2040.0
0708,68,23,20251213,20260428,2040.0
0841,68,23,20251203,20260428,2040.0
1264,68,18,20260129,20260601,2040.0
1773,68,26,20251201,20260428,2040.0
1513,67,24,20251206,20260428,2010.0
0975,66,23,20251203,20260428,1980.0
1114,66,22,20251203,20260504,1980.0
1116,66,22,20251215,20260504,1980.0
1383,66,27,20251206,20260504,1980.0
1643,66,23,20251201,20260428,1980.0
0176,65,22,20251205,20260311,1950.0
0979,65,24,20251203,20260504,1950.0
1379,65,23,20251203,20260428,1950.0
1644,65,25,20251201,20260428,1950.0
1783,65,19,20251228,20260403,1950.0
1787,65,21,20251231,20260605,1950.0
0440,64,21,20251205,20260311,1920.0
0572,64,22,20251213,20260427,1920.0
0707,64,22,20251213,20260428,1920.0
1111,64,21,20251203,20260428,1920.0
1659,64,23,20251231,20260529,1920.0
1765,64,25,20251121,20260426,1920.0
0177,63,20,20251205,20260311,1890.0
0845,63,22,20251216,20260504,1890.0
1112,63,21,20251203,20260428,1890.0
1250,63,23,20251207,20260504,1890.0
0842,62,21,20251203,20260428,1860.0
1517,62,25,20251206,20260504,1860.0
0949,61,16,20251214,20260222,1830.0
0981,61,22,20251216,20260504,1830.0
1384,61,25,20251206,20260504,1830.0
0036,60,23,20251127,20260308,1800.0
0840,60,18,20251203,20260428,1800.0
1110,60,21,20251203,20260428,1800.0
1512,60,22,20251206,20260428,1800.0
0308,59,19,20251205,20260311,1770.0
0711,59,21,20251230,20260504,1770.0
1113,59,21,20251203,20260429,1770.0
1117,59,21,20251216,20260504,1770.0
1527,59,21,20251231,20260529,1770.0
0035,58,18,20251210,20260308,1740.0
0712,58,20,20251230,20260504,1740.0
0810,58,21,20251209,20260222,1740.0
0980,58,21,20251215,20260504,1740.0
1249,58,23,20251207,20260504,1740.0
1645,58,22,20251206,20260428,1740.0
1780,58,16,20251206,20260428,1740.0
1784,58,21,20251231,20260403,1740.0
0573,57,20,20251213,20260312,1710.0
0846,57,20,20251216,20260504,1710.0
0977,57,19,20251203,20260428,1710.0
1395,57,22,20260106,20260529,1710.0
1788,57,21,20251231,20260512,1710.0
0174,56,17,20251205,20260310,1680.0
0306,56,20,20251205,20260311,1680.0
0439,56,18,20251225,20260311,1680.0
0847,56,21,20251216,20260504,1680.0
0574,55,19,20251205,20260428,1650.0
0713,55,21,20260105,20260504,1650.0
1104,55,20,20251128,20260426,1650.0
1261,55,20,20260106,20260529,1650.0
1514,55,22,20251206,20260406,1650.0
1655,55,19,20251231,20260528,1650.0
1775,55,21,20251206,20260427,1650.0
0428,54,18,20251127,20260306,1620.0
0542,54,19,20251209,20260222,1620.0
0676,54,19,20251210,20260222,1620.0
1115,54,20,20251215,20260504,1620.0
1247,54,20,20251203,20260407,1620.0
0178,53,17,20251205,20260311,1590.0
0309,53,17,20251205,20260311,1590.0
0427,53,17,20251127,20260306,1590.0
0843,53,18,20251203,20260428,1590.0
0947,53,17,20251213,20260222,1590.0
1085,53,16,20251214,20260127,1590.0
1223,53,21,20251115,20260223,1590.0
1526,53,22,20251231,20260605,1590.0
1623,53,21,20251115,20260126,1590.0
1662,53,22,20260126,20260601,1590.0
1753,53,19,20251115,20260108,1590.0
1762,53,20,20251120,20260222,1590.0
0042,52,16,20251127,20260213,1560.0
0162,52,18,20251215,20260308,1560.0
0164,52,19,20251127,20260308,1560.0
0438,52,16,20251205,20260310,1560.0
0680,52,17,20251214,20260222,1560.0
1103,52,19,20251124,20260426,1560.0
