night,raw_science_n,l2_mp_n,plan_n,plan_matched_raw_n,known_predicted_n,known_match1_n,known_mask15_n,known_ades_n,known_mpc_state,gaia_survivor_n,grouped_gaia_input_detection_n,edge_shell_survivor_detection_n,static_survivor_detection_n,tracklet_n,link_n,orbit_fit_n,orbit_is_good_n,unknown_n,review_real_n,submit_real_n,audit_initial_n,audit_real_n,unknown_mpc_state,quality_code,quality_reason,code_commit,input_manifest_hash,raw_all_mp_n,raw_not_in_plan_n,plan_not_acquired_n,acquired_frame_plan_compliance,planned_frame_realization,summary_known_mask15_n,masked_catalog_detection_n,link_member_n,link_all_non_known_n,orbit_fit_non_known_n,orbit_is_good_non_known_n,known_after_gaia_n,known_ge3_object_n,known_ge3_linked_object_n,summary_exists,mag_flag_prefilter_detection_n,gaia_removed_n,gaia_ok_file_n,gaia_log_file_n,gaia_status_counts,tracklet_stage_state,common_area_survivor_detection_n,tracklet_log_n,tracklet_group_n,tracklet_skip_reason_counts,primary_science_included,unknown_science_included,l2_detection_n,tracklet_count_log_minus_summary
20251115,292,291,0,0,79486,58,0,0,matched_without_ades,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,quality_ok,,d2f0057bd4cdd4c7a3c6c2431f6449a72c327284,1696aab4b60098bd8168c3ddf22814b9d09727ec11202d6fd99d7c2f1643bc58,292,292,0,0.0,,0,0,0,0,0,0,0,0,0,False,0,0,0,0,,missing,0,0,0,{},True,True,10206011,
20251116,291,290,0,0,82312,2596,2885,0,matched_without_ades,241283,241283,205960,101285,4723,383,383,383,11,0,0,0,0,catalog_nonempty,quality_ok,,d2f0057bd4cdd4c7a3c6c2431f6449a72c327284,1696aab4b60098bd8168c3ddf22814b9d09727ec11202d6fd99d7c2f1643bc58,291,291,0,0.0,,2885,241283,767,11,11,11,2461,554,353,True,6340169,6098886,290,290,"{""ok"": 290}",ok,241283,4723,94,{},True,True,8853251,0.0
20251117,0,0,0,0,0,0,0,0,not_run,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,no_strict_raw,,d2f0057bd4cdd4c7a3c6c2431f6449a72c327284,1696aab4b60098bd8168c3ddf22814b9d09727ec11202d6fd99d7c2f1643bc58,0,0,0,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,missing,0,0,0,{},True,True,0,
20251118,294,293,0,0,82741,5297,5604,3884,reply_received,288704,288704,233705,101769,25480,967,967,967,72,0,0,0,0,catalog_nonempty,quality_ok,,d2f0057bd4cdd4c7a3c6c2431f6449a72c327284,1696aab4b60098bd8168c3ddf22814b9d09727ec11202d6fd99d7c2f1643bc58,294,294,0,0.0,,5604,288704,1943,72,72,72,4931,1180,835,True,9921957,9633253,293,293,"{""ok"": 293}",ok,288704,25480,94,{},True,True,13012247,0.0
20251119,389,389,0,0,148809,8311,8783,6013,reply_received,362078,360177,298140,105020,9510,1493,1481,1481,64,0,0,0,0,catalog_nonempty,quality_ok,,d2f0057bd4cdd4c7a3c6c2431f6449a72c327284,1696aab4b60098bd8168c3ddf22814b9d09727ec11202d6fd99d7c2f1643bc58,389,389,0,0.0,,8783,362078,2999,76,64,64,7725,1870,1347,True,10465728,10103650,389,389,"{""ok"": 389}",ok,360177,9510,125,{},True,True,13261806,0.0
20251120,420,419,0,0,97437,6587,6962,4667,reply_received,487839,484649,416787,134159,11198,1120,1098,1098,63,0,0,0,0,catalog_nonempty,quality_ok,,d2f0057bd4cdd4c7a3c6c2431f6449a72c327284,1696aab4b60098bd8168c3ddf22814b9d09727ec11202d6fd99d7c2f1643bc58,420,420,0,0.0,,6962,487839,2245,85,63,63,6055,1444,975,True,14102400,13614561,419,419,"{""ok"": 419}",ok,484649,11198,136,{},True,True,18192268,0.0
20251121,475,475,0,0,157413,12749,13333,9129,reply_received,544739,544739,458657,157975,15802,2042,2042,2042,104,1,1,1,1,reply_received,quality_ok,,d2f0057bd4cdd4c7a3c6c2431f6449a72c327284,1696aab4b60098bd8168c3ddf22814b9d09727ec11202d6fd99d7c2f1643bc58,476,475,0,0.0,,13333,544739,4122,104,104,104,11180,2810,1839,True,16924650,16379911,475,475,"{""ok"": 475}",ok,544739,15802,156,{},True,True,22632479,0.0
20251122,227,227,0,0,51778,1100,1195,665,reply_received,135418,135418,99803,44333,3259,181,160,160,11,0,0,0,0,catalog_nonempty,quality_ok,,d2f0057bd4cdd4c7a3c6c2431f6449a72c327284,1696aab4b60098bd8168c3ddf22814b9d09727ec11202d6fd99d7c2f1643bc58,227,227,0,0.0,,1195,135418,364,32,11,11,959,204,137,True,6318637,6183219,227,227,"{""ok"": 227}",ok,135418,3259,80,"{""no tracklets"": 2}",True,True,7226766,0.0
20251123,170,170,0,0,40088,1825,1879,1346,reply_received,111363,106201,82981,29342,2859,365,365,365,63,0,0,0,0,catalog_nonempty,quality_ok,,d2f0057bd4cdd4c7a3c6c2431f6449a72c327284,1696aab4b60098bd8168c3ddf22814b9d09727ec11202d6fd99d7c2f1643bc58,170,170,0,0.0,,1879,111363,731,63,63,63,1680,412,285,True,1488908,1377545,170,170,"{""ok"": 170}",ok,106201,2859,50,{},True,True,1726995,0.0
20251124,138,138,0,0,44622,1008,1128,382,reply_received,77978,55709,43408,23119,1996,133,132,132,14,1,1,1,1,reply_received,quality_ok,,d2f0057bd4cdd4c7a3c6c2431f6449a72c327284,1696aab4b60098bd8168c3ddf22814b9d09727ec11202d6fd99d7c2f1643bc58,138,138,0,0.0,,1128,77978,266,15,14,14,1001,135,107,True,1864824,1786846,138,138,"{""ok"": 138}",ok,55709,1996,38,"{""no tracklets"": 1}",True,True,2235121,0.0
