column,stage,unit,definition_status
l2_detection_n,l2_source_detection,detection,as_executed
mag_flag_prefilter_detection_n,magnitude_flag_survivor_detection,detection,as_executed
gaia_survivor_n,gaia_survivor_detection,detection,as_executed
grouped_gaia_input_detection_n,grouped_gaia_input_detection,detection,as_executed
common_area_survivor_detection_n,common_area_survivor_detection,detection,as_executed
edge_shell_survivor_detection_n,edge_shell_survivor_detection,detection,as_executed
static_survivor_detection_n,reference_anchored_static_survivor_detection,detection,as_executed
tracklet_n,two_point_tracklet,tracklet,as_executed
link_n,shared_endpoint_linkage,linkage,as_executed
orbit_fit_n,orbit_fit_ok_linkage,linkage,as_executed
orbit_is_good_n,orbit_is_good_linkage,linkage,as_executed
orbit_fit_non_known_n,fit_ok_all_non_known_linkage,linkage,as_executed
orbit_is_good_non_known_n,is_good_all_non_known_linkage,linkage,as_executed
unknown_n,post_known_catalog_linkage,linkage,as_executed
review_real_n,human_review_marked_real_linkage,linkage,as_executed
submit_real_n,submission_selected_linkage,linkage,as_executed
audit_initial_n,frozen_initial_audit_set_linkage,linkage,as_executed
audit_real_n,posthoc_retained_linkage,linkage,as_executed
