night,path,exists,mtime_utc,sha256,parse_status,parameter_line,declared_group_n,skip_reason_counts,group_started_n,group_complete_n,group_failed_n,exposure_group_membership_n,grouped_gaia_input_detection_n,common_area_survivor_detection_n,edge_shell_survivor_detection_n,static_survivor_detection_n,tracklet_n,missing_stage_group_n,duplicate_stage_line_n
20251115,/pipeline/xiaoyunao/data/heliolincrr/20251115/tracklets_linreproj/make_tracklet.log,False,,,missing,,,{},0,0,0,0,0,0,0,0,0,0,0
20251116,/pipeline/xiaoyunao/data/heliolincrr/20251116/tracklets_linreproj/make_tracklet.log,True,2026-05-14T08:35:28.713156+00:00,866c24c8cda7b7c94f6f71b5c6c5d172b4e6349c3e13dc1c2a27f815e1892230,ok,vmin=3.0 vmax=63.0 r_static=2.0 min_repeat=2 erode_pix=30 edge_pix=500 fallback_margin=0.1 hdu=1 skip_common_area=True edge_shell_min=300.0 edge_shell_max=500.0 max_tracklets_per_group=100000,94,{},94,94,0,290,241283,241283,205960,101285,4723,0,0
20251117,/pipeline/xiaoyunao/data/heliolincrr/20251117/tracklets_linreproj/make_tracklet.log,False,,,missing,,,{},0,0,0,0,0,0,0,0,0,0,0
20251118,/pipeline/xiaoyunao/data/heliolincrr/20251118/tracklets_linreproj/make_tracklet.log,True,2026-05-14T08:40:26.145016+00:00,30ea17002784771938fa2d19ffdc99d21fe75a3b9461204176ce3aeac2342c71,ok,vmin=3.0 vmax=63.0 r_static=2.0 min_repeat=2 erode_pix=30 edge_pix=500 fallback_margin=0.1 hdu=1 skip_common_area=True edge_shell_min=300.0 edge_shell_max=500.0 max_tracklets_per_group=100000,94,{},94,94,0,293,288704,288704,233705,101769,25480,0,0
20251119,/pipeline/xiaoyunao/data/heliolincrr/20251119/tracklets_linreproj/make_tracklet.log,True,2026-05-14T09:18:14.086883+00:00,06168ff56034982cb095db03cd9df52d5b2bbd1fc89e920619e6ccb713b9ed16,ok,vmin=3.0 vmax=63.0 r_static=2.0 min_repeat=2 erode_pix=30 edge_pix=500 fallback_margin=0.1 hdu=1 skip_common_area=True edge_shell_min=300.0 edge_shell_max=500.0 max_tracklets_per_group=100000,125,{},125,125,0,386,360177,360177,298140,105020,9510,0,0
20251120,/pipeline/xiaoyunao/data/heliolincrr/20251120/tracklets_linreproj/make_tracklet.log,True,2026-05-14T09:35:57.505820+00:00,bdd2ceb790ea2a7132409287abcc4fe907f55471434cdff05f004917293601c3,ok,vmin=3.0 vmax=63.0 r_static=2.0 min_repeat=2 erode_pix=30 edge_pix=500 fallback_margin=0.1 hdu=1 skip_common_area=True edge_shell_min=300.0 edge_shell_max=500.0 max_tracklets_per_group=100000,136,{},136,136,0,415,484649,484649,416787,134159,11198,0,0
20251121,/pipeline/xiaoyunao/data/heliolincrr/20251121/tracklets_linreproj/make_tracklet.log,True,2026-05-14T09:56:02.115604+00:00,e7c9e77cf722ededcc1cd1d60883dc2fe9aecd612fe210e612075ab566470bfd,ok,vmin=3.0 vmax=63.0 r_static=2.0 min_repeat=2 erode_pix=30 edge_pix=500 fallback_margin=0.1 hdu=1 skip_common_area=True edge_shell_min=300.0 edge_shell_max=500.0 max_tracklets_per_group=100000,156,{},156,156,0,475,544739,544739,458657,157975,15802,0,0
20251122,/pipeline/xiaoyunao/data/heliolincrr/20251122/tracklets_linreproj/make_tracklet.log,True,2026-05-14T10:24:10.522535+00:00,9826590467ddc9fc0cc6d8161d4faa305c3efe69c9ca87e7fa32e9a2b353c82e,ok,vmin=3.0 vmax=63.0 r_static=2.0 min_repeat=2 erode_pix=30 edge_pix=500 fallback_margin=0.1 hdu=1 skip_common_area=True edge_shell_min=300.0 edge_shell_max=500.0 max_tracklets_per_group=100000,80,"{""no tracklets"": 2}",80,80,0,227,135418,135418,99803,44333,3259,0,0
20251123,/pipeline/xiaoyunao/data/heliolincrr/20251123/tracklets_linreproj/make_tracklet.log,True,2026-05-14T10:27:39.790213+00:00,c62d6aac559a8a2a70529c145bf40e5c1fb5e9771b9380e15815b2b1a70c1e03,ok,vmin=3.0 vmax=63.0 r_static=2.0 min_repeat=2 erode_pix=30 edge_pix=500 fallback_margin=0.1 hdu=1 skip_common_area=True edge_shell_min=300.0 edge_shell_max=500.0 max_tracklets_per_group=100000,50,{},50,50,0,165,106201,106201,82981,29342,2859,0,0
20251124,/pipeline/xiaoyunao/data/heliolincrr/20251124/tracklets_linreproj/make_tracklet.log,True,2026-05-14T10:42:33.376894+00:00,80aadfc3294bc6d229c81986cea43e3e53411d46b5a441d97fd1f1f6b5884e3d,ok,vmin=3.0 vmax=63.0 r_static=2.0 min_repeat=2 erode_pix=30 edge_pix=500 fallback_margin=0.1 hdu=1 skip_common_area=True edge_shell_min=300.0 edge_shell_max=500.0 max_tracklets_per_group=100000,38,"{""no tracklets"": 1}",38,38,0,114,55709,55709,43408,23119,1996,0,0
20251125,/pipeline/xiaoyunao/data/heliolincrr/20251125/tracklets_linreproj/make_tracklet.log,True,2026-05-14T10:46:32.333241+00:00,6b6dd0886f439f9a994be445f2a4aec94108e9898f960beb550c0ceceb132e21,ok,vmin=3.0 vmax=63.0 r_static=2.0 min_repeat=2 erode_pix=30 edge_pix=500 fallback_margin=0.1 hdu=1 skip_common_area=True edge_shell_min=300.0 edge_shell_max=500.0 max_tracklets_per_group=100000,53,{},53,53,0,146,95356,95356,74796,35205,3623,0,0
20251126,/pipeline/xiaoyunao/data/heliolincrr/20251126/tracklets_linreproj/make_tracklet.log,False,,,missing,,,{},0,0,0,0,0,0,0,0,0,0,0
20251127,/pipeline/xiaoyunao/data/heliolincrr/20251127/tracklets_linreproj/make_tracklet.log,True,2026-05-14T10:52:37.143054+00:00,0f450565b49d8d445eda309d128dd0b13e8f0bb56439caee806fad3f2af60a47,ok,vmin=3.0 vmax=63.0 r_static=2.0 min_repeat=2 erode_pix=30 edge_pix=500 fallback_margin=0.1 hdu=1 skip_common_area=True edge_shell_min=300.0 edge_shell_max=500.0 max_tracklets_per_group=100000,70,{},70,70,0,194,132096,132096,99939,42092,3084,0,0
20251128,/pipeline/xiaoyunao/data/heliolincrr/20251128/tracklets_linreproj/make_tracklet.log,True,2026-05-14T10:55:47.173186+00:00,9b975ca1744ead12bfd22c1dc9ba9f3052793268003409de6869b1a04ad87c9c,ok,vmin=3.0 vmax=63.0 r_static=2.0 min_repeat=2 erode_pix=30 edge_pix=500 fallback_margin=0.1 hdu=1 skip_common_area=True edge_shell_min=300.0 edge_shell_max=500.0 max_tracklets_per_group=100000,44,"{""no tracklets"": 1}",44,44,0,98,47185,47185,34107,22093,1065,0,0
20251129,/pipeline/xiaoyunao/data/heliolincrr/20251129/tracklets_linreproj/make_tracklet.log,True,2026-05-14T10:56:29.967589+00:00,4a0502ccb6d0758cc7a9ce8c1f93c5f93b2a03f39b1a69a2959ca85ad5d56715,ok,vmin=3.0 vmax=63.0 r_static=2.0 min_repeat=2 erode_pix=30 edge_pix=500 fallback_margin=0.1 hdu=1 skip_common_area=True edge_shell_min=300.0 edge_shell_max=500.0 max_tracklets_per_group=100000,47,{},47,47,0,138,50023,50023,33657,14979,2262,0,0
20251130,/pipeline/xiaoyunao/data/heliolincrr/20251130/tracklets_linreproj/make_tracklet.log,True,2026-05-14T11:01:02.642903+00:00,18e5f0ee8812347017ea925951e9941779a21ac133cbc54e2fe11a27a9355f12,ok,vmin=3.0 vmax=63.0 r_static=2.0 min_repeat=2 erode_pix=30 edge_pix=500 fallback_margin=0.1 hdu=1 skip_common_area=True edge_shell_min=300.0 edge_shell_max=500.0 max_tracklets_per_group=100000,39,{},39,39,0,146,39845,39845,18829,11826,998,0,0
20251201,/pipeline/xiaoyunao/data/heliolincrr/20251201/tracklets_linreproj/make_tracklet.log,True,2026-05-14T11:01:51.736735+00:00,2d81ed27ae8b73af696393aff35cbf4461c67cd78a985b99ce598f25d0bb92be,zero_groups,vmin=3.0 vmax=63.0 r_static=2.0 min_repeat=2 erode_pix=30 edge_pix=500 fallback_margin=0.1 hdu=1 skip_common_area=True edge_shell_min=300.0 edge_shell_max=500.0 max_tracklets_per_group=100000,0,{},0,0,0,0,0,0,0,0,0,0,0
20251202,/pipeline/xiaoyunao/data/heliolincrr/20251202/tracklets_linreproj/make_tracklet.log,True,2026-05-14T11:02:18.734437+00:00,e1fdc1c7cbdec016eec0cb24560861610fc6d74f2fb3c0b4beb4a688fc26d4c5,ok,vmin=3.0 vmax=63.0 r_static=2.0 min_repeat=2 erode_pix=30 edge_pix=500 fallback_margin=0.1 hdu=1 skip_common_area=True edge_shell_min=300.0 edge_shell_max=500.0 max_tracklets_per_group=100000,49,{},49,49,0,156,52694,52694,28418,12435,1502,0,0
20251203,/pipeline/xiaoyunao/data/heliolincrr/20251203/tracklets_linreproj/make_tracklet.log,True,2026-05-14T11:07:16.186925+00:00,92f745d2ffb23d9b336932f9df76de679985ffa3ce72948932a1a1dc2ca88f6b,ok,vmin=3.0 vmax=63.0 r_static=2.0 min_repeat=2 erode_pix=30 edge_pix=500 fallback_margin=0.1 hdu=1 skip_common_area=True edge_shell_min=300.0 edge_shell_max=500.0 max_tracklets_per_group=100000,126,{},126,126,0,400,165833,165833,108869,43078,5049,0,0
20251204,/pipeline/xiaoyunao/data/heliolincrr/20251204/tracklets_linreproj/make_tracklet.log,True,2026-05-14T11:28:11.365890+00:00,3c5f723cdc43d574a726a6161bd3c33201ab3bba361d1632a7fb7a1396b1a7d4,ok,vmin=3.0 vmax=63.0 r_static=2.0 min_repeat=2 erode_pix=30 edge_pix=500 fallback_margin=0.1 hdu=1 skip_common_area=True edge_shell_min=300.0 edge_shell_max=500.0 max_tracklets_per_group=100000,163,{},163,163,0,448,153757,153757,88603,51178,5681,0,0
