night,trk_sub,linkage_id,detection_index,image_name,catalog_name,catalog_path,manifest_file_name,manifest_path,detection_key,final_paper_status,production_ades_start_mjd_utc,l2_manifest_start_mjd_utc,start_mjd_disagreement_s,manifest_exposure_s,exposure_s,exposure_source,midpoint_correction_s,corrected_midpoint_mjd_utc,corrected_midpoint_isot_utc,lin_speed_arcsec_per_day,link_linear_speed_arcsec_per_hour,link_speed_within_production_3_to_63_arcsec_per_hour,equivalent_shift_at_min_speed_arcsec,equivalent_shift_at_max_speed_arcsec,equivalent_shift_at_link_speed_arcsec
20251121,000004r,598,0,OBJ_MP_1602_0203.fits.gz,OBJ_MP_1602_0203_cat.fits.gz,/processed1/20251121/L2/OBJ_MP_1602_0203_cat.fits.gz,OBJ_MP_1602_0203_cat.fits.gz,/processed1/20251121/L2/OBJ_MP_1602_0203_cat.fits.gz,/processed1/20251121/L2/OBJ_MP_1602_0203_cat.fits.gz::4748,retained_after_posthoc_audit,61000.51447277778,61000.51447277778,0.0,30.003,30.003,l2_manifest,15.0015,61000.514646406256,2025-11-21T12:21:05.449501,215.69215493449843,8.987173122270768,True,0.01250125,0.26252625,0.03745029933159581
20251121,000004r,598,1,OBJ_MP_1602_0229.fits.gz,OBJ_MP_1602_0229_cat.fits.gz,/processed1/20251121/L2/OBJ_MP_1602_0229_cat.fits.gz,OBJ_MP_1602_0229_cat.fits.gz,/processed1/20251121/L2/OBJ_MP_1602_0229_cat.fits.gz,/processed1/20251121/L2/OBJ_MP_1602_0229_cat.fits.gz::4778,retained_after_posthoc_audit,61000.54039288194,61000.54039288194,0.0,30.003,30.003,l2_manifest,15.0015,61000.54056651042,2025-11-21T12:58:24.946500,215.69215493449843,8.987173122270768,True,0.01250125,0.26252625,0.03745029933159581
20251121,000004r,598,2,OBJ_MP_1602_0255.fits.gz,OBJ_MP_1602_0255_cat.fits.gz,/processed1/20251121/L2/OBJ_MP_1602_0255_cat.fits.gz,OBJ_MP_1602_0255_cat.fits.gz,/processed1/20251121/L2/OBJ_MP_1602_0255_cat.fits.gz,/processed1/20251121/L2/OBJ_MP_1602_0255_cat.fits.gz::4874,retained_after_posthoc_audit,61000.5662521875,61000.5662521875,0.0,30.003,30.003,l2_manifest,15.0015,61000.566425815974,2025-11-21T13:35:39.190500,215.69215493449843,8.987173122270768,True,0.01250125,0.26252625,0.03745029933159581
20251124,000006v,0,0,OBJ_MP_0517_0034.fits.gz,OBJ_MP_0517_0034_cat.fits.gz,/processed1/20251124/L2/OBJ_MP_0517_0034_cat.fits.gz,OBJ_MP_0517_0034_cat.fits.gz,/processed1/20251124/L2/OBJ_MP_0517_0034_cat.fits.gz,/processed1/20251124/L2/OBJ_MP_0517_0034_cat.fits.gz::403,retained_after_posthoc_audit,61003.421151793984,61003.421151793984,0.0,30.003,30.003,l2_manifest,15.0015,61003.42132542246,2025-11-24T10:06:42.516501,621.5416713235846,25.897569638482693,True,0.01250125,0.26252625,0.10791733081436058
20251124,000006v,0,1,OBJ_MP_0517_0070.fits.gz,OBJ_MP_0517_0070_cat.fits.gz,/processed1/20251124/L2/OBJ_MP_0517_0070_cat.fits.gz,OBJ_MP_0517_0070_cat.fits.gz,/processed1/20251124/L2/OBJ_MP_0517_0070_cat.fits.gz,/processed1/20251124/L2/OBJ_MP_0517_0070_cat.fits.gz::496,retained_after_posthoc_audit,61003.484596828705,61003.484596828705,0.0,30.002,30.002,l2_manifest,15.001,61003.48477045139,2025-11-24T11:38:04.167000,621.5416713235846,25.897569638482693,True,0.012500833333333333,0.2625175,0.10791373392968857
20251124,000006v,0,2,OBJ_MP_0517_0097.fits.gz,OBJ_MP_0517_0097_cat.fits.gz,/processed1/20251124/L2/OBJ_MP_0517_0097_cat.fits.gz,OBJ_MP_0517_0097_cat.fits.gz,/processed1/20251124/L2/OBJ_MP_0517_0097_cat.fits.gz,/processed1/20251124/L2/OBJ_MP_0517_0097_cat.fits.gz::473,retained_after_posthoc_audit,61003.51146223379,61003.51146223379,0.0,30.003,30.003,l2_manifest,15.0015,61003.51163586227,2025-11-24T12:16:45.338500,621.5416713235846,25.897569638482693,True,0.01250125,0.26252625,0.10791733081436058
20251125,000006K,21,0,OBJ_MP_0782_0038.fits.gz,OBJ_MP_0782_0038_cat.fits.gz,/processed1/20251125/L2/OBJ_MP_0782_0038_cat.fits.gz,OBJ_MP_0782_0038_cat.fits.gz,/processed1/20251125/L2/OBJ_MP_0782_0038_cat.fits.gz,/processed1/20251125/L2/OBJ_MP_0782_0038_cat.fits.gz::5146,retained_after_posthoc_audit,61004.41511863426,61004.41511863426,0.0,30.003,30.003,l2_manifest,15.0015,61004.41529226273,2025-11-25T09:58:01.251500,1336.5342631364283,55.68892763068451,True,0.01250125,0.26252625,0.23206040218103158
20251125,000006K,21,1,OBJ_MP_0782_0066.fits.gz,OBJ_MP_0782_0066_cat.fits.gz,/processed1/20251125/L2/OBJ_MP_0782_0066_cat.fits.gz,OBJ_MP_0782_0066_cat.fits.gz,/processed1/20251125/L2/OBJ_MP_0782_0066_cat.fits.gz,/processed1/20251125/L2/OBJ_MP_0782_0066_cat.fits.gz::5161,retained_after_posthoc_audit,61004.44406861111,61004.44406861111,0.0,30.002,30.002,l2_manifest,15.001,61004.444242233796,2025-11-25T10:39:42.529000,1336.5342631364283,55.68892763068451,True,0.012500833333333333,0.2625175,0.23205266760774954
20251125,000006K,21,2,OBJ_MP_0782_0094.fits.gz,OBJ_MP_0782_0094_cat.fits.gz,/processed1/20251125/L2/OBJ_MP_0782_0094_cat.fits.gz,OBJ_MP_0782_0094_cat.fits.gz,/processed1/20251125/L2/OBJ_MP_0782_0094_cat.fits.gz,/processed1/20251125/L2/OBJ_MP_0782_0094_cat.fits.gz::7243,retained_after_posthoc_audit,61004.47301560185,61004.47301560185,0.0,30.002,30.002,l2_manifest,15.001,61004.47318922453,2025-11-25T11:21:23.549000,1336.5342631364283,55.68892763068451,True,0.012500833333333333,0.2625175,0.23205266760774954
20251125,000006S,132,0,OBJ_MP_0786_0052.fits.gz,OBJ_MP_0786_0052_cat.fits.gz,/processed1/20251125/L2/OBJ_MP_0786_0052_cat.fits.gz,OBJ_MP_0786_0052_cat.fits.gz,/processed1/20251125/L2/OBJ_MP_0786_0052_cat.fits.gz,/processed1/20251125/L2/OBJ_MP_0786_0052_cat.fits.gz::5266,retained_after_posthoc_audit,61004.431150833334,61004.431150833334,0.0,30.003,30.003,l2_manifest,15.0015,61004.43132446181,2025-11-25T10:21:06.433500,448.39374143331526,18.68307255972147,True,0.01250125,0.26252625,0.07785392027907267
