row_order,section,parameter,value,unit,evidence_status,definition,source_input,input_manifest_hash
1,facility,facility_name,,,not_available,Facility name,config,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
2,facility,observatory_name,,,not_available,Observatory name,config,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
3,facility,telescope_aperture,,m,not_available,Telescope aperture,config,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
4,facility,detector_name,,,not_available,Science detector,config,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
5,facility,pixel_scale,,arcsec pixel^-1,not_available,Detector pixel scale,config,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
6,facility,field_of_view,,deg2,not_available,Single-pointing field of view,config,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
7,facility,unfiltered_response,,,not_available,Unfiltered effective response or calibration convention,config,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
8,facility,upstream_pipeline_version,,,not_available,Upstream image-processing version,config,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
9,snapshot,snapshot_label,2026-08-03,,available,Frozen analysis label,config,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
10,snapshot,observation_start,2025-11-15,UTC date,available,Inclusive start,config,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
11,snapshot,observation_end,2026-07-15,UTC date,available,Inclusive end,config,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
12,snapshot,pipeline_timezone,Asia/Shanghai,,available,Operational timezone,config,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
13,version,production_algorithm_commit,d2f0057bd4cdd4c7a3c6c2431f6449a72c327284,git SHA,available,Frozen algorithm revision,config,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
14,version,repository_commit_reviewed,cfee217611bca4e71b40ea3687a0906a39849997,git SHA,available,Repository revision reviewed,config,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
15,quality,quality_rules_status,provisional_pending_author_signoff,,available,Author sign-off state,config,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
16,site,scheduler_longitude,117.575,deg E,available,Scheduler site longitude,config,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
17,site,scheduler_latitude,40.393,deg N,available,Scheduler site latitude,config,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
18,site,scheduler_height,960,m,available,Scheduler site height,config,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
19,site,known_matcher_longitude,117.575,deg E,available,Known matcher site longitude,config,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
20,site,known_matcher_latitude,40.393,deg N,available,Known matcher site latitude,config,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
21,site,known_matcher_height,960,m,available,Known matcher site height,config,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
22,site,single_night_orbit_longitude,117.575,deg E,available,Single-night orbit-confirmation longitude,config,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
23,site,single_night_orbit_latitude,40.394239,deg N,available,Single-night orbit-confirmation latitude,config,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
24,site,single_night_orbit_height,868.221,m,available,Single-night orbit-confirmation height,config,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
25,site,multi_night_orbit_longitude,117.575,deg E,available,Multi-night orbit-confirmation longitude,config,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
26,site,multi_night_orbit_latitude,40.394239,deg N,available,Multi-night orbit-confirmation latitude,config,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
27,site,multi_night_orbit_height,868.221,m,available,Multi-night orbit-confirmation height,config,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
28,site,legacy_twilight_longitude,117.5775,deg E,available,"Legacy twilight-analysis longitude, not final",config,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
29,site,legacy_twilight_latitude,40.395833,deg N,available,"Legacy twilight-analysis latitude, not final",config,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
30,site,legacy_twilight_height,960,m,available,"Legacy twilight-analysis height, not final",config,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
31,site,canonical_site_status,requires_author_or_observatory_confirmation,,available,Final surveyed-site confirmation state,config,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
32,site_metadata_warning,upstream_header_observatory,GMG,,available,Upstream header observatory label,config,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
33,site_metadata_warning,upstream_header_longitude,100.0313,deg E,available,Upstream header longitude; use only according to its status,config,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
34,site_metadata_warning,upstream_header_latitude,26.6974,deg N,available,Upstream header latitude; use only according to its status,config,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
35,site_metadata_warning,upstream_header_height,3227,m,available,Upstream header height; use only according to its status,config,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
36,site_metadata_warning,upstream_header_site_status,known_template_contamination_do_not_use_as_observer_location,,available,Validity of upstream header site metadata,config,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
37,known,predicted_v_limit,22.5,mag,available,Nominal known-object prediction limit,config,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
38,known,official_match_radius,1,arcsec,available,Official known-object match radius,config,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
39,known,unknown_mask_radius,1.5,arcsec,available,Known subtraction/mask radius,config,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
40,unknown,gaia_match_radius,1.5,arcsec,available,Gaia static-source match radius,config,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
41,unknown,minimum_speed,3,arcsec h^-1,available,Tracklet speed lower bound,config,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
42,unknown,maximum_speed,63,arcsec h^-1,available,Tracklet speed upper bound,config,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
43,unknown,maximum_magnitude_difference,1,mag,available,Tracklet magnitude consistency,config,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
44,unknown,maximum_speed_difference,5,arcsec h^-1,available,Link speed consistency,config,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
45,unknown,maximum_direction_difference,10,deg,available,Link direction consistency,config,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
46,unknown,skip_common_area_as_executed,True,boolean,available,Production common-area option,config,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
47,unknown,catalog_selector_as_executed,fit_ok_and_all_non_asteroid,,available,Single-night catalog selection,config,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
48,unknown,ADES_time_as_executed,exposure_start,,available,Unknown ADES epoch convention,config,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
49,unknown,orbit_tracklet_time_reference,exposure_midpoint,,available,Orbit/tracklet epoch convention,config,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
50,unknown,standard_exposure_midpoint_offset,15,s,available,Standard start-to-midpoint offset,config,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
51,unknown,quarantine_threshold,200,linkages night^-1,available,Unknown-night quarantine threshold,config,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
52,unknown_orbit_quality,minimum_tracklets,2,tracklets,available,Single-night is_good minimum tracklets,config,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
53,unknown_orbit_quality,minimum_used_observations,3,observations,available,Single-night is_good minimum used observations,config,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
54,unknown_orbit_quality,minimum_used_fraction,,fraction,not_available,Single-night is_good minimum used fraction,config,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
55,unknown_orbit_quality,rms_limit,5,arcsec,available,Single-night is_good RMS limit,config,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
