row_order,metric,value,unit,grain,evidence_status,definition,source_input,input_manifest_hash
1,strict_raw_frames,41074.0,frames,exposure,available,Strict standard raw science frames,snapshot_summary,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
2,strict_raw_nights,134.0,nights,night,available,Nights containing strict raw frames,snapshot_summary,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
3,observed_unique_fields,1430.0,fields,field,available,Distinct scheduled field identifiers acquired,snapshot_summary,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
4,open_shutter_hours,342.28333333333336,h,exposure time,available,Sum of archived strict-raw exposure times,snapshot_summary,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
5,unique_healpix_area,10387.42600221356,deg2,sky pixel,available,Union area of observed footprint polygons,coverage_summary,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
6,all_mp_fits,41152.0,files,file,available,All MP-named raw FITS including nonstandard/engineering names,snapshot_summary,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
7,strict_l2_catalogs,40399.0,catalogs,exposure catalog,available,Strict standard MP L2 catalogs,snapshot_summary,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
8,strict_l2_nights,131.0,nights,night,available,Nights containing strict standard MP L2 catalogs,night_status,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
9,known_prediction_rows,13311871.0,predictions,prediction-exposure row,available,Nominal known-object prediction rows,snapshot_summary,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
10,known_matches_1arcsec,534780.0,matched detections,prediction-exposure row,available,Known matches inside the official 1 arcsec radius,snapshot_summary,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
11,known_matches_1p5arcsec,563612.0,matched detections,prediction-exposure row,available,Known detections in the 1.5 arcsec subtraction mask,snapshot_summary,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
12,known_ades_observation_rows,350706.0,observation rows,ADES observation row,available,Known-object ADES rows generated in the frozen status ledger,night_status,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
13,unknown_catalog_linkages,4762.0,linkages,single-night linkage,available,Rows in frozen post-known unknown catalogs,snapshot_summary,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
14,human_review_marked_real_linkages,68.0,linkages,single-night linkage,available,Rows marked real during the operational human review,snapshot_summary,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
15,submission_selected_linkages,67.0,linkages,single-night linkage,available,Rows selected for unknown-object submission products,snapshot_summary,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
16,initial_human_selected_linkages,67.0,linkages,single-night linkage,available,Initial human-selected linkage rows,snapshot_summary,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
17,posthoc_retained_linkages,58.0,linkages,single-night linkage,available,Post-hoc retained high-confidence linkage rows,snapshot_summary,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
18,posthoc_retained_detection_memberships,179.0,memberships,linkage-detection membership,available,Detection memberships in retained linkages,snapshot_summary,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
19,calendar_nights_in_table,243.0,nights,night,available,Calendar-night rows in frozen status table,night_status,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
20,primary_science_included_nights,242.0,nights,night,available,Nights included in primary survey statistics,night_status,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
21,unknown_science_included_nights,239.0,nights,night,available,Nights included in unknown-pipeline statistics,night_status,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
