row_order,section,metric,value,unit,denominator,evidence_status,definition,caveat,source_input,input_manifest_hash
1,recovery,source_prediction_rows_including_duplicates,13311871.0,rows,,available,Known prediction rows before duplicate-key collapse,V<22.5 and nominal WCS-projected detector rectangle; not a true detectable denominator,known_summary,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
2,recovery,predicted_nominal_n,13310546.0,predictions,predicted_nominal_n,available,Unique nominal prediction keys,V<22.5 and nominal WCS-projected detector rectangle; not a true detectable denominator,known_summary,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
3,recovery,matched_1arcsec_n,534780.0,matched detections,predicted_nominal_n,available,Predictions with a production match inside 1 arcsec,Nearest-neighbor thresholded association,known_summary,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
4,recovery,match_fraction_nominal,0.0401771647834732,fraction,predicted_nominal_n,available,matched_1arcsec_n / predicted_nominal_n,Nominal recovery proxy; not detectable-object completeness,known_summary,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
5,recovery,matched_unique_identity_keys,58482.0,identity keys,,available,Distinct frozen known identity keys among matches,Identity-key count is not a unique-object survey denominator,known_summary,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
6,data_quality,prediction_key_duplicates,1325.0,rows,,available,Duplicate prediction keys removed from denominator,Duplicates are retained as a reported quality diagnostic,known_summary,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
7,data_quality,matched_prediction_key_duplicates,0.0,rows,,available,Duplicate matched prediction keys,Expected to be zero,known_summary,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
8,astrometry,median_radial_residual_arcsec,0.263406223604322,arcsec,matched_1arcsec_n,available,Median radial predicted-measured separation,Distribution is truncated by the 1 arcsec production match threshold,known_summary,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
9,astrometry,p84_radial_residual_arcsec,0.529014581663005,arcsec,matched_1arcsec_n,available,84th percentile radial separation,Distribution is threshold-truncated,known_summary,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
10,astrometry,p90_radial_residual_arcsec,0.6284235864254906,arcsec,matched_1arcsec_n,available,90th percentile radial separation,Pending unless frozen by the known-population analysis; distribution is threshold-truncated,known_residuals,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
11,astrometry,p95_radial_residual_arcsec,0.7571465216242887,arcsec,matched_1arcsec_n,available,95th percentile radial separation,Distribution is threshold-truncated,known_summary,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
12,astrometry,median_dra_cosdec_arcsec,-0.017433146392414688,arcsec,matched_1arcsec_n,available,Median signed RA*cos(Dec) residual,Signed component,known_summary,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
13,astrometry,median_ddec_arcsec,0.02245559949827225,arcsec,matched_1arcsec_n,available,Median signed Dec residual,Signed component,known_summary,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
14,astrometry,robust_sigma_dra_arcsec,0.22181118786264328,arcsec,matched_1arcsec_n,available,0.7413 times RA residual IQR,Robust component scale,known_summary,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
15,astrometry,robust_sigma_ddec_arcsec,0.21527220353332735,arcsec,matched_1arcsec_n,available,0.7413 times Dec residual IQR,Robust component scale,known_summary,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
16,astrometry,radial_distribution_truncated_at_arcsec,1.0,arcsec,,available,Production radial truncation,"Selection threshold, not an uncertainty estimate",known_summary,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
17,chance_match_control,random_shift_prediction_trials,352184.0,trials,,available,Shifted prediction trials,deterministic exposure-stratified 30/60 arcsec random-direction position shifts; finite Mag_Kron schema gate; nearest neighbor; strict <1 arcsec,random_shift_summary,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
18,chance_match_control,random_shift_matches_lt_1arcsec,257.0,matches,random_shift_prediction_trials,available,Shifted trials matched inside 1 arcsec,deterministic exposure-stratified 30/60 arcsec random-direction position shifts; finite Mag_Kron schema gate; nearest neighbor; strict <1 arcsec,random_shift_summary,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
19,chance_match_control,random_shift_chance_fraction,0.0007297321854485156,fraction,random_shift_prediction_trials,available,Position-shift chance-match fraction,deterministic exposure-stratified 30/60 arcsec random-direction position shifts; finite Mag_Kron schema gate; nearest neighbor; strict <1 arcsec,random_shift_summary,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
