stage_order,stage,value,unit,scope,evidence_status,denominator_stage,retention_fraction,definition,interpretation_guardrail,source_input,input_manifest_hash
1,l2_source_detection,1144557890,detection,included_unknown_nights,available,,,L2 catalog source rows,Stage retention/post-audit precision proxy only; not a completeness or discovery rate.,unknown_stage_totals,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
2,magnitude_flag_survivor_detection,883370479,detection,included_unknown_nights,available,l2_source_detection,0.771800611151263,Magnitude/flag prefilter survivors,Stage retention/post-audit precision proxy only; not a completeness or discovery rate.,unknown_stage_totals,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
3,gaia_survivor_detection,27138619,detection,included_unknown_nights,available,magnitude_flag_survivor_detection,0.03072167300714155,Detections surviving Gaia static-source removal,Stage retention/post-audit precision proxy only; not a completeness or discovery rate.,unknown_stage_totals,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
4,grouped_gaia_input_detection,25618052,detection,included_unknown_nights,available,gaia_survivor_detection,0.9439703619406721,Detections entering grouped Gaia-mask processing,Stage retention/post-audit precision proxy only; not a completeness or discovery rate.,unknown_stage_totals,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
5,common_area_survivor_detection,25618052,detection,included_unknown_nights,available,grouped_gaia_input_detection,1,Common-area stage survivors as executed,Stage retention/post-audit precision proxy only; not a completeness or discovery rate.,unknown_stage_totals,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
6,edge_shell_survivor_detection,21250751,detection,included_unknown_nights,available,common_area_survivor_detection,0.8295225179494522,Detections surviving the edge-shell filter,Stage retention/post-audit precision proxy only; not a completeness or discovery rate.,unknown_stage_totals,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
7,reference_anchored_static_survivor_detection,7933253,detection,included_unknown_nights,available,edge_shell_survivor_detection,0.37331635950183595,Detections surviving the reference-anchored static filter,Stage retention/post-audit precision proxy only; not a completeness or discovery rate.,unknown_stage_totals,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
8,two_point_tracklet,697805,tracklet,included_unknown_nights,available,,,Two-point tracklets; a new counting grain,Stage retention/post-audit precision proxy only; not a completeness or discovery rate.,unknown_stage_totals,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
9,shared_endpoint_linkage,83176,linkage,included_unknown_nights,available,,,Shared-endpoint linkages; a new counting grain,Stage retention/post-audit precision proxy only; not a completeness or discovery rate.,unknown_stage_totals,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
10,orbit_fit_ok_linkage,82821,linkage,included_unknown_nights,available,shared_endpoint_linkage,0.9957319419063191,Linkages with a successful numerical orbit fit,Stage retention/post-audit precision proxy only; not a completeness or discovery rate.,unknown_stage_totals,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
