row_order,link_key,origin_night,trk_sub,linkage_id,n_obs,n_tracklets,unique_detection_n,fit_ok,is_good,rms_arcsec,median_residual_arcsec,max_arcsec,a_au,ecc,inc_deg,raan_deg,argp_deg,nu_deg,best_v1_kms,linear_rms_arcsec,speed_arcsec_per_hour,direction_deg,first_mjd,median_mjd,last_mjd,median_ra_deg,median_dec_deg,median_mag_aper4,time_span_hours,ecliptic_lon_j2000_deg,ecliptic_lat_j2000_deg,solar_elongation_deg,nearest_astronomical_twilight,nearest_twilight_abs_hours,nearest_twilight_signed_hours,final_paper_status,review_notes,source_gif,linear_motion_candidate_group_id,candidate_group_link_count,candidate_group_distinct_night_count,candidate_group_cross_night_primary_edge_count,candidate_group_has_cross_night_primary_edge,candidate_group_is_singleton,candidate_group_interpretation,jpl_first_pass_status,jpl_first_pass_object_name,jpl_first_pass_separation_arcsec,jpl_first_pass_strict_candidate,jpl_first_pass_plausible_candidate,jpl_second_pass_status,jpl_second_pass_object_name,jpl_second_pass_separation_arcsec,jpl_second_pass_numerically_confirmed_candidate,jpl_evidence_scope,mpc_evidence_status,mpc_evidence_source,mpc_submission_id,mpc_ingest_state,mpc_identification,provisional_designation,known_object_id,identity_guardrail,retained_link_source_path,input_manifest_hash
1,20251121|000004r|598,20251121,000004r,598,3,2,3,True,True,0.16723052515500275,0.0,0.28965176614488997,-2.3534336924446655,2.7421353305958993,43.958205001674884,355.59958768044703,31.479901978671318,0.005945866242688715,28.455153392902016,0.13169416207792686,8.987173122270768,68.17264328163373,61000.51447277778,61000.54039288194,61000.5662521875,8.99924117706019,20.121674204238477,18.928586959838867,1.2427058332250454,16.323556530356203,14.905721347060746,135.1756952179573,dusk,2.5760498999152333,2.5760498999152333,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20251121/gifs/000004r_link0598_20251121.gif,LMG001,1,1,0,False,True,"Linear-motion repeat candidate only; not a confirmed independent object, orbital identity, or MPC/JPL identification.",not_in_first_pass_table,,,,,not_selected_or_no_second_pass_row,,,,"JPL positional/rate association only; not evidence of MPC ingest, MPC identification, provisional designation, or discovery confirmation.",pending_no_authoritative_mpc_evidence,,,pending,,,,One retained single-night linkage row; not necessarily one independent object.,/processed1/20251121/L4/20251121_unknown_links.fits,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
2,20251124|000006v|0,20251124,000006v,0,3,2,3,True,True,1.5136650034413317,0.0,2.621744691599306,0.8552354476523216,0.9877568309132454,67.38168569208776,198.89088243448202,0.6114680570912017,-179.99777829926384,2.5276545288072083,1.163673369159325,25.897569638482693,171.0991429892712,61003.421151793984,61003.484596828705,61003.51146223379,347.9831381132704,-17.27888021957058,17.478530883789062,2.167450555425603,342.15881766186544,-11.154232969993569,99.88898947035686,dusk,1.2570590311079286,1.2570590311079286,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20251124/gifs/000006v_link0000_20251124.gif,LMG002,1,1,0,False,True,"Linear-motion repeat candidate only; not a confirmed independent object, orbital identity, or MPC/JPL identification.",not_in_first_pass_table,,,,,not_selected_or_no_second_pass_row,,,,"JPL positional/rate association only; not evidence of MPC ingest, MPC identification, provisional designation, or discovery confirmation.",pending_no_authoritative_mpc_evidence,,,pending,,,,One retained single-night linkage row; not necessarily one independent object.,/processed1/20251124/L4/20251124_unknown_links.fits,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
3,20251125|000006K|21,20251125,000006K,21,3,2,3,True,True,0.3115509763174687,0.003073585126505738,0.5396133667799324,0.7962863041148304,0.6325786839385538,26.964063653139913,10.348816634579135,196.8741760736114,-179.98833198360066,15.834474206389872,0.2626815124055096,55.68892763068451,41.8689897028552,61004.41511863426,61004.44406861111,61004.47301560185,340.537327962366,-13.256097316853907,17.534048080444336,1.3895272221998312,337.0386704116901,-4.66814031762105,93.97697594152805,dusk,0.2899864905048162,0.2899864905048162,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20251125/gifs/000006K_link0021_20251125.gif,LMG003,1,1,0,False,True,"Linear-motion repeat candidate only; not a confirmed independent object, orbital identity, or MPC/JPL identification.",candidate_within_search_radius_not_associated,124941 (2001 TR79),129.9,False,False,not_selected_or_no_second_pass_row,,,,"JPL positional/rate association only; not evidence of MPC ingest, MPC identification, provisional designation, or discovery confirmation.",pending_no_authoritative_mpc_evidence,,,pending,,,,One retained single-night linkage row; not necessarily one independent object.,/processed1/20251125/L4/20251125_unknown_links.fits,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
4,20251125|000006S|132,20251125,000006S,132,3,2,3,True,True,0.8722503903425757,0.0,1.5107819929951267,1.5646742283662995,0.8534209613117614,85.27892941629035,7.953498346687426,179.34485319802366,-179.99779721309636,6.69622536819895,0.7099873402043746,18.68307255972147,142.2006615619101,61004.431150833334,61004.45999814815,61004.48880881944,350.4287540182994,-8.854001174370154,18.173261642456055,1.383791666594334,347.72459627893227,-4.351304645007743,104.6169444992889,dusk,0.6722953794524074,0.6722953794524074,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20251125/gifs/000006S_link0132_20251125.gif,LMG004,1,1,0,False,True,"Linear-motion repeat candidate only; not a confirmed independent object, orbital identity, or MPC/JPL identification.",not_in_first_pass_table,,,,,not_selected_or_no_second_pass_row,,,,"JPL positional/rate association only; not evidence of MPC ingest, MPC identification, provisional designation, or discovery confirmation.",pending_no_authoritative_mpc_evidence,,,pending,,,,One retained single-night linkage row; not necessarily one independent object.,/processed1/20251125/L4/20251125_unknown_links.fits,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
5,20251203|000008u|343,20251203,000008u,343,3,2,3,True,True,0.2655821812194292,0.0,0.4600018314570163,1.2204301524939027,0.06519820244920516,23.433084661810078,0.7185962712870867,263.1020397181396,-179.98164747709478,25.25696768433281,0.28026956253229307,9.228857455672786,163.03814621778065,61012.724925347226,61012.75381357639,61012.78201756944,117.62875037003015,20.890090630635573,17.774917602539062,1.3702133332262747,115.68009589890559,-0.12034643335204928,135.7887879903965,dawn,3.5577701098518446,-3.5577701098518446,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20251203/gifs/000008u_link0343_20251203.gif,LMG005,2,2,1,True,False,"Linear-motion repeat candidate only; not a confirmed independent object, orbital identity, or MPC/JPL identification.",not_in_first_pass_table,,,,,not_selected_or_no_second_pass_row,,,,"JPL positional/rate association only; not evidence of MPC ingest, MPC identification, provisional designation, or discovery confirmation.",pending_no_authoritative_mpc_evidence,,,pending,,,,One retained single-night linkage row; not necessarily one independent object.,/processed1/20251203/L4/20251203_unknown_links.fits,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
6,20251204|0000098|274,20251204,0000098,274,3,2,3,True,True,0.03319851369894478,0.0,0.05750151246234375,5.831336748206895,0.29690220695544806,22.753958328705142,9.878698191228642,95.02493682480882,0.00358381205575547,16.751542389748227,0.025767316068528043,10.518608907549536,161.9380474042935,61013.84428979167,61013.87085726852,61013.89730413195,114.92231621326913,21.427017819861742,17.224042892456055,1.2723441667039879,113.10111156617994,-0.03623830555259392,139.50035424608205,dawn,0.7626170745352283,-0.7626170745352283,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20251204/gifs/0000098_link0274_20251204.gif,LMG006,1,1,0,False,True,"Linear-motion repeat candidate only; not a confirmed independent object, orbital identity, or MPC/JPL identification.",candidate_within_search_radius_not_associated,(2018 UL40),153.9,False,False,not_selected_or_no_second_pass_row,,,,"JPL positional/rate association only; not evidence of MPC ingest, MPC identification, provisional designation, or discovery confirmation.",pending_no_authoritative_mpc_evidence,,,pending,,,,One retained single-night linkage row; not necessarily one independent object.,/processed1/20251204/L4/20251204_unknown_links.fits,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
7,20251204|000009h|306,20251204,000009h,306,3,2,3,True,True,0.3016814222899489,0.0,0.5225275511058335,5.499622340117905,0.2544942643573347,22.8643491983179,4.918541506973808,101.64735227066848,0.00352438443022515,16.47538325353662,0.24545353293920444,9.451140363174586,165.5232165683426,61013.84825501157,61013.87480642361,61013.90126414352,117.55827661534876,20.908959766245587,17.648366928100586,1.2722191666834988,115.61191099692573,-0.11393095411829604,136.9935640901602,dawn,0.6678373523172922,-0.6678373523172922,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20251204/gifs/000009h_link0306_20251204.gif,LMG005,2,2,1,True,False,"Linear-motion repeat candidate only; not a confirmed independent object, orbital identity, or MPC/JPL identification.",candidate_within_search_radius_not_associated,74110 (1998 QU37),112.3,False,False,not_selected_or_no_second_pass_row,,,,"JPL positional/rate association only; not evidence of MPC ingest, MPC identification, provisional designation, or discovery confirmation.",pending_no_authoritative_mpc_evidence,,,pending,,,,One retained single-night linkage row; not necessarily one independent object.,/processed1/20251204/L4/20251204_unknown_links.fits,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
8,20251204|000009l|317,20251204,000009l,317,3,2,3,True,True,0.44241479411718676,0.0,0.766284901431092,1.2271145937058452,0.05939576492561401,23.669061667767146,357.0397631851546,263.74682069588715,-179.98291318282244,25.335233067425623,0.43879910832333785,39.00318379644715,183.58822137494087,61013.85040452546,61013.87695957176,61013.903395104164,106.43396364049946,23.999776979073282,17.83401107788086,1.2717738889041357,104.98863281837411,1.411215135927353,147.5911231661876,dawn,0.6161617967882194,-0.6161617967882194,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20251204/gifs/000009l_link0317_20251204.gif,LMG007,1,1,0,False,True,"Linear-motion repeat candidate only; not a confirmed independent object, orbital identity, or MPC/JPL identification.",not_in_first_pass_table,,,,,not_selected_or_no_second_pass_row,,,,"JPL positional/rate association only; not evidence of MPC ingest, MPC identification, provisional designation, or discovery confirmation.",pending_no_authoritative_mpc_evidence,,,pending,,,,One retained single-night linkage row; not necessarily one independent object.,/processed1/20251204/L4/20251204_unknown_links.fits,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
9,20251207|00000aG|298,20251207,00000aG,298,3,2,3,True,True,0.028558441322069326,0.0,0.049464671354798574,3.6654178984606878,0.1185627708545725,23.06083460365217,289.6090856260487,292.27631808924224,-179.99683366396718,13.81010183375071,0.022714315462501355,21.750876216274005,230.46766836849613,61016.43259336805,61016.462259803244,61016.489408368056,35.00076238193964,19.825908614221383,16.027873992919922,1.363560000085272,39.269532054627014,5.540451274713221,143.67414821759857,dusk,0.7510093674645759,0.7510093674645759,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20251207/gifs/00000aG_link0298_20251207.gif,LMG008,2,2,1,True,False,"Linear-motion repeat candidate only; not a confirmed independent object, orbital identity, or MPC/JPL identification.",candidate_within_search_radius_not_associated,5599 (1991 SG1),35.23,False,False,not_selected_or_no_second_pass_row,,,,"JPL positional/rate association only; not evidence of MPC ingest, MPC identification, provisional designation, or discovery confirmation.",pending_no_authoritative_mpc_evidence,,,pending,,,,One retained single-night linkage row; not necessarily one independent object.,/processed1/20251207/L4/20251207_unknown_links.fits,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
10,20251207|00000bh|896,20251207,00000bh,896,3,2,3,True,True,0.675748503023798,0.003073585126505738,1.1704267047069552,1.4157145024535016,0.08173576526453058,19.643606341389265,2.6026998850914254,65.80179495863365,0.01969055853399596,27.16952413246923,0.5846614120191747,25.43636126095055,162.797778902172,61016.52087881944,61016.5485206713,61016.5778215625,48.84417910724284,3.176017626942899,17.84528350830078,1.3666258334415033,47.29073944344747,-14.37238199595835,148.7748023355689,dusk,2.8212702007731423,2.8212702007731423,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20251207/gifs/00000bh_link0896_20251207.gif,LMG009,1,1,0,False,True,"Linear-motion repeat candidate only; not a confirmed independent object, orbital identity, or MPC/JPL identification.",not_in_first_pass_table,,,,,not_selected_or_no_second_pass_row,,,,"JPL positional/rate association only; not evidence of MPC ingest, MPC identification, provisional designation, or discovery confirmation.",pending_no_authoritative_mpc_evidence,,,pending,,,,One retained single-night linkage row; not necessarily one independent object.,/processed1/20251207/L4/20251207_unknown_links.fits,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
